TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-nyhv-cmp-Q-1,Q-1,150-25 R,4347,7475,0,4654,4809,0,150,55,0,55,40,0,25,15,0,10,0,0,false,false,false,false,
1617velv-nyhv-cmp-Q-2,Q-2,120-50 R,6567,6347,0,6761,5484,0,120,45,0,75,0,0,50,15,0,25,10,0,false,false,false,false,
1617velv-nyhv-cmp-Q-3,Q-3,110-55 R,4244,12052,0,9541,6051,0,110,65,0,45,0,0,55,35,0,20,0,0,false,false,false,false,
1617velv-nyhv-cmp-Q-4,Q-4,100-125 B,6081,4107,0,7486,7034,0,100,25,0,65,10,0,125,65,0,40,20,0,false,false,false,false,
1617velv-nyhv-cmp-Q-5,Q-5,50-77 B,12414,18,0,8527,6945,0,50,0,0,40,10,0,77,65,0,12,0,0,false,false,false,false,
1617velv-nyhv-cmp-Q-6,Q-6,200-95 R,9773,6460,0,7488,9832,0,200,115,0,45,40,0,95,25,0,50,20,0,false,false,false,false,
1617velv-nyhv-cmp-Q-7,Q-7,135-35 R,4286,10870,0,4481,4243,0,135,90,0,45,0,0,35,5,0,30,0,0,false,false,false,false,
1617velv-nyhv-cmp-Q-8,Q-8,40-75 B,4809,8527,0,4244,7486,0,40,5,0,35,0,0,75,45,0,30,0,0,false,false,false,false,
1617velv-nyhv-cmp-Q-9,Q-9,90-85 R,6081,4654,0,6460,18,0,90,55,0,35,0,0,85,35,0,40,10,0,false,false,false,false,
1617velv-nyhv-cmp-Q-10,Q-10,120-5 R,7488,6347,0,12052,10870,0,120,10,0,70,40,0,5,5,0,0,0,0,false,false,false,false,
1617velv-nyhv-cmp-Q-11,Q-11,61-60 R,6945,6051,0,4481,6567,0,61,5,0,56,0,0,60,40,0,20,0,0,false,false,false,false,
1617velv-nyhv-cmp-Q-12,Q-12,75-145 B,5484,4243,0,9832,4347,0,75,45,0,20,10,0,145,30,0,75,40,0,false,false,false,false,
1617velv-nyhv-cmp-Q-13,Q-13,35-95 B,4107,12414,0,4286,9773,0,35,5,0,30,0,0,95,5,0,70,20,0,false,false,false,false,
1617velv-nyhv-cmp-Q-14,Q-14,95-20 R,7034,6761,0,9541,7475,0,95,65,0,30,0,0,20,5,0,15,0,0,false,false,false,false,
