TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-nyhv-cmp-Q-1,1,1,1,4347,7475,0,4654,4809,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,1,0,1,0,2,7,0,3,0,0,0,0,0,FALSE,1,0,0,0,1,0,0,0,0,0,0,0,
1617velv-nyhv-cmp-Q-2,1,1,2,6567,6347,0,6761,5484,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,3,1,4,7,0,0,0,0,0,0,0,FALSE,1,0,0,0,0,5,0,1,0,0,0,0,
1617velv-nyhv-cmp-Q-3,1,1,3,4244,12052,0,9541,6051,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,2,0,0,0,4,1,0,0,0,0,0,0,0,TRUE,2,0,0,0,0,4,0,0,0,0,0,0,
1617velv-nyhv-cmp-Q-4,1,1,4,6081,4107,0,7486,7034,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,0,1,4,5,0,1,0,0,0,0,1,TRUE,2,0,0,0,0,8,0,2,0,0,0,0,
1617velv-nyhv-cmp-Q-5,1,1,5,12414,18,0,8527,6945,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,3,2,0,1,0,0,0,0,2,FALSE,0,0,0,3,1,0,2,0,0,0,0,0,
1617velv-nyhv-cmp-Q-6,1,1,6,9773,6460,0,7488,9832,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,TRUE,3,0,0,1,1,7,0,3,0,0,0,0,0,TRUE,1,0,1,0,3,4,0,2,0,0,0,0,
1617velv-nyhv-cmp-Q-7,1,1,7,4286,10870,0,4481,4243,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,3,0,0,2,0,9,0,0,0,0,0,0,0,TRUE,0,0,0,0,3,0,0,0,0,0,0,0,
1617velv-nyhv-cmp-Q-8,1,1,8,4809,8527,0,4244,7486,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,3,1,0,0,0,0,0,0,1,FALSE,1,0,0,0,1,4,0,0,0,0,0,0,
1617velv-nyhv-cmp-Q-9,1,1,9,6081,4654,0,6460,18,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,1,0,0,1,0,7,0,0,0,0,0,0,0,TRUE,2,0,0,0,3,2,0,1,0,0,0,0,
1617velv-nyhv-cmp-Q-10,1,1,10,7488,6347,0,12052,10870,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,1,4,6,0,3,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-nyhv-cmp-Q-11,1,1,11,6945,6051,0,4481,6567,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,4,3,1,0,0,0,0,0,0,TRUE,2,0,1,0,0,4,0,0,0,0,0,0,
