TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-nyhv-cmp,7486,Team Fusion,1,10,320,140,5,FC,1.00,51.7,54.4,52.3,55.3,23.6,23.9,0.0,0.0,30.0,29.1,2.9,4.0,-4.8,-2.8,4.1,1.7,
1617velv-nyhv-cmp,4244,Vidrini-I,2,10,195,195,5,SC,1.00,55.8,51.4,37.5,35.9,20.7,18.0,0.0,0.0,13.8,15.8,1.8,1.6,19.5,15.8,-1.3,-0.5,
1617velv-nyhv-cmp,6081,i2r robotics,3,8,330,195,5,WC,0.80,97.9,86.5,80.3,71.6,19.8,18.8,0.0,0.0,54.9,47.7,5.9,5.2,17.4,14.6,0.2,0.2,
1617velv-nyhv-cmp,4347,NanoGurus,4,8,320,175,5,F1,0.80,112.4,93.4,116.4,95.2,42.2,34.7,0.0,0.0,38.9,33.5,29.8,24.4,1.5,0.7,-5.5,-2.6,
1617velv-nyhv-cmp,4286,Dragonoids,5,8,295,135,5,SC,0.80,59.4,58.5,63.7,61.1,18.8,18.9,0.0,0.0,41.1,37.4,3.9,4.8,-4.4,-2.8,0.0,-0.0,
1617velv-nyhv-cmp,7034,Singularity Technology,6,8,265,125,5,S1,0.80,53.6,47.2,53.9,47.1,31.9,27.9,0.0,0.0,9.3,10.2,9.8,7.9,2.6,1.1,-2.9,-1.2,
1617velv-nyhv-cmp,9773,Robocracy,7,7,250,200,5,,0.70,58.1,56.0,57.4,55.4,24.6,23.8,0.0,0.0,25.2,24.9,7.8,6.9,0.6,0.2,0.2,0.2,
1617velv-nyhv-cmp,6051,Quantum Mechanics,8,6,275,140,5,S2,0.60,55.8,44.6,62.2,48.2,26.7,22.1,0.0,0.0,19.6,17.0,7.0,4.3,2.5,1.0,-8.9,-4.8,
1617velv-nyhv-cmp,6945,System Overload,9,6,270,120,5,,0.60,23.5,30.5,3.1,14.2,13.5,15.5,0.0,0.0,13.4,15.3,-2.1,0.1,-1.3,-0.6,21.6,16.7,
1617velv-nyhv-cmp,7488,Nuts and Volts,10,6,245,120,5,S1,0.60,48.6,44.4,52.7,46.6,8.7,8.6,0.0,0.0,34.6,30.7,3.6,4.0,1.7,0.9,-5.8,-3.3,
1617velv-nyhv-cmp,6347,Geared Up,11,6,240,120,5,W1,0.60,61.4,56.9,60.1,56.1,9.0,10.2,0.0,0.0,29.5,27.8,22.3,18.4,0.6,0.3,0.7,0.3,
1617velv-nyhv-cmp,4654,Jellyfish,12,6,215,90,5,,0.60,-1.9,9.1,-4.7,6.9,12.5,14.2,0.0,0.0,-9.9,-4.1,-4.4,-1.9,-0.1,0.8,2.8,1.3,
1617velv-nyhv-cmp,6761,TESLA Robots,13,6,200,120,5,,0.60,-6.8,9.8,-8.4,9.0,-3.1,3.9,0.0,0.0,2.3,6.8,-0.5,2.2,-5.5,-3.2,7.0,3.8,
1617velv-nyhv-cmp,18,Techno Chix,14,5,320,175,5,,0.50,43.0,46.2,41.0,45.1,21.8,21.8,0.0,0.0,18.1,19.5,3.7,5.0,-0.6,-0.4,2.6,1.2,
1617velv-nyhv-cmp,12052,Ossining Obots,15,5,265,110,5,F2,0.50,42.7,39.8,46.9,42.1,14.2,14.9,0.0,0.0,27.9,24.5,3.0,2.1,-2.5,-1.9,-1.8,-0.6,
1617velv-nyhv-cmp,6460,RoboWarriors,16,4,370,200,5,,0.40,64.5,58.9,62.4,56.8,28.8,26.6,0.0,0.0,25.1,22.6,8.9,7.8,1.8,1.7,0.3,0.2,
1617velv-nyhv-cmp,5484,EnderBot,17,4,290,130,5,W2,0.40,76.4,63.4,81.8,66.4,34.2,29.3,0.0,0.0,37.1,30.8,3.9,2.6,1.2,0.6,-6.7,-3.8,
1617velv-nyhv-cmp,4107,Mohon Bots,18,4,225,100,5,,0.40,29.4,28.6,32.8,30.1,8.0,8.1,0.0,0.0,14.5,15.0,5.5,4.1,1.4,1.2,-4.8,-2.8,
1617velv-nyhv-cmp,8527,Bond Bots,19,4,220,80,5,,0.40,34.0,29.7,39.7,32.9,19.3,16.8,0.0,0.0,11.2,11.1,2.2,1.0,1.2,0.6,-7.0,-4.0,
1617velv-nyhv-cmp,4243,Iron Devils,20,4,200,90,5,,0.40,6.2,15.8,4.2,14.8,8.5,10.4,0.0,0.0,-2.2,3.1,0.7,2.5,-0.9,-0.3,2.9,1.2,
1617velv-nyhv-cmp,6567,Roboraiders,21,3,300,120,5,S2,0.30,39.2,40.6,36.8,39.4,28.1,25.4,0.0,0.0,19.5,19.9,-8.6,-5.0,0.2,0.2,2.2,0.8,
1617velv-nyhv-cmp,9832,Robomaniacs,22,2,330,145,5,,0.20,35.1,37.9,15.9,22.3,9.5,10.8,0.0,0.0,13.5,15.6,12.0,11.3,0.1,0.1,19.1,15.3,
1617velv-nyhv-cmp,12414,Indians Too,23,2,260,105,5,,0.20,15.4,20.2,21.1,23.6,-2.8,0.8,0.0,0.0,21.0,19.9,-0.4,0.7,-2.4,-1.4,-3.2,-2.2,
1617velv-nyhv-cmp,4809,Botman,24,2,210,135,5,,0.20,22.8,27.4,24.0,28.7,6.1,7.8,0.0,0.0,16.3,18.0,3.9,3.9,-3.6,-2.5,2.3,1.1,
1617velv-nyhv-cmp,9541,Xeno Gaels,25,2,180,55,5,,0.20,-9.6,3.7,-17.5,-1.4,-5.0,0.1,0.0,0.0,7.3,10.2,-10.9,-6.4,-1.0,-0.3,8.8,5.3,
1617velv-nyhv-cmp,10870,Ardsley Robotics,26,2,165,135,5,,0.20,2.1,11.2,-0.4,9.9,15.6,15.8,0.0,0.0,-9.1,-2.1,-5.2,-3.1,0.9,0.4,1.6,0.7,
1617velv-nyhv-cmp,7475,The Navigators,27,2,110,150,5,,0.20,11.4,15.9,12.0,16.0,-4.0,0.4,0.0,0.0,9.5,10.1,6.5,5.5,-0.6,-0.3,-0.0,-0.0,
1617velv-nyhv-cmp,4481,Woodlands Warriors,28,0,255,75,5,,0.00,24.5,23.2,27.1,23.5,11.0,10.5,0.0,0.0,4.5,5.3,8.9,7.2,0.2,0.0,-2.7,-0.5,
