TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-nyhv-pe-Q-1,Q-1,50-90 B,7486,8391,0,4809,40,0,50,5,0,45,0,0,90,20,0,70,0,0,
1617velv-nyhv-pe-Q-2,Q-2,50-55 B,9541,9832,0,9773,4244,0,50,0,0,40,0,10,55,15,0,20,20,0,
1617velv-nyhv-pe-Q-3,Q-3,100-0 R,4347,4780,0,7488,12399,0,100,15,0,45,40,0,0,0,0,0,0,0,
1617velv-nyhv-pe-Q-4,Q-4,80-0 R,6051,7486,0,8391,9541,0,80,25,0,55,0,0,0,0,0,0,0,0,
1617velv-nyhv-pe-Q-5,Q-5,40-135 B,4244,4809,0,9773,4347,0,40,30,0,0,10,0,135,50,0,65,20,0,
1617velv-nyhv-pe-Q-6,Q-6,40-25 R,6051,40,0,9832,4780,0,40,0,0,40,0,0,25,5,0,10,10,0,
1617velv-nyhv-pe-Q-7,Q-7,0-45 B,12399,9773,0,7488,8391,0,0,0,0,0,0,0,45,5,0,40,0,0,
1617velv-nyhv-pe-Q-8,Q-8,90-10 R,9541,7486,0,4244,4780,0,90,35,0,55,0,0,10,0,0,10,0,0,
1617velv-nyhv-pe-Q-9,Q-9,70-40 R,4347,12399,0,40,9832,0,70,25,0,5,40,0,40,0,0,40,0,0,
1617velv-nyhv-pe-Q-10,Q-10,10-55 B,4809,7488,0,6051,4244,0,10,10,0,0,0,0,55,5,0,50,0,0,
1617velv-nyhv-pe-Q-11,Q-11,7-95 B,9541,4780,0,8391,4347,0,7,5,0,2,0,0,95,5,0,50,40,0,
1617velv-nyhv-pe-Q-12,Q-12,50-55 B,9832,7488,0,7486,4809,0,50,10,0,40,0,0,55,0,0,45,0,10,
1617velv-nyhv-pe-Q-13,Q-13,90-55 R,9773,40,0,6051,12399,0,90,40,0,50,0,0,55,35,0,20,0,0,
1617velv-nyhv-pe-Q-14,Q-14,59-0 R,8391,4780,0,4244,9832,0,59,5,0,44,10,0,0,0,0,0,0,0,
1617velv-nyhv-pe-Q-15,Q-15,60-10 R,12399,40,0,9541,4809,0,60,40,0,20,0,0,10,0,0,10,0,0,
1617velv-nyhv-pe-Q-16,Q-16,95-125 B,9773,6051,0,4347,7486,0,95,40,0,15,40,0,125,20,0,65,40,0,
1617velv-nyhv-pe-Q-17,Q-17,40-85 B,7488,4244,0,9541,40,0,40,10,0,30,0,0,85,40,0,35,10,0,
1617velv-nyhv-pe-SF-1-1,SF-1-1,90-50 R,4347,7486,0,8391,4780,0,90,10,0,30,10,40,50,15,0,35,0,0,
1617velv-nyhv-pe-SF-2-1,SF-2-1,135-50 R,40,9773,0,6051,7488,0,135,55,0,40,40,0,50,10,0,40,0,0,
1617velv-nyhv-pe-SF-1-2,SF-1-2,90-35 R,4347,7486,0,8391,4780,0,90,10,0,40,40,0,35,15,0,20,0,0,
1617velv-nyhv-pe-SF-2-2,SF-2-2,150-25 R,40,9773,0,6051,7488,0,150,50,0,60,40,0,25,10,0,15,0,0,
1617velv-nyhv-pe-F-1,F-1,115-90 R,4347,7486,0,40,9773,0,115,40,0,55,20,0,90,15,0,35,40,0,
1617velv-nyhv-pe-F-2,F-2,125-95 R,4347,7486,0,40,9773,0,125,40,0,45,40,0,95,0,0,55,40,0,
