TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-nyhv-so-Q-1,1,1,1,4654,10949,0,9024,9773,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,1,0,0,0,0,0,0,0,0,0,0,TRUE,1,0,0,0,1,4,0,0,0,0,0,0,
1617velv-nyhv-so-Q-2,1,1,2,6081,4244,0,4107,6761,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,0,0,0,0,4,5,0,0,0,0,0,1,0,FALSE,0,0,1,0,0,0,0,0,0,1,0,0,
1617velv-nyhv-so-Q-3,1,1,3,10475,7034,0,8490,4809,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,3,4,0,0,0,0,0,0,0,0,TRUE,3,0,0,0,3,1,0,1,0,0,0,0,
1617velv-nyhv-so-Q-4,1,1,4,4286,4107,0,18,9024,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,FALSE,0,0,0,0,3,3,0,1,0,0,0,0,0,TRUE,0,0,1,0,1,2,0,0,0,0,0,0,
1617velv-nyhv-so-Q-5,1,1,5,10475,4809,0,10949,4244,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,0,1,1,3,0,1,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,
1617velv-nyhv-so-Q-6,1,1,6,4286,6761,0,4654,7034,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,3,0,4,1,0,1,1,0,0,0,0,TRUE,0,0,1,3,0,0,0,0,0,0,1,0,
1617velv-nyhv-so-Q-7,1,1,7,18,9773,0,8490,6081,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,0,0,0,1,0,0,0,0,0,0,0,FALSE,2,0,0,0,4,5,0,2,0,0,0,0,
1617velv-nyhv-so-Q-8,1,1,8,4107,9024,0,4809,6761,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,1,0,0,1,0,0,1,0,TRUE,0,0,0,0,2,0,0,0,1,0,0,0,0,TRUE,0,0,1,0,0,2,0,1,0,0,1,0,
1617velv-nyhv-so-Q-9,1,1,9,18,6081,0,4654,10475,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,2,0,0,0,3,2,0,2,1,0,0,0,1,TRUE,0,0,1,0,0,0,0,0,0,0,1,0,
1617velv-nyhv-so-Q-10,1,1,10,10949,8490,0,4286,4244,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,1,0,1,0,0,0,0,0,0,0,1,FALSE,1,0,0,0,3,3,0,0,0,0,0,0,
