TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-nyli-sy-Q-1,1,1,1,12382,7407,0,8109,11517,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,0,3,2,1,0,0,0,0,1,0,0,TRUE,0,0,0,1,2,0,0,0,1,0,0,0,
1617velv-nyli-sy-Q-2,1,1,2,7662,6438,0,3540,10169,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,1,2,0,0,0,0,0,0,2,TRUE,0,0,0,1,2,0,5,0,0,0,0,0,
1617velv-nyli-sy-Q-3,1,1,3,7164,10419,0,12428,5978,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,FALSE,2,0,0,0,4,0,0,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,3,0,0,0,0,0,
1617velv-nyli-sy-Q-4,1,1,4,8110,7120,0,5477,8013,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,1,4,0,0,2,0,0,0,1,0,FALSE,1,0,0,0,0,0,0,3,0,1,0,0,
1617velv-nyli-sy-Q-5,1,1,5,8818,4017,0,8108,7417,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,3,0,0,1,0,0,0,0,
1617velv-nyli-sy-Q-6,1,1,6,11988,9715,0,12378,123,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,2,2,0,0,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,
1617velv-nyli-sy-Q-7,1,1,7,10696,11649,0,6939,7164,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,3,0,0,1,1,3,0,1,0,0,0,0,1,FALSE,2,0,0,0,3,1,0,0,0,0,0,0,
1617velv-nyli-sy-Q-8,1,1,8,8109,8108,0,3540,10419,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,2,0,0,0,0,0,0,0,0,TRUE,0,0,1,0,2,0,0,1,0,0,0,0,
1617velv-nyli-sy-Q-9,1,1,9,7407,12378,0,6438,4017,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,0,0,3,5,0,0,0,0,0,0,0,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,
1617velv-nyli-sy-Q-10,1,1,10,8013,12428,0,11517,11988,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,2,0,1,0,4,1,0,0,0,0,0,0,
