TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA0Pk,RA1Pk,BTBeac,BTCent,BTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA0Pk,BA1Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-nynyc-jd1-Q-1,1,1,1,8087,365,0,4782,4780,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,1,2,0,0,0,0,0,0,0,false,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-nynyc-jd1-Q-2,1,1,2,8365,8391,0,11997,9384,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,3,0,0,1,0,0,0,0,0,false,0,0,0,0,1,0,0,0,0,0,0,0,
1617velv-nynyc-jd1-Q-3,1,1,3,3006,11569,0,10539,9773,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,0,1,2,3,0,0,0,0,0,0,0,false,1,0,0,0,0,6,0,2,0,0,0,0,
1617velv-nynyc-jd1-Q-4,1,1,4,4781,9137,0,10639,5163,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,0,0,0,0,0,0,1,0,0,true,0,0,0,1,4,0,0,0,1,0,0,0,
1617velv-nynyc-jd1-Q-5,1,1,5,4174,11453,0,6081,4780,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,2,0,0,0,2,8,0,0,0,0,0,0,0,true,0,0,0,0,1,0,0,2,0,0,0,0,
1617velv-nynyc-jd1-Q-6,1,1,6,4781,8391,0,8087,3006,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,3,0,2,1,0,0,0,0,0,0,1,false,0,0,0,0,2,1,0,0,0,0,0,0,
1617velv-nynyc-jd1-Q-7,1,1,7,4782,9773,0,11997,6081,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,false,2,0,0,0,3,2,0,3,6,0,0,0,0,false,0,0,0,0,1,1,0,2,0,0,6,0,
1617velv-nynyc-jd1-Q-8,1,1,8,10639,9137,0,11453,11569,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,1,4,4,0,1,0,0,0,0,
1617velv-nynyc-jd1-Q-9,1,1,9,5163,10539,0,8365,365,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,1,0,0,0,0,1,0,0,1,false,2,0,0,0,3,1,0,0,0,0,0,1,
1617velv-nynyc-jd1-Q-10,1,1,10,9384,4781,0,4174,9773,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,true,3,0,0,0,3,13,0,0,0,0,0,0,
1617velv-nynyc-jd1-Q-11,1,1,11,365,10639,0,8391,6081,0,0,0,0,false,false,false,0,0,0,false,false,false,1,0,0,0,0,0,1,0,false,1,0,0,0,2,0,0,0,0,0,0,0,0,false,0,0,0,0,2,0,0,3,0,0,0,0,
1617velv-nynyc-jd1-Q-12,1,1,12,3006,11997,0,11453,5163,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,1,1,0,0,0,0,1,0,0,false,0,0,0,0,3,1,0,0,1,0,0,0,
1617velv-nynyc-jd1-Q-13,1,1,13,10539,9384,0,9137,4780,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,1,2,0,0,0,0,0,0,0,false,0,0,0,0,1,1,0,0,0,0,0,0,
1617velv-nynyc-jd1-Q-14,1,1,14,4782,8365,0,11569,4174,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,1,0,0,0,0,0,0,0,1,1,0,false,0,0,0,0,4,4,0,0,1,1,0,0,
1617velv-nynyc-jd1-Q-15,1,1,15,8087,9773,0,11453,365,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,0,0,1,1,0,0,0,false,3,0,0,0,2,3,0,0,0,0,1,1,
1617velv-nynyc-jd1-Q-16,1,1,16,4780,11569,0,5163,8391,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,1,1,0,0,0,0,0,0,0,true,0,0,0,0,3,1,0,0,0,0,0,0,
1617velv-nynyc-jd1-Q-17,1,1,17,10639,9384,0,4782,3006,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,2,0,0,0,1,0,1,0,0,false,0,0,0,0,2,1,1,0,1,0,1,0,
1617velv-nynyc-jd1-Q-18,1,1,18,6081,9137,0,8365,4781,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,1,0,0,0,2,2,0,1,0,0,0,0,1,false,1,0,0,0,2,0,0,0,0,0,0,0,
1617velv-nynyc-jd1-Q-19,1,1,19,10539,4174,0,11997,8087,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,3,0,0,0,0,1,2,0,0,0,0,0,0,false,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-nynyc-jd1-Q-20,1,1,20,9773,4780,0,10639,8365,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,4,6,0,0,0,0,0,1,0,true,0,0,0,1,0,0,0,0,0,1,0,0,
1617velv-nynyc-jd1-Q-21,1,1,21,8087,6081,0,9384,5163,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,1,0,0,0,0,2,0,0,0,0,0,0,0,false,0,0,3,0,4,1,0,0,0,0,0,0,
1617velv-nynyc-jd1-Q-22,1,1,22,4174,365,0,3006,9137,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,false,3,0,1,0,2,15,0,0,0,0,0,0,1,true,1,0,0,0,0,2,0,0,0,0,0,0,
1617velv-nynyc-jd1-Q-23,1,1,23,8391,11453,0,4782,10539,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,2,0,0,0,3,1,0,0,0,0,0,0,0,false,2,0,1,0,1,0,0,0,0,0,0,0,
1617velv-nynyc-jd1-Q-24,1,1,24,11569,11997,0,4781,365,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,1,1,0,1,0,0,0,0,0,true,1,0,1,0,3,3,0,0,0,0,0,0,
1617velv-nynyc-jd1-SF-1-1,1,3,11,4174,9773,0,5163,10539,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,1,0,0,0,1,6,0,3,0,0,0,0,0,false,0,0,0,0,1,0,0,0,0,0,0,0,
1617velv-nynyc-jd1-SF-2-1,1,3,21,11453,6081,0,365,8391,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,1,0,0,0,3,2,0,0,0,0,0,0,0,true,2,0,0,1,1,4,0,0,0,0,0,0,
1617velv-nynyc-jd1-SF-1-2,1,3,12,4174,9773,0,5163,10539,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,3,0,0,0,4,3,0,3,0,0,0,0,1,false,1,0,0,0,0,2,0,0,0,0,0,0,
1617velv-nynyc-jd1-SF-2-2,1,3,22,11453,6081,0,365,8391,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,3,4,0,1,0,0,0,0,0,true,1,0,0,1,1,3,0,0,0,0,0,0,
1617velv-nynyc-jd1-SF-2-3,1,3,23,11453,6081,0,365,8391,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,0,0,1,2,0,2,0,0,0,0,0,true,1,0,0,1,3,5,0,0,0,0,0,0,
1617velv-nynyc-jd1-F-1,1,4,1,4174,9773,0,365,8391,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,3,0,0,0,4,13,0,3,0,0,0,0,0,false,1,0,0,0,0,7,0,0,0,0,0,0,
1617velv-nynyc-jd1-F-2,1,4,2,4174,9773,0,365,8391,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,2,0,0,0,1,9,0,0,0,0,0,1,0,true,2,0,0,1,3,7,0,0,0,1,0,0,
