TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-nynycfl1,3371,Bötley Crüe,1,10,86,85,5,WC,1.00,44.3,39.5,32.7,30.8,10.7,9.4,0.0,0.0,27.3,24.6,-3.3,-2.1,9.6,7.5,1.9,1.1,
1617velv-nynycfl1,5163,Flying Dragon,2,10,75,65,5,FC,1.00,29.9,27.7,47.1,38.6,10.9,9.1,0.0,0.0,20.4,18.3,6.4,5.1,-7.7,-5.0,-9.5,-6.0,
1617velv-nynycfl1,3744,LREI Robotics,3,8,137,45,5,S1,0.80,23.2,20.6,32.4,25.2,7.5,5.8,0.0,0.0,17.4,14.8,-1.7,-1.2,-0.0,1.1,-9.1,-5.8,
1617velv-nynycfl1,10393,Pink Droyd,4,6,136,85,5,SC,0.60,33.0,29.7,38.4,32.8,15.5,13.4,0.0,0.0,18.7,16.7,2.0,1.5,-3.1,-2.0,-2.2,-1.2,
1617velv-nynycfl1,10556,Mulan,5,6,90,60,5,SC,0.60,6.7,9.9,5.4,9.2,-4.1,-1.7,0.0,0.0,5.8,7.0,6.4,5.5,-1.3,-1.0,2.7,1.6,
1617velv-nynycfl1,11942,OctoPi,6,6,80,70,5,,0.60,25.1,23.4,-2.9,1.2,1.0,1.7,0.0,0.0,13.4,12.5,0.2,0.9,10.4,8.2,17.5,13.9,
1617velv-nynycfl1,9681,Parallel Lions,7,6,77,51,5,W1,0.60,14.8,16.3,13.8,15.3,-3.4,-1.2,0.0,0.0,19.0,18.0,1.5,0.9,-2.3,-1.5,3.4,2.3,
1617velv-nynycfl1,7890,Space Lions,8,6,62,55,5,,0.60,7.8,10.4,1.8,5.3,0.5,1.5,0.0,0.0,7.3,8.5,1.0,0.9,-1.1,-0.5,7.1,5.6,
1617velv-nynycfl1,4995,Titanium Tigers,9,5,76,75,5,,0.50,10.8,11.1,15.9,14.3,6.1,5.6,0.0,0.0,8.8,8.3,-0.3,-0.2,-3.8,-2.6,-1.3,-0.6,
1617velv-nynycfl1,8201,BASE,10,5,76,65,5,,0.50,10.0,10.7,7.8,7.6,2.7,2.3,0.0,0.0,0.5,2.5,0.4,0.4,6.3,5.5,-4.1,-2.4,
1617velv-nynycfl1,10322,Shark Byte,11,5,61,50,5,,0.50,7.2,8.9,-9.8,-5.0,-2.0,-0.3,0.0,0.0,3.7,4.2,-0.8,-0.6,6.4,5.5,10.7,8.4,
1617velv-nynycfl1,4326,Basement Lions,12,4,90,40,5,F1,0.40,15.8,15.2,21.9,18.7,6.6,5.9,0.0,0.0,-2.1,-0.6,13.4,11.0,-2.1,-1.1,-4.0,-2.5,
1617velv-nynycfl1,8200,BASE Steel Hawks,13,4,86,45,5,,0.40,21.8,18.8,27.0,22.0,2.6,1.5,0.0,0.0,20.8,18.2,-1.0,-0.5,-0.6,-0.5,-4.6,-2.8,
1617velv-nynycfl1,3896,Techneetics,14,4,76,50,5,,0.40,11.2,11.9,-12.5,-6.9,0.4,1.1,0.0,0.0,-3.5,-0.9,1.1,1.2,13.2,10.4,10.5,8.2,
1617velv-nynycfl1,12282,First Tech SOF,15,4,75,70,5,,0.40,8.1,10.6,-8.7,-3.3,-0.4,0.6,0.0,0.0,-0.1,2.7,-0.3,-0.3,8.9,7.5,7.9,6.3,
1617velv-nynycfl1,10639,RoboKnights,16,2,100,40,5,,0.20,9.9,10.5,7.8,9.1,10.2,9.0,0.0,0.0,-0.2,1.2,-2.5,-1.2,2.4,1.4,-0.2,-0.1,
1617velv-nynycfl1,8500,Luperon Team 1,17,2,92,51,5,S1,0.20,17.9,16.3,16.8,14.7,14.7,11.8,0.0,0.0,6.6,6.7,-3.4,-2.1,0.1,-0.1,1.1,1.6,
1617velv-nynycfl1,10392,The Rolling Drones,18,2,45,30,5,,0.20,1.5,3.9,3.7,5.4,-4.7,-3.0,0.0,0.0,5.0,5.3,2.1,2.1,-1.0,-0.7,-1.2,-1.0,
1617velv-nynycfl1,11943,The Nighthawks,19,1,81,36,5,,0.10,4.0,6.0,-0.4,2.4,-0.1,1.1,0.0,0.0,4.6,5.2,0.9,0.4,-1.4,-0.8,5.8,4.3,
