TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-oh-cl,10030,7SigmaRoboticsorg,1,10,280,180,5,WC,1.00,78.6,67.8,83.7,70.9,42.4,35.2,0.0,0.0,23.7,21.0,15.9,13.6,-3.3,-2.1,-1.8,-1.1,
1617velv-oh-cl,6022,TBD - To Be Determined,2,8,260,97,5,FC,0.80,43.4,41.7,35.0,35.0,1.7,5.1,0.0,0.0,42.4,37.0,0.2,0.1,-0.8,-0.6,9.3,7.2,
1617velv-oh-cl,11211,LCCS Thunderbots,3,8,246,105,5,SC,0.80,25.4,29.4,24.7,28.8,5.5,7.5,0.0,0.0,10.3,13.0,9.0,8.3,0.6,0.4,0.1,0.1,
1617velv-oh-cl,4149,Terabytes,4,8,185,130,5,SC,0.80,49.7,45.3,48.1,44.6,21.0,19.2,0.0,0.0,26.5,24.6,1.3,1.0,0.8,0.3,0.8,0.2,
1617velv-oh-cl,10237,US Robotics,5,8,181,125,5,W1,0.80,64.8,57.8,64.6,57.2,20.1,17.8,0.0,0.0,23.7,20.9,22.3,19.8,-1.3,-0.9,1.5,1.3,
1617velv-oh-cl,10211,Team Hercules,6,8,140,130,5,S1,0.80,42.2,43.1,35.2,36.7,27.8,25.5,0.0,0.0,11.0,14.2,1.1,1.5,2.3,1.7,4.8,4.5,
1617velv-oh-cl,10117,Party Pandas,7,7,236,97,5,S2,0.70,15.0,19.6,19.4,22.0,5.5,6.7,0.0,0.0,14.7,15.6,-4.8,-3.0,-0.3,0.2,-4.1,-2.7,
1617velv-oh-cl,8581,KSSRobotics,8,6,295,135,5,F2,0.60,68.1,62.9,71.3,63.8,46.1,39.6,0.0,0.0,21.4,21.2,-0.6,0.3,1.2,1.6,-4.4,-2.7,
1617velv-oh-cl,12013,RoboBacon,9,6,255,180,5,,0.60,43.5,41.6,32.5,33.0,15.4,15.8,0.0,0.0,9.9,10.6,10.3,8.8,7.9,6.3,3.2,2.1,
1617velv-oh-cl,6253,Avalanche,10,6,235,130,5,S1,0.60,74.7,64.4,68.7,59.0,33.0,28.6,0.0,0.0,43.8,36.7,-1.7,-1.0,-0.4,-0.0,6.4,5.3,
1617velv-oh-cl,8426,CMS Robotics,11,6,187,110,5,F1,0.60,54.5,49.4,48.9,45.0,23.4,21.8,0.0,0.0,7.2,7.5,23.7,20.0,0.1,-0.0,5.5,4.3,
1617velv-oh-cl,9290,Techtonic Titans,12,6,161,125,5,W2,0.60,37.4,37.8,31.0,32.4,12.2,12.8,0.0,0.0,12.2,13.6,5.3,5.0,7.6,6.2,-1.2,-1.0,
1617velv-oh-cl,6418,NDCL Robotics,13,6,156,125,5,,0.60,17.2,22.7,16.4,22.0,0.9,4.5,0.0,0.0,11.7,13.2,3.8,4.3,0.8,0.5,-0.1,-0.0,
1617velv-oh-cl,9980,Fitch Millennium Falcons,14,6,141,110,5,,0.60,14.7,17.7,18.2,19.8,11.0,10.1,0.0,0.0,1.3,4.4,2.2,2.8,0.3,0.1,-3.7,-2.4,
1617velv-oh-cl,11584,Walsh/Hudson Wolfpack Alpha,15,6,136,130,5,,0.60,41.3,38.2,42.0,38.7,17.3,17.0,0.0,0.0,26.8,23.0,-3.0,-2.2,0.2,0.1,-1.0,-0.9,
1617velv-oh-cl,7601,Chain Saw,16,5,141,75,5,,0.50,7.1,12.7,10.7,14.8,-3.2,0.5,0.0,0.0,14.7,14.6,-1.7,-0.8,-2.7,-1.8,-0.9,-0.5,
1617velv-oh-cl,10144,Central Intelligence,17,4,217,105,5,,0.40,18.8,23.2,9.1,15.0,-2.0,1.6,0.0,0.0,15.7,16.4,-3.1,-1.6,8.2,6.7,1.5,1.3,
1617velv-oh-cl,1001,Hacksaw,18,4,215,130,5,S2,0.40,54.2,49.7,57.7,51.9,35.9,30.4,0.0,0.0,19.0,19.6,2.2,1.6,-3.0,-2.1,-0.5,-0.3,
1617velv-oh-cl,10410,Robo-CHEC,19,4,206,95,5,,0.40,11.9,18.0,9.1,15.5,3.4,6.3,0.0,0.0,9.1,10.8,0.7,1.7,-1.3,-1.0,4.1,3.3,
1617velv-oh-cl,11302,Next Nova,20,4,180,100,5,,0.40,10.5,16.7,13.9,18.3,9.6,10.3,0.0,0.0,5.9,9.4,-1.8,-1.1,-3.1,-2.0,-0.3,0.2,
1617velv-oh-cl,7324,Root Access,21,3,140,135,5,,0.30,29.1,26.9,30.1,27.8,25.6,21.9,0.0,0.0,6.5,7.2,-2.4,-1.8,-0.7,-0.6,-0.3,-0.4,
1617velv-oh-cl,6335,KHS Hornets,22,2,217,65,5,,0.20,25.5,24.1,23.2,22.5,4.5,5.7,0.0,0.0,22.3,19.1,-1.1,-0.4,-0.3,-0.4,2.6,1.8,
1617velv-oh-cl,12211,Trial & Error,23,2,185,92,5,,0.20,5.5,11.2,-10.1,-1.1,-14.4,-7.7,0.0,0.0,9.6,10.5,3.5,3.0,6.8,5.3,8.8,6.9,
1617velv-oh-cl,9197,The Inventors,24,2,165,50,5,,0.20,6.6,10.8,11.0,13.6,2.4,3.6,0.0,0.0,0.1,2.1,6.7,6.8,-2.6,-1.8,-1.8,-1.2,
1617velv-oh-cl,8573,Open Source,25,2,155,50,5,,0.20,21.2,18.9,19.9,18.2,2.0,2.3,0.0,0.0,22.4,18.7,-3.8,-2.5,0.5,0.2,0.7,0.3,
1617velv-oh-cl,10341,Silicon Edge,26,2,120,50,5,,0.20,10.1,13.3,9.2,12.2,-0.7,0.9,0.0,0.0,2.7,5.3,7.6,6.3,0.6,0.7,0.4,0.2,
1617velv-oh-cl,6184,MHS Tech Club,27,1,210,80,5,,0.10,26.3,25.6,16.7,17.7,3.7,5.0,0.0,0.0,15.5,14.2,-2.2,-1.4,9.3,7.7,0.3,0.1,
1617velv-oh-cl,8120,Electric Hornets,28,0,231,75,5,,0.00,10.9,16.5,16.2,19.6,9.8,9.8,0.0,0.0,2.3,6.9,0.3,0.5,-1.5,-0.9,-3.8,-2.4,
