TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-oh-ks-Q-1,1,1,1,8426,6184,0,9290,8573,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,TRUE,3,0,0,1,1,7,0,3,0,0,0,0,0,TRUE,1,0,1,0,3,1,0,0,0,0,0,0,
1617velv-oh-ks-Q-2,1,1,2,10237,6450,0,7324,6335,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,2,0,0,0,2,5,0,2,0,0,0,0,4,TRUE,0,0,0,1,2,1,0,0,0,0,0,0,
1617velv-oh-ks-Q-3,1,1,3,10346,1001,0,6054,6440,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,TRUE,2,0,1,0,2,5,0,0,0,0,0,0,0,FALSE,1,0,0,0,2,1,0,3,0,0,0,0,
1617velv-oh-ks-Q-4,1,1,4,11211,5437,0,7024,7018,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,1,0,0,0,4,7,0,0,0,0,0,0,2,TRUE,2,0,0,1,0,1,0,3,0,0,0,0,
1617velv-oh-ks-Q-5,1,1,5,12211,10566,0,8120,11095,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,1,TRUE,0,0,0,1,3,2,2,0,0,0,0,0,
1617velv-oh-ks-Q-6,1,1,6,10410,8581,0,11580,9812,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,FALSE,2,0,0,0,3,3,0,0,0,0,0,0,0,TRUE,2,0,0,1,1,0,0,3,0,0,0,0,
1617velv-oh-ks-Q-7,1,1,7,9980,10211,0,7601,9197,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,TRUE,2,0,0,1,3,5,0,0,0,0,0,0,0,TRUE,0,0,1,0,1,4,0,3,0,0,0,0,
1617velv-oh-ks-Q-8,1,1,8,8426,6450,0,5437,11095,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,0,0,3,0,0,2,0,0,0,0,0,FALSE,0,1,3,0,1,1,2,0,0,0,0,0,
1617velv-oh-ks-Q-9,1,1,9,8120,10346,0,10237,11211,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,FALSE,0,0,0,0,2,3,0,0,0,0,0,0,0,TRUE,0,0,0,1,2,4,0,2,0,0,0,0,
1617velv-oh-ks-Q-10,1,1,10,6440,9980,0,11580,7324,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,0,1,2,0,0,0,0,0,0,1,0,FALSE,1,0,0,0,0,3,0,0,0,1,0,0,
1617velv-oh-ks-Q-11,1,1,11,8581,7018,0,1001,9290,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,2,0,0,1,0,0,0,2,6,1,0,0,2,TRUE,2,0,0,1,4,5,0,0,0,0,6,1,
1617velv-oh-ks-Q-12,1,1,12,8573,12211,0,9812,9197,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,1,2,2,0,0,0,0,0,0,0,FALSE,3,0,0,0,2,2,0,3,0,0,0,0,
1617velv-oh-ks-Q-13,1,1,13,7601,7024,0,10566,6335,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,0,0,0,1,0,2,0,0,0,0,0,0,1,FALSE,1,0,0,0,4,4,0,0,0,0,0,0,
1617velv-oh-ks-Q-14,1,1,14,10211,6054,0,10410,6184,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,2,0,0,0,1,4,0,0,0,0,0,0,2,TRUE,2,0,3,1,3,0,0,1,0,0,0,0,
1617velv-oh-ks-Q-15,1,1,15,11580,10346,0,8573,11095,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,0,1,2,1,0,2,0,0,0,0,0,TRUE,0,1,1,3,2,0,1,0,0,0,0,0,
1617velv-oh-ks-Q-16,1,1,16,8426,7324,0,10566,8581,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,1,0,1,0,1,2,0,2,0,0,1,0,2,TRUE,1,0,0,1,3,2,0,2,1,0,0,0,
1617velv-oh-ks-Q-17,1,1,17,9197,5437,0,1001,10410,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,FALSE,0,0,0,0,4,4,0,3,0,0,0,0,3,TRUE,2,0,1,0,0,5,0,1,0,0,0,0,
1617velv-oh-ks-Q-18,1,1,18,6335,6440,0,10211,7018,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,1,0,0,0,2,1,0,3,0,0,0,0,2,TRUE,2,0,1,0,2,5,0,3,0,0,0,0,
1617velv-oh-ks-Q-19,1,1,19,7024,10237,0,9980,12211,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,3,0,0,0,0,4,0,0,0,0,0,0,0,TRUE,0,0,1,0,2,1,0,0,0,0,0,0,
1617velv-oh-ks-Q-20,1,1,20,9812,9290,0,11211,6054,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,1,0,0,0,3,0,0,3,0,1,0,1,0,TRUE,1,0,1,3,1,1,0,0,0,1,0,1,
1617velv-oh-ks-Q-21,1,1,21,6184,8120,0,7601,6450,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,1,0,0,1,2,6,0,0,0,0,0,0,0,FALSE,1,0,0,0,2,5,0,0,0,0,0,0,
