TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-ohda,5040,Loveland Nuts & Bolts,1,12,241,135,6,WC,
1617velv-ohda,11091,Reynoldsburg Robotics,2,10,140,100,6,SC,
1617velv-ohda,5501,USS Enterprise,3,8,257,135,6,FC,
1617velv-ohda,4444,RoboCats,4,8,220,105,6,SC,
1617velv-ohda,8719,QuantumLeap,5,8,220,100,6,S1,
1617velv-ohda,9771,Spartans,6,8,160,135,6,,
1617velv-ohda,11069,TechnoWizards,7,8,155,95,6,F2,
1617velv-ohda,4969,Robot-X,8,8,155,70,6,,
1617velv-ohda,6133,"The ""NUTS!""",9,8,150,105,6,F1,
1617velv-ohda,6987,HatTrix,10,6,322,140,6,S1,
1617velv-ohda,12098,Briggs HS,11,6,229,140,6,,
1617velv-ohda,7043,Golden Gears,12,6,220,135,6,W1,
1617velv-ohda,5140,WACO Aerobotics,13,4,258,95,6,S2,
1617velv-ohda,4277,ROBOTICONS,14,4,178,125,6,W2,
1617velv-ohda,6085,Electro/Mechanically Controlled Chaos,15,4,166,82,6,,
1617velv-ohda,11507,S.U.C.H,16,4,153,62,6,,
1617velv-ohda,12158,Mifflin HS,17,4,138,65,6,,
1617velv-ohda,9952,CHCA Beak Squad 7-8,18,4,135,105,6,,
1617velv-ohda,3311,Innovators Robotics,19,2,240,65,6,,
1617velv-ohda,7136,Higgs Bosons,20,2,218,75,6,S2,
1617velv-ohda,11747,Extreme Robotics,21,2,101,125,6,,
