TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-or-be1,8949,The Gifted Gears,1,9,212,130,5,,0.90,67.9,60.3,68.5,60.6,51.3,43.2,0.0,0.0,15.7,16.0,1.9,1.5,-0.9,-0.5,0.3,0.1,
1617velv-or-be1,750,Gears in Motion,2,7,236,90,5,,0.70,34.2,34.1,35.8,35.1,10.1,12.1,0.0,0.0,24.3,22.2,-0.3,-0.2,0.0,-0.0,-1.7,-1.1,
1617velv-or-be1,3058,Jury Riggers,3,7,223,75,5,,0.70,42.0,37.4,42.3,37.6,26.8,22.6,0.0,0.0,15.3,14.9,0.4,0.2,-0.4,-0.3,0.1,-0.0,
1617velv-or-be1,8610,ToborTech,4,7,208,95,5,,0.70,37.8,35.7,33.9,32.5,28.9,25.0,0.0,0.0,7.0,9.1,-0.2,-0.2,2.1,1.7,1.8,1.5,
1617velv-or-be1,7516,Mr. Roboto,5,6,203,70,5,,0.60,15.3,19.2,13.3,17.6,-3.4,0.6,0.0,0.0,16.7,17.0,-0.4,-0.3,2.4,1.8,-0.4,-0.2,
1617velv-or-be1,4097,The Pac-Bots,6,6,188,130,5,,0.60,39.3,38.1,38.0,37.0,13.8,14.8,0.0,0.0,21.7,20.2,1.9,1.5,1.9,1.5,-0.6,-0.4,
1617velv-or-be1,7013,Hot Wired,7,5,256,80,5,,0.50,34.2,33.9,35.9,34.9,1.4,3.7,0.0,0.0,34.2,31.0,-0.4,-0.3,-1.1,-0.7,-0.6,-0.4,
1617velv-or-be1,12002,Tualatin FTC,8,4,198,61,5,,0.40,8.8,13.5,7.9,12.5,8.3,9.8,0.0,0.0,1.6,4.3,-0.3,-0.2,-0.7,-0.5,1.7,1.4,
1617velv-or-be1,9774,Nano Ninjas,9,3,204,80,5,,0.30,12.7,17.1,13.5,17.6,9.0,11.2,0.0,0.0,4.0,6.0,-0.4,-0.3,0.2,0.0,-1.0,-0.6,
1617velv-or-be1,3965,Twisted Metal,10,2,222,80,5,,0.20,19.6,20.2,17.9,18.7,1.8,2.6,0.0,0.0,18.1,17.8,0.4,0.2,-0.7,-0.5,2.4,1.8,
1617velv-or-be1,9231,Big Bots,11,2,201,70,5,,0.20,15.0,16.9,13.8,15.7,0.9,2.3,0.0,0.0,13.1,13.5,-0.3,-0.2,1.2,1.2,-0.0,-0.1,
1617velv-or-be1,10565,System Online,12,2,181,108,5,,0.20,26.9,26.7,24.7,24.9,9.1,9.9,0.0,0.0,17.9,16.8,-0.1,-0.1,0.1,-0.0,2.1,1.7,
