TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-or-be2,7013,Hot Wired,1,10,392,145,5,,1.00,90.6,79.0,
1617velv-or-be2,8949,The Gifted Gears,2,8,310,120,5,,0.80,80.3,70.3,
1617velv-or-be2,10565,System Online,3,6,250,95,5,,0.60,16.2,23.0,
1617velv-or-be2,9231,Big Bots,4,6,235,71,5,,0.60,27.8,27.8,
1617velv-or-be2,750,Gears in Motion,5,6,215,110,5,,0.60,37.9,35.9,
1617velv-or-be2,4097,The Pac-Bots,6,4,311,120,5,,0.40,44.1,42.0,
1617velv-or-be2,7516,Mr. Roboto,7,4,310,135,5,,0.40,22.3,26.9,
1617velv-or-be2,3965,Twisted Metal,8,4,276,115,5,,0.40,48.3,47.5,
1617velv-or-be2,8610,ToborTech,9,4,260,85,5,,0.40,18.5,22.0,
1617velv-or-be2,9774,Nano Ninjas,10,4,257,140,5,,0.40,26.1,29.0,
1617velv-or-be2,3058,Jury Riggers,11,2,371,145,5,,0.20,34.3,37.8,
1617velv-or-be2,12002,Tualatin FTC,12,2,221,102,5,,0.20,13.6,18.6,
