TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-or-cba2,7474,VWA,1,10,74,50,5,,1.00,29.6,25.3,24.6,20.7,0.1,0.4,0.0,0.0,20.9,18.0,0.6,0.3,8.0,6.5,-3.0,-2.0,
1617velv-or-cba2,10530,Robotica,2,8,40,42,5,,0.80,21.3,18.5,24.4,20.4,-2.1,-1.3,0.0,0.0,23.4,19.4,2.0,1.5,-2.0,-1.2,-1.1,-0.7,
1617velv-or-cba2,7499,The Nerdy Girls,3,7,41,40,5,,0.70,7.2,8.0,10.6,10.4,0.7,0.9,0.0,0.0,9.3,8.9,-0.0,-0.0,-2.8,-1.9,-0.6,-0.5,
1617velv-or-cba2,7497,Blackout,4,6,40,45,5,,0.60,9.3,9.3,9.9,9.7,1.3,1.1,0.0,0.0,3.2,4.4,4.0,3.3,0.8,0.4,-1.4,-0.9,
1617velv-or-cba2,7470,Elite Tech,5,5,50,42,5,,0.50,13.3,12.2,12.2,11.4,0.2,0.1,0.0,0.0,14.4,12.8,-1.4,-0.9,0.1,0.1,1.0,0.6,
1617velv-or-cba2,12103,Sunridge Y2 B,6,5,41,30,5,,0.50,1.9,4.4,2.7,4.9,-0.8,-0.6,0.0,0.0,5.5,6.7,-1.1,-0.7,-1.6,-1.1,0.9,0.5,
1617velv-or-cba2,12041,Ro-Bros,7,4,68,48,5,,0.40,8.3,9.8,1.3,4.0,0.9,0.7,0.0,0.0,10.2,10.9,-1.8,-1.2,-0.9,-0.7,7.9,6.4,
1617velv-or-cba2,11887,Hermiston Middle Schools Robotics,8,4,55,30,5,,0.40,14.6,12.2,15.0,12.5,2.4,2.3,0.0,0.0,13.5,10.8,-0.0,-0.1,-1.2,-0.8,0.8,0.5,
1617velv-or-cba2,10585,LHS Robotics,9,4,45,30,5,,0.40,-0.6,2.2,-0.8,2.2,0.6,0.5,0.0,0.0,-2.7,0.9,-0.2,-0.1,1.7,1.0,-1.5,-1.0,
1617velv-or-cba2,8096,Tiger Robotics,10,3,108,50,5,,0.30,5.0,7.4,-2.5,1.3,7.6,6.2,0.0,0.0,-10.2,-5.2,-0.6,-0.3,8.2,6.6,-0.7,-0.6,
1617velv-or-cba2,8153,Aperture Robotics,11,2,94,48,5,,0.20,12.5,11.5,7.7,7.1,1.0,1.2,0.0,0.0,13.9,11.9,0.4,0.2,-2.8,-1.9,7.6,6.3,
1617velv-or-cba2,6741,HHS Robotics,12,2,40,45,5,,0.20,3.5,4.5,4.8,5.3,0.2,0.4,0.0,0.0,0.7,2.1,2.0,1.6,0.6,0.3,-1.8,-1.2,
