TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-or-cbb2,8590,Bear Mettle,1,9,65,70,5,,0.90,39.4,34.2,
1617velv-or-cbb2,9060,Smarties,2,8,75,60,5,,0.80,20.9,20.0,
1617velv-or-cbb2,12042,Gear Grinders,3,7,55,45,5,,0.70,20.1,18.0,
1617velv-or-cbb2,7473,The Pride,4,6,45,50,5,,0.60,8.7,9.0,
1617velv-or-cbb2,10531,BB-8 Builders,5,5,60,70,5,,0.50,10.6,11.3,
1617velv-or-cbb2,7496,Cyberbots,6,5,60,50,5,,0.50,20.1,18.2,
1617velv-or-cbb2,10765,M.A.L.E.,7,4,40,40,5,,0.40,10.9,11.5,
1617velv-or-cbb2,8154,Modern Americans,8,3,55,25,5,,0.30,-2.9,0.2,
1617velv-or-cbb2,8007,Bulldog Robotics,9,3,30,40,5,,0.30,-0.2,2.0,
1617velv-or-cbb2,8890,Stanfield Robotics,10,0,35,20,5,,0.00,-4.4,-1.6,
