TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-or-cmpd2-Q-1,1,1,1,5627,4543,0,750,8165,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,false,2,0,3,0,3,0,0,0,0,0,0,0,0,true,2,0,1,0,1,3,0,3,0,0,0,0,
1617velv-or-cmpd2-Q-2,1,1,2,7750,7873,0,11397,8466,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,0,1,2,10,0,0,0,0,0,1,0,false,0,0,0,0,2,0,1,0,0,1,0,0,
1617velv-or-cmpd2-Q-3,1,1,3,11625,9769,0,7187,4855,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,1,0,0,1,4,7,0,3,0,0,0,0,1,true,1,0,0,0,0,10,0,3,0,0,0,0,
1617velv-or-cmpd2-Q-4,1,1,4,9339,9776,0,8045,11441,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,1,0,2,3,0,0,0,0,0,1,2,true,2,0,1,0,2,6,0,2,0,1,0,0,
1617velv-or-cmpd2-Q-5,1,1,5,3525,7875,0,6712,11089,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,4,4,0,3,0,0,0,0,0,true,3,0,1,0,0,6,0,3,0,0,0,0,
1617velv-or-cmpd2-Q-6,1,1,6,9774,7878,0,9520,6590,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,0,0,1,2,0,1,0,0,0,0,0,false,2,0,0,0,3,4,0,0,0,0,0,0,
1617velv-or-cmpd2-Q-7,1,1,7,8466,11441,0,9769,8165,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,true,0,0,0,1,1,10,0,3,0,1,1,0,1,true,0,0,0,0,3,2,0,0,1,0,0,1,
1617velv-or-cmpd2-Q-8,1,1,8,11089,7750,0,7187,5627,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,false,1,0,0,0,2,9,0,1,0,0,0,0,2,false,1,0,0,0,2,1,0,3,0,0,0,0,
1617velv-or-cmpd2-Q-9,1,1,9,6712,9520,0,7873,8045,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,1,3,1,4,0,0,0,0,0,0,2,false,3,0,0,0,2,9,0,3,0,0,0,0,
1617velv-or-cmpd2-Q-10,1,1,10,7875,11397,0,750,7878,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,true,0,0,0,0,4,8,0,0,0,0,0,0,0,true,3,0,1,0,0,4,0,0,0,0,0,0,
1617velv-or-cmpd2-Q-11,1,1,11,9339,4543,0,9774,11625,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,true,2,0,1,0,2,1,0,0,0,0,0,0,1,true,0,0,3,0,2,0,0,0,0,0,0,0,
1617velv-or-cmpd2-Q-12,1,1,12,6590,4855,0,3525,9776,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,false,0,0,0,0,4,4,0,3,0,0,0,1,0,false,0,0,0,0,0,3,0,1,0,1,0,0,
1617velv-or-cmpd2-Q-13,1,1,13,9520,750,0,7750,11441,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,3,0,3,1,2,5,0,2,0,0,0,0,0,false,0,0,0,0,2,4,0,0,0,0,0,0,
1617velv-or-cmpd2-Q-14,1,1,14,11397,5627,0,9769,9339,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,1,0,3,0,2,0,0,1,0,0,0,0,2,true,2,0,0,1,2,9,0,0,0,0,0,0,
1617velv-or-cmpd2-Q-15,1,1,15,7187,7878,0,6712,9776,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,1,0,0,0,2,4,0,0,0,0,0,0,2,true,1,0,0,0,2,1,0,0,0,0,0,0,
1617velv-or-cmpd2-Q-16,1,1,16,8165,7873,0,3525,9774,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,0,0,4,5,0,2,0,0,0,0,0,false,0,0,0,0,0,1,0,3,0,0,0,0,
