TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-or-cmpd2,8045,Gromit's Grommets,1,10,540,250,5,WC,1.00,161.5,140.1,149.6,129.1,89.6,75.6,0.0,0.0,33.6,31.6,34.2,28.2,4.1,4.6,7.8,6.4,
1617velv-or-cmpd2,6590,Ratchet Robotics,2,10,315,200,5,SC,1.00,42.7,49.4,41.2,47.1,16.6,19.9,0.0,0.0,17.1,19.3,5.4,6.2,3.7,3.9,-2.1,-1.6,
1617velv-or-cmpd2,7873,Duct tape,3,8,271,210,5,FC,0.80,74.1,72.1,71.3,69.0,15.3,18.7,0.0,0.0,42.8,38.1,9.8,10.1,6.1,5.2,-3.4,-2.0,
1617velv-or-cmpd2,9769,Total Chaos,4,6,495,225,5,F1,0.60,117.2,102.5,99.1,86.9,44.9,40.6,0.0,0.0,46.1,39.8,10.7,9.0,15.5,13.0,2.6,2.6,
1617velv-or-cmpd2,11089,Bytes of Kitkats,5,6,475,175,5,S1,0.60,88.2,80.2,78.1,72.0,40.9,37.8,0.0,0.0,25.5,24.4,22.7,18.5,-0.9,-0.7,11.1,8.9,
1617velv-or-cmpd2,5627,Robotics Quasar Alliance,6,6,475,165,5,SC,0.60,78.5,69.1,73.9,64.9,35.2,32.4,0.0,0.0,28.4,24.3,13.1,11.5,1.9,0.8,2.8,3.4,
1617velv-or-cmpd2,7875,Men In Green,7,6,405,225,5,W1,0.60,107.8,94.4,111.7,97.1,48.8,42.9,0.0,0.0,51.5,43.9,4.4,5.8,3.1,1.7,-7.0,-4.4,
1617velv-or-cmpd2,4543,Binary Chaos,8,6,385,130,5,,0.60,26.4,37.3,31.5,40.3,37.3,36.6,0.0,0.0,4.9,10.4,-10.5,-6.7,-5.1,-3.2,0.1,0.2,
1617velv-or-cmpd2,6712,Bullet Proof,9,6,375,150,5,,0.60,50.4,50.3,61.4,57.3,38.8,35.8,0.0,0.0,11.2,12.6,2.8,3.2,-2.4,-1.4,-8.6,-5.6,
1617velv-or-cmpd2,9520,The Slingshot,10,6,343,145,5,,0.60,52.9,54.5,42.2,45.9,29.5,29.8,0.0,0.0,25.8,24.8,-1.2,0.6,-1.1,-0.8,11.9,9.4,
1617velv-or-cmpd2,7750,M&M's,11,6,326,250,5,W2,0.60,45.0,49.6,43.2,46.7,14.7,17.2,0.0,0.0,27.7,27.4,-4.4,-1.4,7.1,6.3,-5.2,-3.5,
1617velv-or-cmpd2,7187,Team Axis,12,4,485,140,5,F2,0.40,37.7,44.3,40.4,45.9,26.9,27.1,0.0,0.0,5.2,10.2,11.3,10.0,-5.8,-3.1,3.1,1.6,
1617velv-or-cmpd2,750,Gears in Motion,13,4,350,125,5,S2,0.40,55.6,52.6,63.0,57.1,43.2,37.1,0.0,0.0,13.1,13.6,3.7,4.4,-4.3,-2.6,-3.1,-1.9,
1617velv-or-cmpd2,9776,The United Nerds,14,4,345,225,5,,0.40,42.2,46.1,17.9,25.8,18.3,19.9,0.0,0.0,10.3,12.5,-2.2,0.0,15.8,13.5,8.5,6.8,
1617velv-or-cmpd2,8466,The Fellowship of the Robot,15,4,331,225,5,S1,0.40,74.4,72.5,52.2,53.2,23.9,23.5,0.0,0.0,28.4,28.9,23.2,19.6,-1.0,0.3,23.2,18.9,
1617velv-or-cmpd2,4855,Batteries In Black,16,4,313,170,5,S2,0.40,63.3,60.3,60.2,57.0,13.0,15.4,0.0,0.0,29.1,26.4,11.5,11.0,9.7,7.4,-6.6,-4.0,
1617velv-or-cmpd2,9339,Rogue Mafia,17,4,300,165,5,,0.40,54.7,52.4,55.1,51.3,32.3,30.8,0.0,0.0,22.9,20.7,-3.6,-2.2,3.1,3.0,-3.5,-1.9,
1617velv-or-cmpd2,3525,Dynamite Robotics,18,4,290,105,5,,0.40,20.4,26.4,14.3,21.0,-5.6,0.7,0.0,0.0,3.5,6.6,24.5,20.3,-2.0,-1.3,8.2,6.6,
1617velv-or-cmpd2,11441,M^3 (McMinnville Mastermind Mechanics),19,4,280,180,5,,0.40,23.2,30.6,8.8,18.6,4.3,10.0,0.0,0.0,17.3,17.4,0.0,2.3,1.6,0.9,12.8,11.1,
1617velv-or-cmpd2,11397,BBIT,20,4,224,145,5,,0.40,0.9,11.9,0.2,9.9,-0.7,3.3,0.0,0.0,7.6,10.4,-4.8,-1.3,-1.2,-0.6,2.0,2.6,
1617velv-or-cmpd2,7878,Cougarbots,21,2,450,195,5,,0.20,32.2,37.9,22.3,30.2,16.1,20.8,0.0,0.0,7.1,8.2,-2.0,0.7,11.0,8.1,-1.1,-0.4,
1617velv-or-cmpd2,11625,Clockwork Robotics,22,2,445,170,5,,0.20,32.6,38.8,39.4,43.1,16.5,18.0,0.0,0.0,17.6,20.1,4.1,3.8,-5.6,-3.2,-1.2,-1.0,
1617velv-or-cmpd2,8165,KillaBots,23,2,303,120,5,,0.20,23.1,30.2,15.9,24.1,1.0,5.7,0.0,0.0,9.1,12.6,8.8,7.8,4.2,4.0,3.1,2.1,
1617velv-or-cmpd2,9774,Nano Ninjas,24,2,255,150,5,,0.20,31.4,31.8,35.9,34.8,18.2,17.4,0.0,0.0,10.1,10.0,6.6,6.5,-3.4,-2.3,-1.1,-0.7,
