TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-or-hb-Q-1,Q-1,40-75 B,6712,8720,0,9769,9357,0,40,40,0,0,0,0,75,30,0,45,0,0,false,false,false,false,
1617velv-or-hb-Q-2,Q-2,45-65 B,11591,12000,0,12057,11625,0,45,15,0,30,0,0,65,10,0,15,40,0,false,false,false,false,
1617velv-or-hb-Q-3,Q-3,130-131 B,10659,11089,0,7776,9776,0,130,95,0,35,0,0,131,90,0,41,0,0,false,false,false,false,
1617velv-or-hb-Q-4,Q-4,92-55 R,11778,11397,0,7333,11556,0,92,70,0,22,0,0,55,30,0,25,0,0,false,false,false,false,
1617velv-or-hb-Q-5,Q-5,25-30 B,10332,10925,0,10339,3525,0,25,10,0,15,0,0,30,0,0,30,0,0,false,false,false,false,
1617velv-or-hb-Q-6,Q-6,25-45 B,12216,6712,0,11703,11591,0,25,5,0,20,0,0,45,5,0,30,10,0,false,false,false,false,
1617velv-or-hb-Q-7,Q-7,94-60 R,11625,11397,0,10925,9769,0,94,70,0,24,0,0,60,35,0,25,0,0,false,false,false,false,
1617velv-or-hb-Q-8,Q-8,0-100 B,12216,7333,0,8720,7776,0,0,0,0,0,0,0,100,45,0,55,0,0,false,false,false,false,
1617velv-or-hb-Q-9,Q-9,40-10 R,10659,10339,0,12000,11778,0,40,0,0,40,0,0,10,10,0,0,0,0,false,false,false,false,
1617velv-or-hb-Q-10,Q-10,65-10 R,11703,11556,0,9776,3525,0,65,40,0,25,0,0,10,0,0,10,0,0,false,false,false,false,
1617velv-or-hb-Q-11,Q-11,10-95 B,12057,9357,0,10332,11089,0,10,0,0,10,0,0,95,50,0,45,0,0,false,false,false,false,
1617velv-or-hb-Q-12,Q-12,80-87 B,11591,7776,0,10339,11397,0,80,40,0,40,0,0,87,65,0,22,0,0,true,false,true,false,
1617velv-or-hb-Q-13,Q-13,66-80 B,11089,11556,0,6712,11625,0,66,55,0,11,0,0,80,40,0,40,0,0,false,false,false,false,
1617velv-or-hb-Q-14,Q-14,76-10 R,8720,9776,0,11778,12057,0,76,20,0,56,0,0,10,0,0,10,0,0,false,false,false,false,
1617velv-or-hb-Q-15,Q-15,85-15 R,10925,10659,0,12216,9357,0,85,35,0,40,10,0,15,5,0,0,10,0,false,false,false,false,
1617velv-or-hb-Q-16,Q-16,20-65 B,11703,7333,0,9769,10332,0,20,0,0,20,0,0,65,20,0,45,0,0,false,false,false,false,
1617velv-or-hb-Q-17,Q-17,70-87 B,3525,8720,0,12000,11397,0,70,20,0,40,10,0,87,65,0,22,0,0,false,false,false,false,
1617velv-or-hb-Q-18,Q-18,15-40 B,11625,9776,0,12216,10332,0,15,5,0,10,0,0,40,5,0,35,0,0,false,false,false,false,
1617velv-or-hb-Q-19,Q-19,30-55 B,9357,12000,0,7776,11556,0,30,10,0,20,0,0,55,30,0,25,0,0,false,false,false,false,
1617velv-or-hb-Q-20,Q-20,20-110 B,9769,3525,0,10659,11591,0,20,0,0,20,0,0,110,70,0,30,10,0,false,false,false,false,
1617velv-or-hb-Q-21,Q-21,10-60 B,10339,12057,0,6712,7333,0,10,0,0,0,10,0,60,15,0,45,0,0,false,false,false,false,
1617velv-or-hb-Q-22,Q-22,50-45 R,11778,10925,0,11703,11089,0,50,10,0,40,0,0,45,30,0,15,0,0,false,false,false,false,
1617velv-or-hb-Q-23,Q-23,55-65 B,12216,9769,0,11556,10339,0,55,30,0,25,0,0,65,15,0,40,10,0,false,false,false,false,
1617velv-or-hb-Q-24,Q-24,30-30 T,7333,9776,0,11591,9357,0,30,0,0,30,0,0,30,0,0,10,20,0,false,false,false,false,
1617velv-or-hb-Q-25,Q-25,105-60 R,11625,7776,0,3525,11778,0,105,60,0,45,0,0,60,0,0,20,40,0,false,false,false,false,
1617velv-or-hb-Q-26,Q-26,73-65 R,11397,12057,0,11703,10659,0,73,60,0,13,0,0,65,35,0,30,0,0,false,false,false,false,
1617velv-or-hb-Q-27,Q-27,15-75 B,10332,12000,0,6712,10925,0,15,5,0,10,0,0,75,25,0,50,0,0,false,false,false,false,
1617velv-or-hb-Q-28,Q-28,105-55 R,11089,11591,0,8720,10339,0,105,40,0,25,0,40,55,10,0,45,0,0,false,false,false,false,
1617velv-or-hb-SF-1-1,SF-1-1,74-100 B,11397,9776,11703,11591,10659,7333,74,60,0,14,0,0,100,70,0,30,0,0,false,false,false,false,
1617velv-or-hb-SF-1-2,SF-1-2,100-31 R,11397,9776,11703,11591,10659,7333,100,70,0,10,20,0,31,0,0,31,0,0,false,false,false,false,
1617velv-or-hb-SF-1-3,SF-1-3,26-125 B,11397,9776,11703,11591,10659,7333,26,5,0,1,20,0,125,75,0,40,10,0,false,false,false,false,
1617velv-or-hb-SF-2-1,SF-2-1,95-81 R,7776,11089,9769,11625,8720,6712,95,35,0,60,0,0,81,20,0,31,20,10,false,false,false,false,
1617velv-or-hb-SF-2-2,SF-2-2,195-10 R,7776,11089,9769,11625,8720,6712,195,115,0,80,0,0,10,0,0,0,10,0,false,false,false,false,
1617velv-or-hb-F-1,F-1,45-70 B,11591,10659,7333,7776,11089,9769,45,15,0,30,0,0,70,40,0,30,0,0,false,false,false,false,
1617velv-or-hb-F-2,F-2,25-110 B,11591,10659,7333,7776,11089,9769,25,5,0,20,0,0,110,45,0,65,0,0,false,false,false,false,
