TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-or-hr-Q-1,Q-1,0-15 B,5267,11787,0,10431,8082,0,0,0,0,0,0,0,15,5,0,0,10,0,false,false,false,false,
1617velv-or-hr-Q-2,Q-2,105-45 R,5266,4543,0,8176,3633,0,105,55,0,50,0,0,45,0,0,5,40,0,false,false,false,false,
1617velv-or-hr-Q-3,Q-3,50-10 R,10485,9528,0,8171,9529,0,50,0,0,50,0,0,10,0,0,10,0,0,false,false,false,false,
1617velv-or-hr-Q-4,Q-4,5-50 B,9619,11828,0,8165,7873,0,5,5,0,0,0,0,50,10,0,40,0,0,false,false,false,false,
1617velv-or-hr-Q-5,Q-5,0-50 B,7874,4412,0,4143,8169,0,0,0,0,0,0,0,50,0,0,40,0,10,false,false,false,false,
1617velv-or-hr-Q-6,Q-6,85-5 R,7875,8165,0,5686,11787,0,85,35,0,50,0,0,5,5,0,0,0,0,false,false,false,false,
1617velv-or-hr-Q-7,Q-7,40-30 R,8171,4143,0,5267,5266,0,40,10,0,20,10,0,30,0,0,30,0,0,false,false,false,false,
1617velv-or-hr-Q-8,Q-8,15-45 B,9528,3633,0,7873,8169,0,15,5,0,10,0,0,45,10,0,35,0,0,false,false,false,false,
1617velv-or-hr-Q-9,Q-9,115-105 R,8176,10431,0,7875,11828,0,115,90,0,15,10,0,105,35,0,70,0,0,false,false,false,false,
1617velv-or-hr-Q-10,Q-10,45-45 T,7874,4543,0,9529,5686,0,45,35,0,10,0,0,45,0,0,35,10,0,false,false,false,false,
1617velv-or-hr-Q-11,Q-11,20-90 B,9619,4412,0,8082,10485,0,20,0,0,20,0,0,90,50,0,40,0,0,false,false,false,false,
1617velv-or-hr-Q-12,Q-12,20-115 B,3633,5267,0,7874,7875,0,20,0,0,20,0,0,115,25,0,50,0,40,true,false,true,false,
1617velv-or-hr-Q-13,Q-13,30-15 R,10431,4412,0,8165,4543,0,30,0,0,30,0,0,15,5,0,10,0,0,false,false,false,false,
1617velv-or-hr-Q-14,Q-14,95-10 R,9528,5266,0,11828,8082,0,95,55,0,40,0,0,10,10,0,0,0,0,false,false,false,false,
1617velv-or-hr-Q-15,Q-15,30-20 R,8169,8171,0,11787,9619,0,30,10,0,20,0,0,20,0,0,20,0,0,false,false,false,false,
1617velv-or-hr-Q-16,Q-16,30-115 B,7873,5686,0,8176,10485,0,30,0,0,20,0,10,115,30,0,75,10,0,false,false,false,false,
1617velv-or-hr-Q-17,Q-17,15-30 B,9529,8082,0,4143,8165,0,15,5,0,10,0,0,30,0,0,30,0,0,false,false,false,false,
1617velv-or-hr-Q-18,Q-18,55-90 B,7873,5266,0,11787,7874,0,55,10,0,45,0,0,90,0,0,0,0,90,false,false,false,false,
1617velv-or-hr-Q-19,Q-19,15-55 B,5686,4143,0,9528,10431,0,15,5,0,10,0,0,55,15,0,30,10,0,false,false,false,false,
1617velv-or-hr-Q-20,Q-20,40-165 B,9529,9619,0,5267,8176,0,40,5,0,35,0,0,165,95,0,30,40,0,false,false,false,false,
1617velv-or-hr-Q-21,Q-21,195-5 R,10485,7875,0,8169,4543,0,195,95,0,100,0,0,5,5,0,0,0,0,false,false,false,false,
1617velv-or-hr-Q-22,Q-22,0-40 B,8171,11828,0,4412,3633,0,0,0,0,0,0,0,40,0,0,40,0,0,false,false,false,false,
1617velv-or-hr-Q-23,Q-23,95-20 R,8165,8176,0,9528,7874,0,95,45,0,40,10,0,20,10,0,10,0,0,false,false,false,false,
1617velv-or-hr-Q-24,Q-24,55-70 B,8169,5267,0,11828,5686,0,55,10,0,45,0,0,70,10,0,10,10,40,false,false,false,false,
1617velv-or-hr-Q-25,Q-25,325-20 R,11787,10485,0,3633,4143,0,325,95,0,60,0,170,20,0,0,20,0,0,false,false,false,false,
1617velv-or-hr-Q-26,Q-26,90-10 R,7873,8082,0,4543,8171,0,90,40,0,50,0,0,10,10,0,0,0,0,false,false,false,false,
1617velv-or-hr-Q-27,Q-27,180-10 R,7875,9529,0,4412,5266,0,180,95,0,85,0,0,10,0,0,10,0,0,false,false,false,false,
1617velv-or-hr-Q-28,Q-28,30-20 R,10431,3633,0,9619,7874,0,30,0,0,30,0,0,20,0,0,10,10,0,false,false,false,false,
1617velv-or-hr-SF-1-1,SF-1-1,55-10 R,10431,7873,3633,8165,4143,8169,55,10,0,45,0,0,10,0,0,10,0,0,false,false,false,false,
1617velv-or-hr-SF-2-1,SF-2-1,125-60 R,10485,7875,9529,8176,5266,4543,125,35,0,70,20,0,60,0,0,40,20,0,false,false,false,false,
1617velv-or-hr-SF-1-2,SF-1-2,50-10 R,10431,7873,3633,8165,4143,8169,50,10,0,40,0,0,10,0,0,10,0,0,false,false,false,false,
1617velv-or-hr-SF-2-2,SF-2-2,150-40 R,10485,7875,9529,8176,5266,4543,150,65,0,85,0,0,40,0,0,30,10,0,false,false,false,false,
1617velv-or-hr-F-1,F-1,65-180 B,10431,7873,3633,10485,7875,9529,65,10,0,45,10,0,180,95,0,65,20,0,false,false,false,false,
1617velv-or-hr-F-2,F-2,40-55 B,10431,7873,3633,10485,7875,9529,40,10,0,30,0,0,55,0,0,55,0,0,false,false,false,false,
