TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-or-hr,10431,mechanicals,1,10,155,115,5,FC,1.00,33.2,29.5,24.4,26.5,11.6,12.3,0.0,0.0,13.6,12.0,0.4,1.5,7.6,3.7,1.1,-0.7,
1617velv-or-hr,10485,sa-Bot-age,2,10,75,325,5,WC,1.00,108.1,96.1,64.8,64.9,27.3,28.2,0.0,0.0,50.0,43.2,-3.4,-1.4,34.2,26.0,9.1,5.1,
1617velv-or-hr,8176,Steelhead,3,8,230,165,5,SC,0.80,75.6,66.8,89.9,74.3,47.2,38.2,0.0,0.0,14.3,14.9,22.0,17.7,-7.9,-4.0,-6.4,-3.5,
1617velv-or-hr,7875,Men In Green,4,8,145,195,5,W1,0.80,96.0,87.0,111.3,91.3,51.8,42.1,0.0,0.0,53.4,47.5,1.4,0.3,-10.6,-3.0,-4.6,-1.3,
1617velv-or-hr,8165,KillaBots,5,8,60,95,5,SC,0.80,0.3,11.2,5.2,15.4,-10.5,-1.6,0.0,0.0,9.6,12.4,-2.9,-1.3,4.2,1.7,-9.1,-5.9,
1617velv-or-hr,7873,Duct tape,6,6,105,90,5,F1,0.60,46.5,36.9,21.6,18.6,14.1,9.9,0.0,0.0,29.9,25.1,-0.4,-0.3,2.9,2.1,21.9,16.2,
1617velv-or-hr,8169,Fully Charged,7,6,95,55,5,S2,0.60,15.9,18.8,12.8,15.5,-4.1,0.1,0.0,0.0,15.4,15.8,-1.5,-0.9,6.1,3.8,-3.1,-0.4,
1617velv-or-hr,4143,Tech No Logic,8,6,80,50,5,S1,0.60,31.9,24.0,-4.4,-4.8,10.7,6.0,0.0,0.0,18.5,15.6,1.2,0.9,1.6,1.4,34.7,27.4,
1617velv-or-hr,9528,Bot-Busters,9,6,70,95,5,,0.60,7.1,12.1,35.7,28.5,10.5,7.9,0.0,0.0,9.8,11.3,2.2,1.3,-15.4,-8.4,-13.2,-7.9,
1617velv-or-hr,8082,Flying Toasters,10,6,55,90,5,,0.60,-8.3,4.4,16.6,16.0,8.7,9.0,0.0,0.0,-4.7,1.0,3.0,1.8,-15.3,-7.5,-9.7,-4.2,
1617velv-or-hr,5266,Challenge Ac++epted 2,11,4,150,105,5,S1,0.40,39.8,38.1,16.3,20.5,12.5,14.2,0.0,0.0,21.3,20.6,-1.1,-0.5,7.1,3.7,16.4,13.8,
1617velv-or-hr,11787,the turing machines,12,4,100,325,5,,0.40,64.1,55.1,17.4,16.2,15.5,12.4,0.0,0.0,2.2,4.1,-1.8,-1.4,48.2,39.9,-1.5,-1.0,
1617velv-or-hr,3633,Bazinga Bot,13,4,100,45,5,F2,0.40,0.6,5.7,-36.8,-25.0,-14.0,-8.4,0.0,0.0,7.7,8.8,1.8,2.4,5.1,2.8,32.3,27.9,
1617velv-or-hr,8171,Ranger Bots,14,4,70,40,5,,0.40,-11.0,-0.7,5.0,6.9,-2.9,0.1,0.0,0.0,-3.9,-0.1,2.3,1.7,-6.5,-2.5,-9.5,-5.1,
1617velv-or-hr,4412,Triggered,15,4,45,40,5,,0.40,3.9,5.9,17.4,13.4,-0.5,-1.4,0.0,0.0,10.1,10.3,-1.0,-0.9,-4.7,-2.2,-8.8,-5.3,
1617velv-or-hr,7874,jumpstart,16,3,140,90,5,,0.30,17.7,19.7,-12.3,-1.9,-4.7,0.2,0.0,0.0,-1.7,0.7,1.0,1.4,23.2,17.4,6.8,4.2,
1617velv-or-hr,5686,Cog-nation,17,3,140,70,5,,0.30,-10.3,3.0,10.9,11.9,-6.8,-2.3,0.0,0.0,-1.1,2.8,4.5,3.5,-6.9,-1.1,-14.3,-7.8,
1617velv-or-hr,9529,fig neutrons,18,3,120,180,5,W2,0.30,46.9,37.4,27.0,29.1,11.4,11.0,0.0,0.0,24.5,21.2,-0.8,0.3,11.8,4.7,8.1,3.6,
1617velv-or-hr,4543,Binary Chaos,19,3,120,105,5,S2,0.30,23.5,20.0,30.6,24.1,23.9,17.7,0.0,0.0,5.9,5.6,0.4,0.1,-6.8,-3.5,-0.3,-0.6,
1617velv-or-hr,11828,White Salmon Snakes,20,2,175,105,5,,0.20,26.9,20.7,-1.0,5.7,2.4,3.5,0.0,0.0,5.5,5.4,-0.8,0.3,19.8,11.4,8.1,3.6,
1617velv-or-hr,5267,Bots in the Hood,21,2,145,165,5,,0.20,14.8,18.8,18.1,18.2,9.6,9.6,0.0,0.0,12.8,12.3,4.1,4.0,-11.7,-7.2,8.4,7.7,
1617velv-or-hr,9619,Wahtonka FTC,22,0,105,40,5,,0.00,-10.9,-1.1,11.3,10.6,-2.8,-1.1,0.0,0.0,8.9,9.4,2.6,1.9,-19.6,-11.4,-2.6,-0.4,
