TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-or-osu2,4855,Batteries In Black,1,8,136,140,5,FC,0.80,81.5,69.0,68.4,56.6,30.5,24.9,0.0,0.0,43.6,36.6,-1.1,-0.5,8.5,8.0,4.6,4.4,
1617velv-or-osu2,7098,Quasi Empirical Ducks,2,8,100,100,5,WC,0.80,44.3,37.6,44.4,37.6,12.8,10.3,0.0,0.0,19.0,16.6,12.1,10.3,0.4,0.4,-0.5,-0.4,
1617velv-or-osu2,8892,PHRED,3,8,81,95,5,SC,0.80,39.1,35.8,49.4,41.3,9.6,8.6,0.0,0.0,26.6,23.0,10.5,8.8,-7.7,-4.7,-2.7,-0.9,
1617velv-or-osu2,5198,Wingnuts,4,8,52,116,5,SC,0.80,18.4,20.3,19.5,20.5,4.7,5.0,0.0,0.0,15.7,15.9,-1.5,-0.8,-0.3,0.2,-0.7,-0.5,
1617velv-or-osu2,8466,The Fellowship of the Robot,5,6,121,95,5,F1,0.60,41.9,36.7,33.9,29.5,8.0,7.1,0.0,0.0,27.0,23.4,5.4,4.8,1.5,1.3,6.5,5.8,
1617velv-or-osu2,7604,Meme Machine,6,6,106,140,5,W1,0.60,25.8,28.2,-6.3,3.0,-7.9,-4.1,0.0,0.0,3.9,8.3,6.6,5.6,23.2,18.3,8.9,6.8,
1617velv-or-osu2,11890,Neon Robots,7,6,105,60,5,S2,0.60,10.6,13.4,19.3,18.2,0.3,1.5,0.0,0.0,16.4,14.9,-2.7,-1.4,-3.4,-1.7,-5.4,-3.2,
1617velv-or-osu2,9263,Red Shirts,8,6,95,85,5,,0.60,28.0,27.7,4.8,8.1,13.8,12.3,0.0,0.0,9.3,10.3,-4.3,-2.7,9.2,7.7,14.0,11.7,
1617velv-or-osu2,3836,The Iron Giants,9,6,95,60,5,,0.60,27.5,24.2,24.2,20.3,8.0,6.4,0.0,0.0,15.3,13.7,-0.8,-0.6,5.0,4.7,-1.6,-0.8,
1617velv-or-osu2,11670,To Be Determined,10,6,75,115,5,S1,0.60,17.2,21.3,10.2,15.9,1.6,3.5,0.0,0.0,11.1,14.0,4.9,4.3,-0.5,-0.7,7.5,6.0,
1617velv-or-osu2,9262,Squirrel ?,11,6,75,55,5,,0.60,12.2,13.8,13.4,15.1,-1.6,0.1,0.0,0.0,15.2,14.9,0.5,0.3,-1.9,-1.6,0.7,0.2,
1617velv-or-osu2,7101,Maxed Out,12,6,61,50,5,W2,0.60,16.8,16.1,26.4,21.4,6.2,4.7,0.0,0.0,21.4,17.8,-3.4,-2.0,-7.3,-4.5,-2.2,-0.9,
1617velv-or-osu2,7027,Lowell Robotics,13,6,55,45,5,,0.60,6.2,8.7,15.0,14.5,-2.4,-0.7,0.0,0.0,10.9,10.9,0.9,0.6,-3.2,-2.1,-5.7,-3.7,
1617velv-or-osu2,7099,RNG,14,6,51,75,5,,0.60,20.9,18.7,28.0,22.7,5.2,3.9,0.0,0.0,18.6,15.3,1.7,1.9,-4.6,-2.5,-2.6,-1.6,
1617velv-or-osu2,11545,Dread Pirate Robots,15,6,50,70,5,,0.60,14.3,14.3,7.4,9.9,2.6,2.8,0.0,0.0,4.3,6.2,2.9,2.3,4.5,2.9,2.4,1.4,
1617velv-or-osu2,6769,RoboViks,16,6,41,50,5,,0.60,6.2,8.2,9.0,9.6,3.1,2.5,0.0,0.0,6.9,7.7,-3.2,-1.9,-0.7,-0.2,-2.0,-1.3,
1617velv-or-osu2,9449,LoggerRobotics,17,4,86,100,5,F2,0.40,29.2,26.8,25.6,24.2,2.9,3.5,0.0,0.0,21.7,20.0,3.4,2.6,1.2,0.5,2.4,1.9,
1617velv-or-osu2,5039,DevilBots,18,4,86,80,5,,0.40,28.2,24.3,3.8,5.2,9.7,8.4,0.0,0.0,7.1,7.6,1.7,0.9,9.7,7.3,14.7,11.6,
1617velv-or-osu2,4276,Plunder and Lightning,19,4,60,90,5,S2,0.40,23.1,20.1,17.6,17.3,11.8,9.8,0.0,0.0,6.7,7.1,2.0,1.8,2.6,1.3,2.9,1.4,
1617velv-or-osu2,8173,EagleTech,20,4,57,30,5,,0.40,-4.3,0.4,-7.1,-0.8,1.4,2.4,0.0,0.0,-5.1,-1.2,-2.3,-1.5,1.7,0.6,1.1,0.4,
1617velv-or-osu2,10411,Spartans,21,4,12,31,5,S1,0.40,1.6,2.3,1.1,1.6,-1.9,-1.4,0.0,0.0,1.3,2.1,1.6,1.0,0.6,0.5,-0.1,0.1,
1617velv-or-osu2,5708,VikingFIRST,22,2,130,65,5,,0.20,1.2,6.1,-1.8,4.1,-3.1,-0.6,0.0,0.0,-3.0,1.5,5.0,3.7,2.3,1.4,0.7,0.5,
1617velv-or-osu2,11905,The Pack,23,2,65,45,5,,0.20,4.4,6.6,3.9,5.6,0.9,2.1,0.0,0.0,-3.1,-0.5,3.0,2.1,3.6,2.9,-3.1,-2.0,
1617velv-or-osu2,7100,The Donner Party,24,2,60,85,5,,0.20,-12.9,-3.6,-4.5,1.4,-1.6,0.9,0.0,0.0,-8.3,-3.6,1.0,1.4,-3.9,-2.4,-4.5,-2.7,
1617velv-or-osu2,8881,Pirates of the Pacific,25,0,71,50,5,,0.00,3.4,5.5,4.0,4.7,2.0,2.1,0.0,0.0,4.9,4.9,-1.5,-0.8,-2.0,-0.8,1.4,1.5,
1617velv-or-osu2,11669,Fission Chips,26,0,40,20,5,,0.00,-7.3,-3.3,-3.9,-1.5,-2.3,-1.7,0.0,0.0,0.9,1.7,-2.7,-1.5,-3.3,-1.9,-0.2,-0.0,
