TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-or-psq,7776,Loose Screws,1,10,220,155,5,WC,1.00,110.8,92.3,103.3,87.4,64.8,53.8,0.0,0.0,40.5,35.0,0.5,0.5,5.0,2.9,2.5,2.0,
1617velv-or-psq,3525,Dynamite Robotics,2,10,167,165,5,W1,1.00,60.5,56.4,62.0,57.5,5.8,6.7,0.0,0.0,13.7,16.2,40.1,32.7,0.9,0.7,-2.4,-1.8,
1617velv-or-psq,6712,Bullet Proof,3,8,198,95,5,SC,0.80,35.8,33.4,40.9,36.3,16.6,14.0,0.0,0.0,16.6,17.1,3.2,2.6,-0.7,-0.4,-4.4,-2.5,
1617velv-or-psq,11255,TSAR,4,8,196,165,5,FC,0.80,78.8,69.1,82.5,69.2,33.0,27.1,0.0,0.0,44.9,39.8,-0.4,1.0,1.3,1.1,-5.0,-1.2,
1617velv-or-psq,7750,M&M's,5,6,310,130,5,F1,0.60,37.7,39.7,28.3,32.6,6.7,9.2,0.0,0.0,37.2,33.4,-1.8,0.1,-4.4,-3.1,13.7,10.2,
1617velv-or-psq,8153,Aperture Robotics,6,6,285,130,5,SC,0.60,21.5,27.3,34.0,33.4,23.8,22.1,0.0,0.0,9.5,11.4,-3.9,-2.6,-7.8,-3.6,-4.6,-2.4,
1617velv-or-psq,8372,TNT (Trial N Terror),7,6,215,110,5,F2,0.60,35.1,35.1,35.8,35.3,9.7,9.9,0.0,0.0,26.6,24.0,-0.1,1.5,-1.1,-0.5,0.4,0.2,
1617velv-or-psq,6717,Category FIVE #6717,8,6,192,100,5,S1,0.60,16.0,20.7,-0.1,8.3,-7.5,-2.1,0.0,0.0,9.7,11.0,3.0,2.6,10.8,9.2,5.2,3.3,
1617velv-or-psq,4543,Binary Chaos,9,6,140,131,5,S2,0.60,53.4,46.6,46.3,41.1,38.3,31.7,0.0,0.0,10.0,11.4,-1.8,-1.6,7.0,5.0,0.1,0.5,
1617velv-or-psq,6741,HHS Robotics,10,4,197,100,5,,0.40,22.9,21.6,17.8,16.6,-0.3,0.2,0.0,0.0,8.4,8.8,4.3,4.1,10.4,8.5,-5.3,-3.5,
1617velv-or-psq,8056,Kronos,11,4,186,131,5,,0.40,26.5,29.1,33.5,33.0,4.7,6.7,0.0,0.0,23.0,21.2,0.0,1.4,-1.3,-0.3,-5.7,-3.6,
1617velv-or-psq,10431,mechanicals,12,4,175,95,5,,0.40,26.4,26.5,-7.0,0.5,8.0,8.3,0.0,0.0,14.0,15.0,1.3,1.3,3.2,1.8,30.2,24.2,
1617velv-or-psq,9375,Go4Bot-Go4Hazard,13,4,166,100,5,,0.40,17.4,20.0,-13.5,-4.6,-1.5,1.6,0.0,0.0,15.9,15.7,3.2,2.8,-0.2,-0.1,31.1,24.7,
1617velv-or-psq,8890,Stanfield Robotics,14,4,166,70,5,,0.40,19.3,19.6,9.7,11.9,6.8,6.8,0.0,0.0,9.8,9.1,1.8,2.9,1.0,0.9,8.6,6.8,
1617velv-or-psq,10264,Go4Bot-Go4n8ers,15,4,135,155,5,,0.40,32.1,33.9,30.1,32.0,14.6,15.3,0.0,0.0,16.1,16.4,2.4,2.5,-1.0,-0.4,3.0,2.3,
1617velv-or-psq,3633,Bazinga Bot,16,4,130,245,5,S2,0.40,47.8,42.6,4.6,8.8,-0.3,1.6,0.0,0.0,1.0,2.4,7.7,6.8,39.4,31.7,3.8,2.1,
1617velv-or-psq,12074,Rocket Robotics - Dragons,17,4,130,135,5,,0.40,0.4,9.1,19.6,21.1,9.1,10.2,0.0,0.0,5.9,8.2,-3.5,-2.3,-11.1,-7.0,-8.1,-5.0,
1617velv-or-psq,7044,Robowolverines,18,4,129,150,5,,0.40,6.0,16.0,9.7,18.0,-3.9,1.7,0.0,0.0,16.5,17.8,-0.6,-0.0,-6.0,-3.6,2.3,1.6,
1617velv-or-psq,9449,LoggerRobotics,19,4,127,45,5,,0.40,-1.8,5.1,-11.6,-2.6,-8.8,-3.7,0.0,0.0,8.7,9.7,-1.1,-0.8,-0.7,-0.2,10.5,8.0,
1617velv-or-psq,8590,Bear Mettle,20,4,117,50,5,,0.40,15.5,15.7,35.5,28.1,12.6,9.9,0.0,0.0,3.4,4.9,2.4,2.4,-2.8,-1.6,-17.1,-10.8,
1617velv-or-psq,10060,Klamath Coyotes,21,2,213,245,5,S1,0.20,60.0,51.7,33.8,29.8,12.5,10.1,0.0,0.0,9.2,10.0,10.0,8.5,28.3,23.1,-2.2,-1.2,
1617velv-or-psq,11625,Clockwork Robotics,22,2,146,70,5,W2,0.20,-0.2,8.5,17.1,18.5,-3.6,0.0,0.0,0.0,7.8,8.2,8.5,7.9,-12.8,-7.8,-4.5,-2.3,
1617velv-or-psq,8165,KillaBots,23,2,138,60,5,,0.20,14.2,14.0,17.6,16.6,4.7,3.3,0.0,0.0,12.7,12.8,0.4,0.7,-3.7,-2.9,0.2,0.3,
