TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-or-smilt-Q-1,Q-1,95-25 R,9851,9567,0,12050,6717,0,95,55,0,40,0,0,25,20,0,5,0,0,false,false,false,false,
1617velv-or-smilt-Q-2,Q-2,105-30 R,4662,10135,0,6564,4480,0,105,15,0,50,40,0,30,10,0,20,0,0,false,false,false,false,
1617velv-or-smilt-Q-3,Q-3,0-91 B,12076,11255,0,7257,10428,0,0,0,0,0,0,0,91,40,0,41,10,0,false,false,false,false,
1617velv-or-smilt-Q-4,Q-4,50-0 R,9044,12132,0,8161,11435,0,50,10,0,40,0,0,0,0,0,0,0,0,false,false,false,false,
1617velv-or-smilt-Q-5,Q-5,10-85 B,10274,6476,0,9339,7750,0,10,0,0,10,0,0,85,10,0,75,0,0,false,false,false,false,
1617velv-or-smilt-Q-6,Q-6,10-100 B,3093,11447,0,3963,8372,0,10,10,0,0,0,0,100,35,0,65,0,0,false,false,false,false,
1617velv-or-smilt-Q-7,Q-7,20-0 R,9567,12076,0,4480,9044,0,20,10,0,10,0,0,0,0,0,0,0,0,false,false,false,false,
1617velv-or-smilt-Q-8,Q-8,125-50 R,4662,9851,0,8161,11255,0,125,75,0,50,0,0,50,30,0,20,0,0,false,false,false,false,
1617velv-or-smilt-Q-9,Q-9,30-55 B,10274,12132,0,3093,10135,0,30,10,0,20,0,0,55,10,0,45,0,0,false,false,false,false,
1617velv-or-smilt-Q-10,Q-10,46-40 R,6717,11435,0,6476,11447,0,46,35,0,11,0,0,40,10,0,30,0,0,false,false,false,false,
1617velv-or-smilt-Q-11,Q-11,31-235 B,10428,3963,0,7750,12050,0,31,10,0,21,0,0,235,10,0,75,10,140,false,false,false,false,
1617velv-or-smilt-Q-12,Q-12,50-65 B,9339,7257,0,8372,6564,0,50,10,0,40,0,0,65,10,0,15,0,40,false,false,false,false,
1617velv-or-smilt-Q-13,Q-13,23-45 B,8161,4480,0,6717,3093,0,23,0,0,23,0,0,45,15,0,20,0,10,false,false,false,false,
1617velv-or-smilt-Q-14,Q-14,0-40 B,11435,3963,0,10135,11255,0,0,0,0,0,0,0,40,0,0,30,0,10,false,false,false,false,
1617velv-or-smilt-Q-15,Q-15,205-25 R,6564,7750,0,12076,9851,0,205,80,0,125,0,0,25,15,0,10,0,0,false,false,false,false,
1617velv-or-smilt-Q-16,Q-16,35-50 B,12132,11447,0,9339,12050,0,35,15,0,20,0,0,50,10,0,20,10,10,false,false,false,false,
1617velv-or-smilt-Q-17,Q-17,150-25 R,8372,10274,0,9044,10428,0,150,35,0,35,0,80,25,5,0,20,0,0,false,false,false,false,
1617velv-or-smilt-Q-18,Q-18,15-150 B,6476,9567,0,7257,4662,0,15,10,0,5,0,0,150,30,0,40,40,40,false,false,false,false,
1617velv-or-smilt-Q-19,Q-19,30-0 R,8161,9339,0,3963,12076,0,30,0,0,30,0,0,0,0,0,0,0,0,false,false,false,false,
1617velv-or-smilt-Q-20,Q-20,25-40 B,12050,9044,0,3093,6564,0,25,5,0,10,10,0,40,10,0,30,0,0,false,false,false,false,
1617velv-or-smilt-Q-21,Q-21,0-72 B,11435,4480,0,10274,7257,0,0,0,0,0,0,0,72,30,0,42,0,0,false,false,false,false,
1617velv-or-smilt-Q-22,Q-22,150-60 R,8372,4662,0,12132,6717,0,150,30,0,30,0,90,60,40,0,20,0,0,false,false,false,false,
1617velv-or-smilt-Q-23,Q-23,155-66 R,11255,7750,0,9567,11447,0,155,75,0,80,0,0,66,15,0,11,0,40,false,false,false,false,
1617velv-or-smilt-Q-24,Q-24,20-90 B,10135,10428,0,6476,9851,0,20,0,0,20,0,0,90,30,0,60,0,0,false,false,false,false,
1617velv-or-smilt-Q-25,Q-25,60-25 R,12050,12076,0,11435,4662,0,60,10,0,40,10,0,25,5,0,0,20,0,false,false,false,false,
1617velv-or-smilt-Q-26,Q-26,45-15 R,6564,6717,0,3963,10274,0,45,15,0,30,0,0,15,5,0,10,0,0,false,false,false,false,
1617velv-or-smilt-Q-27,Q-27,35-30 R,9567,3093,0,9339,10428,0,35,25,0,10,0,0,30,10,0,20,0,0,false,false,false,false,
