TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-orcba2,7474,VWA,1,10,74,50,5,,1.00,29.6,25.3,
1617velv-orcba2,10530,Robotica,2,8,40,42,5,,0.80,21.3,18.5,
1617velv-orcba2,7499,The Nerdy Girls,3,7,41,40,5,,0.70,7.2,8.0,
1617velv-orcba2,7497,Blackout,4,6,40,45,5,,0.60,9.3,9.3,
1617velv-orcba2,7470,Elite Tech,5,5,50,42,5,,0.50,13.3,12.2,
1617velv-orcba2,12103,Sunridge Y2 B,6,5,41,30,5,,0.50,1.9,4.4,
1617velv-orcba2,12041,Ro-Bros,7,4,68,48,5,,0.40,8.3,9.8,
1617velv-orcba2,11887,Hermiston Middle Schools Robotics,8,4,55,30,5,,0.40,14.6,12.2,
1617velv-orcba2,10585,LHS Robotics,9,4,45,30,5,,0.40,-0.6,2.2,
1617velv-orcba2,8096,Tiger Robotics,10,3,108,50,5,,0.30,5.0,7.4,
1617velv-orcba2,8153,Aperture Robotics,11,2,94,48,5,,0.20,12.5,11.5,
1617velv-orcba2,6741,HHS Robotics,12,2,40,45,5,,0.20,3.5,4.5,
