TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,BTot,
1617velv-orha1-Q-1,Q-1,32-15 R,11397,0,0,8720,0,0,32,15,
1617velv-orha1-Q-2,Q-2,40-15 R,3525,0,0,10550,0,0,40,15,
1617velv-orha1-Q-3,Q-3,40-50 B,10332,0,0,12057,0,0,40,50,
1617velv-orha1-Q-4,Q-4,65-5 R,9776,0,0,10550,0,0,65,5,
1617velv-orha1-Q-5,Q-5,60-20 R,10925,0,0,11397,0,0,60,20,
1617velv-orha1-Q-6,Q-6,10-40 B,9769,0,0,11625,0,0,10,40,
1617velv-orha1-Q-7,Q-7,45-10 R,10925,0,0,9776,0,0,45,10,
1617velv-orha1-Q-8,Q-8,25-25 T,10332,0,0,8720,0,0,25,25,
1617velv-orha1-Q-9,Q-9,50-35 R,3525,0,0,11625,0,0,50,35,
1617velv-orha1-Q-10,Q-10,10-55 B,10332,0,0,9776,0,0,10,55,
1617velv-orha1-Q-11,Q-11,65-50 R,11591,0,0,3525,0,0,65,50,
1617velv-orha1-Q-12,Q-12,35-50 B,12057,0,0,11397,0,0,35,50,
1617velv-orha1-Q-13,Q-13,0-50 B,9769,0,0,7333,0,0,0,50,
1617velv-orha1-Q-14,Q-14,60-40 R,11397,0,0,12057,0,0,60,40,
1617velv-orha1-Q-15,Q-15,35-45 B,8720,0,0,9776,0,0,35,45,
