TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-ormc2,8176,Steelhead,1,10,145,120,5,,
1617velv-ormc2,5266,Challenge Ac++epted 2,2,8,130,125,5,,
1617velv-ormc2,7873,Duct tape,3,6,125,105,5,,
1617velv-ormc2,9529,fig neutrons,4,6,78,55,5,,
1617velv-ormc2,10431,mechanicals,5,6,70,90,5,,
1617velv-ormc2,7875,Men In Green,6,5,140,120,5,,
1617velv-ormc2,4543,Binary Chaos,7,5,125,125,5,,
1617velv-ormc2,8082,Flying Toasters,8,5,65,55,5,,
1617velv-ormc2,8171,Ranger Bots,9,4,118,105,5,,
1617velv-ormc2,11828,White Salmon Snakes,10,4,105,60,5,,
1617velv-ormc2,3633,Bazinga Bot,11,4,50,105,5,,
1617velv-ormc2,5686,Cog-nation,12,3,128,45,5,,
1617velv-ormc2,8165,KillaBots,13,2,133,90,5,,
1617velv-ormc2,11787,the turing machines,14,2,80,30,5,,
