TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-orso1,9851,C4,1,10,44,56,5,,1.00,37.4,32.8,
1617velv-orso1,12132,BioBotz2.0,2,8,89,80,5,,0.80,22.0,20.6,
1617velv-orso1,9339,Rogue Mafia,3,8,57,50,5,,0.80,22.0,20.7,
1617velv-orso1,8372,TNT (Trial N Terror),4,8,55,80,5,,0.80,24.8,23.3,
1617velv-orso1,11255,TSAR,5,6,75,50,5,,0.60,11.1,12.5,
1617velv-orso1,7750,M&M's,6,6,72,80,5,,0.60,32.6,29.0,
1617velv-orso1,8161,Short Circuit,7,6,55,50,5,,0.60,5.7,7.9,
1617velv-orso1,12050,Master Cats,8,4,73,80,5,,0.40,22.4,20.5,
1617velv-orso1,4662,Bulldog Robotics,9,4,54,56,5,,0.40,9.5,11.0,
1617velv-orso1,7257,Da Builders,10,2,104,45,5,,0.20,12.3,12.9,
1617velv-orso1,10135,SHS Robotics,11,2,56,60,5,,0.20,0.7,4.2,
1617velv-orso1,9567,Cybernetic Elks,12,2,41,45,5,,0.20,-5.6,-0.9,
1617velv-orso1,10274,MPHS Botcats,13,0,50,15,5,,0.00,-0.4,1.1,
