TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-pa-se-Q-1,Q-1,5-135 B,3283,12007,0,10375,4347,0,5,5,0,0,0,0,135,40,0,55,40,0,false,false,false,false,
1617velv-pa-se-Q-2,Q-2,30-125 B,9791,395,0,6191,4999,0,30,0,0,30,0,0,125,70,0,35,20,0,false,false,false,false,
1617velv-pa-se-Q-3,Q-3,35-60 B,7584,7244,0,11540,10098,0,35,15,0,20,0,0,60,5,0,55,0,0,false,false,false,false,
1617velv-pa-se-Q-4,Q-4,34-40 B,11319,11208,0,7314,6180,0,34,20,0,14,0,0,40,15,0,25,0,0,false,false,false,false,
1617velv-pa-se-Q-5,Q-5,110-35 R,6378,4141,0,10353,8528,0,110,85,0,25,0,0,35,20,0,15,0,0,false,false,false,false,
1617velv-pa-se-Q-6,Q-6,60-30 R,6306,7350,0,11154,7423,0,60,15,0,45,0,0,30,30,0,0,0,0,false,false,false,false,
1617velv-pa-se-Q-7,Q-7,80-130 B,8468,3305,0,4433,3113,0,80,55,0,25,0,0,130,100,0,30,0,0,false,false,false,false,
1617velv-pa-se-Q-8,Q-8,225-125 R,3795,7117,0,6964,9979,0,225,115,0,50,20,40,125,15,0,70,40,0,false,false,false,false,
1617velv-pa-se-Q-9,Q-9,77-55 R,4399,9872,0,10194,6180,0,77,40,0,37,0,0,55,35,0,20,0,0,false,false,false,false,
1617velv-pa-se-Q-10,Q-10,40-41 B,9791,10098,0,11154,11208,0,40,0,0,40,0,0,41,20,0,21,0,0,false,false,false,false,
1617velv-pa-se-Q-11,Q-11,45-40 R,7314,11540,0,395,7423,0,45,5,0,40,0,0,40,30,0,10,0,0,false,false,false,false,
1617velv-pa-se-Q-12,Q-12,130-55 R,7350,6964,0,6378,3113,0,130,50,0,60,20,0,55,30,0,5,20,0,false,false,false,false,
1617velv-pa-se-Q-13,Q-13,15-55 B,7584,4433,0,9872,3795,0,15,15,0,0,0,0,55,5,0,50,0,0,false,false,false,false,
1617velv-pa-se-Q-14,Q-14,40-20 R,4141,6306,0,10194,10375,0,40,10,0,30,0,0,20,10,0,10,0,0,false,false,false,false,
1617velv-pa-se-Q-15,Q-15,85-85 T,8468,10353,0,11319,7244,0,85,55,0,30,0,0,85,30,0,35,20,0,false,false,false,false,
1617velv-pa-se-Q-16,Q-16,105-35 R,9979,12007,0,4399,8528,0,105,65,0,40,0,0,35,15,0,20,0,0,false,false,false,false,
1617velv-pa-se-Q-17,Q-17,120-230 B,4999,3305,0,4347,7117,0,120,70,0,30,20,0,230,115,0,75,40,0,false,false,false,false,
1617velv-pa-se-Q-18,Q-18,61-50 R,3283,6180,0,6191,4433,0,61,30,0,31,0,0,50,30,0,20,0,0,false,false,false,false,
1617velv-pa-se-Q-19,Q-19,25-60 B,11319,10194,0,7584,395,0,25,5,0,20,0,0,60,35,0,25,0,0,true,false,false,false,
1617velv-pa-se-Q-20,Q-20,140-91 R,7314,11154,0,4141,8468,0,140,90,0,50,0,0,91,70,0,21,0,0,false,false,false,false,
1617velv-pa-se-Q-21,Q-21,155-5 R,3795,6306,0,8528,3305,0,155,50,0,45,20,40,5,0,0,5,0,0,false,false,false,false,
1617velv-pa-se-Q-22,Q-22,30-70 B,7350,6191,0,12007,11540,0,30,0,0,30,0,0,70,40,0,20,0,10,false,false,false,false,
1617velv-pa-se-Q-23,Q-23,35-45 B,6378,9979,0,3283,10098,0,35,0,0,35,0,0,45,15,0,30,0,0,false,false,false,false,
1617velv-pa-se-Q-24,Q-24,147-170 B,7423,11208,0,7117,10353,0,147,105,0,42,0,0,170,60,0,70,40,0,false,false,false,false,
1617velv-pa-se-Q-25,Q-25,55-170 B,10375,6964,0,7244,4999,0,55,0,0,55,0,0,170,120,0,50,0,0,false,false,false,false,
1617velv-pa-se-Q-26,Q-26,110-50 R,3113,4347,0,9872,9791,0,110,30,0,40,40,0,50,15,0,35,0,0,false,false,false,false,
1617velv-pa-se-Q-27,Q-27,30-40 B,4399,3795,0,11154,11540,0,30,15,0,15,0,0,40,10,0,30,0,0,false,false,false,false,
1617velv-pa-se-Q-28,Q-28,20-170 B,4433,10194,0,12007,6378,0,20,0,0,20,0,0,170,115,0,35,20,0,false,false,false,false,
1617velv-pa-se-Q-29,Q-29,95-60 R,6964,6180,0,10353,10098,0,95,40,0,55,0,0,60,5,0,55,0,0,false,false,false,false,
1617velv-pa-se-Q-30,Q-30,45-60 B,11319,6191,0,9979,3113,0,45,0,0,45,0,0,60,25,0,35,0,0,false,false,false,false,
1617velv-pa-se-Q-31,Q-31,110-15 R,10375,7314,0,9791,4399,0,110,70,0,40,0,0,15,5,0,0,10,0,false,false,false,false,
1617velv-pa-se-Q-32,Q-32,30-60 B,4141,3305,0,7244,7423,0,30,15,0,15,0,0,60,5,0,55,0,0,false,false,false,false,
1617velv-pa-se-Q-33,Q-33,25-125 B,4999,7584,0,11208,8468,0,25,0,0,15,10,0,125,80,0,45,0,0,false,false,false,false,
1617velv-pa-se-Q-34,Q-34,130-95 R,7117,3283,0,9872,6306,0,130,90,0,20,20,0,95,30,0,55,10,0,false,false,false,false,
1617velv-pa-se-Q-35,Q-35,270-70 R,395,8528,0,4347,7350,0,270,25,0,45,0,200,70,40,0,30,0,0,false,false,false,false,
1617velv-pa-se-Q-36,Q-36,65-50 R,10098,7423,0,4433,4399,0,65,25,0,40,0,0,50,40,0,10,0,0,false,false,false,false,
1617velv-pa-se-Q-37,Q-37,50-40 R,9979,10353,0,7314,10194,0,50,35,0,15,0,0,40,0,0,40,0,0,false,false,false,false,
1617velv-pa-se-Q-38,Q-38,62-100 B,6191,11208,0,3795,6378,0,62,15,0,47,0,0,100,75,0,15,10,0,false,false,false,false,
1617velv-pa-se-Q-39,Q-39,160-25 R,11540,4347,0,6964,8468,0,160,70,0,50,40,0,25,5,0,20,0,0,false,false,false,false,
1617velv-pa-se-Q-40,Q-40,50-12 R,8528,9791,0,11319,3283,0,50,0,0,40,0,10,12,0,0,12,0,0,false,false,false,false,
1617velv-pa-se-Q-41,Q-41,95-155 B,7244,11154,0,395,9872,0,95,70,0,15,10,0,155,65,0,90,0,0,false,false,false,false,
1617velv-pa-se-Q-42,Q-42,125-50 R,4999,6180,0,6306,12007,0,125,70,0,35,20,0,50,30,0,20,0,0,false,false,false,false,
1617velv-pa-se-Q-43,Q-43,90-15 R,3113,7117,0,4141,7584,0,90,55,0,35,0,0,15,5,0,10,0,0,false,false,false,false,
1617velv-pa-se-Q-44,Q-44,30-35 B,10375,11319,0,7350,3305,0,30,10,0,20,0,0,35,15,0,20,0,0,false,false,false,false,
1617velv-pa-se-SF-1-1,SF-1-1,120-130 B,7117,4347,4999,3795,9872,7423,120,70,0,40,10,0,130,70,0,40,20,0,false,false,false,false,
1617velv-pa-se-SF-1-2,SF-1-2,205-55 R,7117,4347,4999,3795,9872,7423,205,115,0,50,40,0,55,30,0,15,10,0,false,false,false,false,
1617velv-pa-se-SF-1-3,SF-1-3,130-155 B,7117,4347,4999,3795,9872,7423,130,70,0,20,40,0,155,80,0,55,20,0,false,false,false,false,
1617velv-pa-se-SF-2-1,SF-2-1,90-225 B,11540,10353,7314,6180,3113,7244,90,30,0,60,0,0,225,100,0,45,40,40,false,false,false,false,
1617velv-pa-se-SF-2-2,SF-2-2,125-105 R,11540,10353,7314,6180,3113,7244,125,60,0,65,0,0,105,70,0,35,0,0,false,false,false,false,
1617velv-pa-se-SF-2-3,SF-2-3,85-135 B,11540,10353,7314,6180,3113,7244,85,45,0,40,0,0,135,100,0,35,0,0,false,false,false,false,
1617velv-pa-se-F-1,F-1,100-80 R,3795,9872,7423,6180,3113,7244,100,20,0,40,40,0,80,40,0,40,0,0,false,false,false,false,
1617velv-pa-se-F-2,F-2,150-125 R,3795,9872,7423,6180,3113,7244,150,105,0,45,0,0,125,70,0,55,0,0,false,false,false,false,
