TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-pa-sw,6022,TBD - To Be Determined,1,10,328,400,5,FC,1.00,138.6,117.1,88.7,78.5,24.3,22.7,0.0,0.0,66.6,56.4,0.2,0.1,47.6,37.7,2.3,0.8,
1617velv-pa-sw,8645,Robotic Doges,2,8,330,130,5,WC,0.80,80.5,69.6,77.8,68.7,43.0,37.1,0.0,0.0,38.0,32.4,-1.7,-0.6,1.2,0.5,1.6,0.3,
1617velv-pa-sw,8393,BrainSTEM,3,8,295,120,5,W1,0.80,11.8,25.6,39.9,42.1,21.8,22.2,0.0,0.0,11.0,15.4,-0.9,0.4,-20.2,-12.6,-7.9,-4.0,
1617velv-pa-sw,4149,Terabytes,4,8,286,170,5,SC,0.80,53.8,58.6,69.8,64.4,43.7,39.2,0.0,0.0,28.6,28.6,-0.6,0.1,-17.8,-9.4,1.8,3.5,
1617velv-pa-sw,9820,Girls of Steel Juniors,5,8,233,175,5,SC,0.80,38.5,42.9,73.6,63.6,36.6,32.6,0.0,0.0,14.8,17.0,3.4,2.8,-16.3,-9.7,-18.8,-11.1,
1617velv-pa-sw,2818,G-FORCE,6,8,192,400,5,F1,0.80,124.6,111.8,55.1,57.2,32.7,32.2,0.0,0.0,45.7,42.0,-3.8,-2.1,49.9,39.4,19.6,15.1,
1617velv-pa-sw,11210,Infinity Robotechs,7,6,307,235,5,S1,0.60,89.6,81.0,97.6,85.4,40.2,35.9,0.0,0.0,35.5,31.3,26.7,22.3,-12.8,-8.6,4.8,4.2,
1617velv-pa-sw,8509,STEEL Serpents,8,6,284,150,5,F2,0.60,73.2,64.0,64.7,57.6,36.0,32.4,0.0,0.0,19.2,17.1,8.8,7.4,9.2,7.0,-0.7,-0.7,
1617velv-pa-sw,6961,The Radical Six,9,6,254,95,5,S1,0.60,37.3,36.9,21.3,23.5,6.8,8.3,0.0,0.0,3.2,4.9,6.1,5.7,21.1,17.7,-5.2,-4.4,
1617velv-pa-sw,7018,Spartans,10,6,243,140,5,S2,0.60,38.6,39.6,31.4,32.6,17.4,17.6,0.0,0.0,12.6,12.8,7.2,7.8,1.4,1.2,5.8,5.6,
1617velv-pa-sw,11027,NA First,11,6,221,100,5,,0.60,-3.2,9.6,13.3,18.9,-8.6,-3.4,0.0,0.0,16.3,18.3,3.9,3.4,-14.8,-8.8,-1.7,-0.6,
1617velv-pa-sw,10083,Mars Robotics,12,6,174,120,5,,0.60,17.3,22.9,-2.0,8.1,1.4,6.4,0.0,0.0,4.8,6.9,2.8,2.9,8.3,6.5,11.1,8.2,
1617velv-pa-sw,8867,Broken Image Link,13,4,252,150,5,S2,0.40,48.2,47.3,17.1,22.2,6.2,8.8,0.0,0.0,8.6,10.4,6.4,6.1,27.0,21.9,4.1,3.1,
1617velv-pa-sw,6440,The Metallic Controllers,14,4,222,95,5,,0.40,29.2,30.6,28.5,25.8,10.9,10.0,0.0,0.0,4.5,7.6,7.6,7.2,6.1,5.6,-5.4,-0.9,
1617velv-pa-sw,5526,Quasics,15,4,222,90,5,,0.40,26.1,28.3,16.4,19.3,10.8,11.8,0.0,0.0,5.8,7.5,-0.1,1.1,9.7,7.7,0.1,1.2,
1617velv-pa-sw,7024,young hawks,16,4,216,100,5,,0.40,30.2,28.6,9.6,15.9,12.7,14.8,0.0,0.0,7.9,6.8,2.4,2.9,7.1,3.9,13.5,8.7,
1617velv-pa-sw,8257,Fourth River Robotics,17,4,196,170,5,,0.40,47.1,43.7,34.3,34.3,17.3,17.1,0.0,0.0,10.8,12.1,4.8,4.3,14.3,10.0,-1.4,-0.7,
1617velv-pa-sw,11792,BotsBurgh,18,4,180,85,5,,0.40,11.9,17.0,19.4,22.5,5.0,7.5,0.0,0.0,19.6,16.7,-3.4,-1.5,-9.4,-5.8,1.9,0.2,
1617velv-pa-sw,10563,Kiski Cougars,19,4,155,125,5,,0.40,17.8,21.7,20.2,17.6,9.2,8.7,0.0,0.0,6.5,9.9,2.0,1.5,0.1,1.4,-2.5,2.6,
1617velv-pa-sw,9812,T-Noble,20,2,315,85,5,W2,0.20,48.4,45.6,53.1,46.8,36.3,31.2,0.0,0.0,-3.3,0.9,16.0,13.1,-0.6,0.2,-4.1,-1.4,
1617velv-pa-sw,4933,Short Circuits Too,21,2,217,72,5,,0.20,31.6,30.1,-8.8,-6.2,14.8,12.7,0.0,0.0,15.3,14.8,-2.0,-1.5,3.5,3.8,36.9,32.4,
1617velv-pa-sw,12124,Riverview,22,2,62,75,5,,0.20,-15.0,-2.3,13.4,13.6,4.1,4.5,0.0,0.0,-14.5,-6.6,0.4,0.7,-4.9,-1.0,-23.4,-15.0,
1617velv-pa-sw,3900,Mechasharks,23,0,210,60,5,,0.00,16.3,18.7,12.9,15.8,-7.6,-2.9,0.0,0.0,25.7,21.6,3.9,4.0,-5.8,-4.1,9.1,6.9,
1617velv-pa-sw,6549,Whoa!Bots,24,0,158,42,5,,0.00,11.2,12.7,-55.8,-39.1,-13.1,-7.1,0.0,0.0,22.3,18.5,-0.3,0.4,2.3,0.6,64.7,51.0,
