TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-sc-cmp-Q-1,1,1,1,9121,9461,0,8946,11444,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,0,0,4,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,1,0,2,0,0,0,0,
1617velv-sc-cmp-Q-2,1,1,2,11841,6170,0,11454,327,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,1,0,0,0,0,0,4,0,0,0,0,1,0,TRUE,0,0,0,0,4,0,0,0,0,1,0,0,
1617velv-sc-cmp-Q-3,1,1,3,208,3641,0,10021,10558,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,1,0,2,0,0,0,0,0,0,0,FALSE,0,0,0,0,4,3,0,2,0,0,0,0,
1617velv-sc-cmp-Q-4,1,1,4,8505,7021,0,753,11214,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,1,0,0,0,2,3,0,0,0,0,0,0,
1617velv-sc-cmp-Q-5,1,1,5,673,772,0,9460,8477,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,0,1,0,0,0,0,1,0,0,2,TRUE,3,0,1,1,3,4,0,0,0,0,0,1,
1617velv-sc-cmp-Q-6,1,1,6,11841,7021,0,11086,11444,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,1,0,0,0,4,0,0,0,0,0,0,TRUE,0,0,0,0,2,2,0,0,0,0,0,0,
1617velv-sc-cmp-Q-7,1,1,7,3641,11454,0,772,11214,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,1,2,0,0,0,0,0,0,0,TRUE,1,0,1,1,2,1,0,2,0,0,0,0,
1617velv-sc-cmp-Q-8,1,1,8,8477,9121,0,8505,10021,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,1,0,2,4,0,0,0,0,0,0,1,TRUE,0,0,1,0,2,0,0,0,0,0,0,0,
1617velv-sc-cmp-Q-9,1,1,9,327,673,0,208,8946,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,0,4,0,0,0,0,0,0,0,0,TRUE,0,0,1,0,0,3,0,2,0,0,0,0,
1617velv-sc-cmp-Q-10,1,1,10,9461,10558,0,9460,6170,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,0,1,2,0,0,0,0,0,0,0,TRUE,0,0,0,1,3,0,0,3,0,0,0,0,
1617velv-sc-cmp-Q-11,1,1,11,11086,327,0,753,3641,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,0,4,2,2,0,0,0,0,0,0,0,TRUE,0,0,0,1,2,4,0,0,0,0,0,0,
1617velv-sc-cmp-Q-12,1,1,12,9121,772,0,6170,7021,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,1,0,0,1,0,0,1,0,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,1,0,0,2,0,0,0,0,
1617velv-sc-cmp-Q-13,1,1,13,673,11086,0,9461,8505,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,1,0,0,0,0,0,1,0,FALSE,0,0,0,0,0,3,0,0,0,0,0,0,0,TRUE,1,0,0,0,2,1,2,1,0,0,0,0,
1617velv-sc-cmp-Q-14,1,1,14,10558,11214,0,8477,11841,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,1,1,0,1,2,0,2,0,0,0,0,0,TRUE,1,0,1,0,1,5,2,0,0,0,0,0,
