TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-sc-cmp,327,Cloud 8,1,8,205,75,5,WC,0.80,31.0,30.2,24.4,24.6,8.4,8.9,0.0,0.0,16.5,15.4,6.8,6.3,-0.6,-0.6,7.3,5.9,
1617velv-sc-cmp,753,The Greenvillains,2,8,173,105,5,FC,0.80,59.4,51.5,58.6,50.8,19.9,17.2,0.0,0.0,40.8,34.5,-1.7,-0.6,0.3,0.1,0.5,0.3,
1617velv-sc-cmp,6170,Starbots Robotics,3,8,155,145,5,SC,0.80,37.0,34.8,31.6,30.2,2.6,4.1,0.0,0.0,21.9,19.5,7.7,6.9,4.8,4.2,0.5,0.3,
1617velv-sc-cmp,9460,Won & Done,4,8,108,210,5,SC,0.80,43.1,42.0,41.5,39.5,28.3,25.4,0.0,0.0,1.6,4.9,8.3,7.0,5.0,4.5,-3.3,-2.2,
1617velv-sc-cmp,8477,4-H Rohming Robots,5,6,237,210,5,W1,0.60,91.3,78.3,84.8,72.7,47.3,40.1,0.0,0.0,43.3,36.5,-5.1,-3.4,5.7,4.9,0.8,0.5,
1617velv-sc-cmp,10558,E404,6,6,182,97,5,S1,0.60,45.1,39.9,44.9,39.9,10.7,9.8,0.0,0.0,20.4,17.5,12.6,11.7,1.4,0.7,-1.2,-0.8,
1617velv-sc-cmp,10021,The Red Legion,7,6,178,75,5,S1,0.60,23.0,25.9,23.5,25.8,4.2,5.5,0.0,0.0,18.5,18.9,1.1,1.5,-0.7,-0.3,0.2,0.2,
1617velv-sc-cmp,9461,Full Metal Jackets,8,6,178,72,5,F1,0.60,30.9,30.1,33.1,31.3,6.8,6.8,0.0,0.0,11.6,12.0,14.1,12.0,-1.5,-0.9,-0.7,-0.5,
1617velv-sc-cmp,9121,Falcon Force,9,6,160,80,5,,0.60,8.6,12.3,10.9,14.0,4.7,6.4,0.0,0.0,5.0,6.3,-0.6,0.1,-0.5,-0.5,-1.8,-1.3,
1617velv-sc-cmp,8505,HighTechLanders,10,6,148,65,5,,0.60,31.3,27.7,31.1,27.7,13.1,11.2,0.0,0.0,17.0,14.7,-0.3,0.9,1.5,0.8,-1.3,-0.9,
1617velv-sc-cmp,11444,Garnet Squadron,11,6,129,105,5,S2,0.60,23.3,24.4,22.7,23.9,1.4,3.2,0.0,0.0,19.7,18.9,2.0,2.0,0.2,0.1,0.5,0.3,
1617velv-sc-cmp,11214,Ground Shakers,12,6,122,85,5,S2,0.60,18.6,20.8,20.8,22.1,14.0,13.2,0.0,0.0,0.5,3.4,4.3,4.1,-0.2,-0.1,-2.0,-1.5,
1617velv-sc-cmp,11086,Tech Waves,13,4,179,75,5,,0.40,21.7,21.8,25.6,24.2,10.8,9.9,0.0,0.0,14.4,14.0,-3.7,-2.3,0.1,0.1,-4.0,-2.7,
1617velv-sc-cmp,7021,RoboEagles,14,4,144,97,5,,0.40,4.9,11.5,8.7,13.7,3.4,5.3,0.0,0.0,-3.4,1.1,8.8,7.5,-3.9,-2.6,0.2,0.1,
1617velv-sc-cmp,772,Caveman with Rock,15,4,135,75,5,W2,0.40,19.3,20.5,11.4,13.7,3.2,4.4,0.0,0.0,7.7,8.4,8.9,7.8,-0.5,-0.2,8.5,6.8,
1617velv-sc-cmp,3641,PPS Robotics,16,4,128,50,5,,0.40,2.5,8.8,5.0,10.3,-3.1,-0.4,0.0,0.0,7.8,10.7,-1.1,-0.9,-1.0,-0.7,-1.5,-1.0,
1617velv-sc-cmp,11841,STEAM Punks,17,2,202,62,5,,0.20,1.8,7.6,-4.7,2.1,-0.7,2.1,0.0,0.0,-4.8,-1.8,1.3,2.2,6.0,5.0,0.5,0.3,
1617velv-sc-cmp,11454,RayBots,18,2,185,60,5,,0.20,21.3,21.0,14.6,15.4,5.9,6.4,0.0,0.0,18.2,16.2,-1.9,-1.1,-0.8,-0.6,7.5,6.0,
1617velv-sc-cmp,8946,Chabotic,19,2,180,105,5,F2,0.20,20.8,22.4,20.2,21.9,8.9,9.2,0.0,0.0,-0.3,2.9,12.0,10.0,0.2,0.1,0.5,0.3,
1617velv-sc-cmp,208,KC Robotics Team,20,2,175,55,5,,0.20,18.6,18.0,18.9,18.1,9.1,7.7,0.0,0.0,8.2,8.1,2.0,2.5,-0.7,-0.5,0.4,0.2,
1617velv-sc-cmp,673,Subatomic Tomahawks,21,2,130,50,5,,0.20,4.9,7.0,0.4,2.8,1.3,2.1,0.0,0.0,3.8,4.8,-0.6,-0.2,0.4,0.3,4.1,3.8,
