TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-txamlh1,7161,ViperBots Hydra,1,10,161,90,5,,1.00,44.1,41.5,
1617velv-txamlh1,6299,ViperBots QuadX,2,8,192,90,5,,0.80,55.3,48.9,
1617velv-txamlh1,7064,Techno Inferno,3,7,155,80,5,,0.70,21.4,23.2,
1617velv-txamlh1,8815,Iron Eagles Silverbolt,4,6,145,85,5,,0.60,30.6,27.7,
1617velv-txamlh1,8814,Iron Eagles Guardian,5,6,130,100,5,,0.60,42.4,39.7,
1617velv-txamlh1,4812,ROBUFFS Team One,6,6,55,90,5,,0.60,5.0,8.5,
1617velv-txamlh1,11549,Rhomans,7,5,91,70,5,,0.50,22.1,20.8,
1617velv-txamlh1,11345,Toothless,8,4,84,100,5,,0.40,24.6,23.3,
1617velv-txamlh1,4723,Raider Two,9,3,83,85,5,,0.30,8.8,11.2,
1617velv-txamlh1,5998,LASA Ultra Violet,10,2,141,60,5,,0.20,16.0,17.3,
1617velv-txamlh1,8048,404 Not Found,11,2,103,80,5,,0.20,0.7,5.6,
1617velv-txamlh1,7797,Victorian Voltage,12,1,56,21,5,,0.10,-4.0,-0.9,
