TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-txamls3,6299,ViperBots QuadX,1,10,261,190,5,,
1617velv-txamls3,5998,LASA Ultra Violet,2,8,216,155,5,,
1617velv-txamls3,8814,Iron Eagles Guardian,3,6,265,150,5,,
1617velv-txamls3,8815,Iron Eagles Silverbolt,4,6,226,115,5,,
1617velv-txamls3,7161,ViperBots Hydra,5,4,315,90,5,,
1617velv-txamls3,11345,Toothless,6,4,312,190,5,,
1617velv-txamls3,7797,Victorian Voltage,7,4,296,130,5,,
1617velv-txamls3,11549,Rhomans,8,4,235,140,5,,
1617velv-txamls3,4812,ROBUFFS Team One,9,4,211,75,5,,
1617velv-txamls3,4723,Raider Two,10,4,190,105,5,,
1617velv-txamls3,7064,Techno Inferno,11,2,196,70,5,,
