TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-txsdcmp,4546,ViperBots SnakeByte,1,10,415,175,5,FC,
1617velv-txsdcmp,6299,ViperBots QuadX,2,8,435,205,5,WC,
1617velv-txsdcmp,5998,LASA Ultra Violet,3,8,380,140,5,S1,
1617velv-txsdcmp,7079,Faltech,4,8,375,175,5,W1,
1617velv-txsdcmp,4545,ViperBots Ouroboros,5,8,280,150,5,S1,
1617velv-txsdcmp,6209,ViperBots Venom,6,6,415,145,5,SC,
1617velv-txsdcmp,8815,Iron Eagles Silverbolt,7,6,350,110,5,W2,
1617velv-txsdcmp,7161,ViperBots Hydra,8,6,335,170,5,F1,
1617velv-txsdcmp,8424,E-Cubed,9,6,330,150,5,,
1617velv-txsdcmp,12237,Hyde Park High School Robotics,10,6,240,110,5,,
1617velv-txsdcmp,3781,Pi-Rho Maniacs,11,4,315,140,5,SC,
1617velv-txsdcmp,4812,ROBUFFS Team One,12,4,305,120,5,,
1617velv-txsdcmp,8814,Iron Eagles Guardian,13,4,295,130,5,F2,
1617velv-txsdcmp,4723,Raider Two,14,4,285,205,5,,
1617velv-txsdcmp,11549,Rhomans,15,4,265,140,5,S2,
1617velv-txsdcmp,12126,Cedar Creek EagleBots,16,4,250,170,5,,
1617velv-txsdcmp,7797,Victorian Voltage,17,4,250,160,5,,
1617velv-txsdcmp,7064,Techno Inferno,18,4,190,135,5,,
1617velv-txsdcmp,11503,ViperBots HyperFang,19,2,330,135,5,S2,
1617velv-txsdcmp,5764,Blue Sabers,20,2,275,135,5,,
1617velv-txsdcmp,4798,Robuffs Dough Boys,21,2,255,100,5,,
1617velv-txsdcmp,4027,Legacy,22,0,250,95,5,,
