TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-txsdcmp,4546,ViperBots SnakeByte,1,10,415,175,5,FC,1.00,79.7,77.0,77.2,72.3,25.9,27.4,0.0,0.0,49.6,45.1,6.2,5.4,-2.1,-1.1,4.5,5.7,
1617velv-txsdcmp,6299,ViperBots QuadX,2,8,435,205,5,WC,0.80,106.7,92.9,84.6,76.3,48.9,43.5,0.0,0.0,41.8,36.7,-2.0,-1.3,18.0,13.8,4.1,2.7,
1617velv-txsdcmp,5998,LASA Ultra Violet,3,8,380,140,5,S1,0.80,69.3,64.1,76.1,68.6,51.2,43.3,0.0,0.0,23.6,24.1,-1.9,-1.3,-3.6,-2.3,-3.3,-2.3,
1617velv-txsdcmp,7079,Faltech,4,8,375,175,5,W1,0.80,92.6,82.4,79.9,72.4,67.0,56.5,0.0,0.0,8.8,12.0,14.6,12.2,2.3,1.5,10.4,8.4,
1617velv-txsdcmp,4545,ViperBots Ouroboros,5,8,280,150,5,S1,0.80,87.7,78.0,90.7,79.7,53.2,44.8,0.0,0.0,46.4,41.0,-7.6,-5.2,-4.3,-2.7,1.3,0.9,
1617velv-txsdcmp,6209,ViperBots Venom,6,6,415,145,5,SC,0.60,79.4,71.7,62.3,57.7,17.9,18.0,0.0,0.0,23.9,22.6,22.1,18.1,15.5,12.9,1.6,1.1,
1617velv-txsdcmp,8815,Iron Eagles Silverbolt,7,6,350,110,5,W2,0.60,46.6,46.2,52.4,49.0,12.3,12.9,0.0,0.0,42.5,37.4,-0.7,0.1,-7.4,-4.4,1.6,1.5,
1617velv-txsdcmp,7161,ViperBots Hydra,8,6,335,170,5,F1,0.60,83.2,73.3,51.7,47.4,25.9,23.3,0.0,0.0,58.3,50.6,-2.2,-1.4,1.1,0.6,30.3,25.2,
1617velv-txsdcmp,8424,E-Cubed,9,6,330,150,5,,0.60,40.3,43.0,31.0,35.4,7.4,10.2,0.0,0.0,21.9,23.6,0.1,0.5,10.9,8.5,-1.6,-1.0,
1617velv-txsdcmp,12237,Hyde Park High School Robotics,10,6,240,110,5,,0.60,9.2,21.2,21.5,28.2,14.0,16.2,0.0,0.0,-2.8,4.6,4.9,4.4,-6.9,-4.2,-5.4,-2.9,
1617velv-txsdcmp,3781,Pi-Rho Maniacs,11,4,315,140,5,SC,0.40,48.2,50.9,38.9,42.3,19.4,20.8,0.0,0.0,24.0,25.5,-0.5,-0.2,5.3,4.6,4.0,3.9,
1617velv-txsdcmp,4812,ROBUFFS Team One,12,4,305,120,5,,0.40,17.1,23.7,13.1,21.5,-10.8,-2.8,0.0,0.0,18.6,19.6,5.1,4.4,4.2,2.4,-0.2,-0.2,
1617velv-txsdcmp,8814,Iron Eagles Guardian,13,4,295,130,5,F2,0.40,57.0,54.1,65.8,58.8,22.0,20.0,0.0,0.0,40.1,36.5,0.2,0.0,-5.3,-2.6,-3.5,-2.2,
1617velv-txsdcmp,4723,Raider Two,14,4,285,205,5,,0.40,44.8,45.1,30.0,31.8,13.9,14.1,0.0,0.0,7.8,11.2,6.0,4.8,17.1,14.8,-2.4,-1.5,
1617velv-txsdcmp,11549,Rhomans,15,4,265,140,5,S2,0.40,30.6,34.2,33.7,35.8,5.3,8.6,0.0,0.0,21.6,21.7,5.8,4.9,-2.2,-1.3,-0.9,-0.5,
1617velv-txsdcmp,12126,Cedar Creek EagleBots,16,4,250,170,5,,0.40,34.4,38.8,36.0,37.5,24.3,23.3,0.0,0.0,16.2,18.9,0.1,-0.0,-6.1,-3.5,4.5,4.7,
1617velv-txsdcmp,7797,Victorian Voltage,17,4,250,160,5,,0.40,38.8,40.9,23.1,27.6,14.6,15.4,0.0,0.0,19.6,20.5,-1.7,-1.1,6.4,5.9,9.4,7.3,
1617velv-txsdcmp,7064,Techno Inferno,18,4,190,135,5,,0.40,6.2,15.3,18.7,22.9,11.5,14.1,0.0,0.0,4.8,6.8,-1.3,-0.5,-8.8,-5.3,-3.7,-2.3,
1617velv-txsdcmp,11503,ViperBots HyperFang,19,2,330,135,5,S2,0.20,39.8,40.1,37.0,36.7,5.1,8.2,0.0,0.0,30.3,27.5,0.4,0.1,4.0,4.1,-1.3,-0.8,
1617velv-txsdcmp,5764,Blue Sabers,20,2,275,135,5,,0.20,22.3,25.6,24.0,27.1,11.1,13.6,0.0,0.0,10.6,12.1,-2.2,-1.6,2.8,1.3,-4.5,-2.9,
1617velv-txsdcmp,4798,Robuffs Dough Boys,21,2,255,100,5,,0.20,7.8,14.5,-7.0,2.3,-8.2,-3.7,0.0,0.0,11.7,15.4,0.2,-0.1,4.0,2.7,10.7,9.4,
1617velv-txsdcmp,4027,Legacy,22,0,250,95,5,,0.00,15.1,20.4,11.6,16.8,5.6,6.3,0.0,0.0,8.5,11.5,-3.7,-2.0,4.8,4.4,-1.3,-0.8,
