TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-txal-aplcmp-Q-1,Q-1,10-40 B,10840,8557,0,8556,12431,0,10,0,0,10,0,0,40,0,0,40,0,0,false,false,false,false,
1617velv-txal-aplcmp-Q-2,Q-2,60-0 R,5654,8558,0,4811,7815,0,60,10,0,40,10,0,0,0,0,0,0,0,false,false,false,false,
1617velv-txal-aplcmp-Q-3,Q-3,60-15 R,12470,12472,0,5653,12471,0,60,0,0,20,0,40,15,0,0,5,10,0,false,false,false,false,
1617velv-txal-aplcmp-Q-4,Q-4,40-50 B,8554,4719,0,4721,12432,0,40,0,0,40,0,0,50,40,0,0,10,0,false,false,false,false,
1617velv-txal-aplcmp-Q-5,Q-5,5-105 B,12436,12489,0,12264,8557,0,5,5,0,0,0,0,105,0,0,55,0,50,false,false,false,false,
1617velv-txal-aplcmp-Q-6,Q-6,15-60 B,12431,12471,0,4719,4811,0,15,10,0,5,0,0,60,0,0,40,20,0,false,false,false,false,
1617velv-txal-aplcmp-Q-7,Q-7,31-20 R,12436,12470,0,8554,8558,0,31,0,0,31,0,0,20,10,0,10,0,0,false,false,false,false,
1617velv-txal-aplcmp-Q-8,Q-8,13-40 B,5653,8556,0,12489,7815,0,13,0,0,3,10,0,40,0,0,40,0,0,false,false,false,false,
1617velv-txal-aplcmp-Q-9,Q-9,150-20 R,10840,4721,0,5654,12472,0,150,40,0,50,20,40,20,10,0,10,0,0,false,false,false,false,
1617velv-txal-aplcmp-Q-10,Q-10,75-7 R,12264,8556,0,12432,8558,0,75,0,0,65,0,10,7,5,0,2,0,0,false,false,false,false,
1617velv-txal-aplcmp-Q-11,Q-11,0-41 B,4719,12489,0,12470,5654,0,0,0,0,0,0,0,41,0,0,41,0,0,true,false,false,false,
1617velv-txal-aplcmp-Q-12,Q-12,9-80 B,5653,12432,0,12431,12436,0,9,5,0,4,0,0,80,0,0,40,0,40,false,false,false,false,
1617velv-txal-aplcmp-Q-13,Q-13,40-2 R,10840,7815,0,8554,12471,0,40,0,0,40,0,0,2,0,0,2,0,0,false,false,false,false,
1617velv-txal-aplcmp-Q-14,Q-14,10-60 B,4811,8557,0,12264,12472,0,10,0,0,0,10,0,60,0,0,60,0,0,false,false,false,false,
1617velv-txal-aplcmp-Q-15,Q-15,24-105 B,8558,12471,0,4721,12489,0,24,10,0,14,0,0,105,35,0,10,20,40,false,false,false,false,
1617velv-txal-aplcmp-Q-16,Q-16,30-15 R,12472,4719,0,8556,12436,0,30,0,0,30,0,0,15,5,0,10,0,0,false,false,false,false,
1617velv-txal-aplcmp-Q-17,Q-17,70-55 R,12264,7815,0,12431,4721,0,70,0,0,70,0,0,55,40,0,5,10,0,false,false,false,false,
1617velv-txal-aplcmp-Q-18,Q-18,40-32 R,5654,8554,0,5653,8557,0,40,10,0,20,10,0,32,0,0,22,10,0,false,false,false,false,
1617velv-txal-aplcmp-Q-19,Q-19,46-40 R,12432,4811,0,12470,10840,0,46,5,0,11,20,10,40,0,0,30,10,0,false,false,false,false,
1617velv-txal-aplcmp-Q-20,Q-20,5-30 B,12489,12431,0,12472,8554,0,5,5,0,0,0,0,30,0,0,30,0,0,false,false,false,false,
1617velv-txal-aplcmp-Q-21,Q-21,63-10 R,12432,4719,0,8557,7815,0,63,10,0,33,0,20,10,0,0,10,0,0,false,false,false,false,
1617velv-txal-aplcmp-Q-22,Q-22,90-36 R,4721,8556,0,4811,12470,0,90,25,0,5,20,40,36,5,0,31,0,0,false,false,false,false,
1617velv-txal-aplcmp-Q-23,Q-23,24-55 B,12471,5654,0,12264,12436,0,24,10,0,4,0,10,55,5,0,50,0,0,false,false,false,false,
1617velv-txal-aplcmp-Q-24,Q-24,31-30 R,10840,5653,0,8558,4719,0,31,0,0,21,10,0,30,10,0,20,0,0,false,false,false,false,
1617velv-txal-aplcmp-SF-1-1,SF-1-1,95-20 R,4721,4719,0,12436,12264,0,95,45,0,30,20,0,20,0,0,20,0,0,false,false,false,false,
1617velv-txal-aplcmp-SF-1-2,SF-1-2,95-26 R,4721,4719,0,12436,12264,0,95,15,0,40,20,20,26,5,0,21,0,0,false,false,false,false,
1617velv-txal-aplcmp-SF-2-1,SF-2-1,13-50 B,8558,12432,0,4811,10840,0,13,0,0,3,10,0,50,10,0,40,0,0,false,false,false,false,
1617velv-txal-aplcmp-SF-2-2,SF-2-2,22-45 B,8558,12432,0,4811,10840,0,22,0,0,22,0,0,45,5,0,20,10,10,false,false,false,false,
1617velv-txal-aplcmp-F-1,F-1,75-25 R,4721,4719,0,4811,10840,0,75,45,0,30,0,0,25,5,0,20,0,0,false,false,false,false,
1617velv-txal-aplcmp-F-2,F-2,75-60 R,4721,4719,0,4811,10840,0,75,45,0,10,20,0,60,10,0,30,20,0,false,false,false,false,
