TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-txal-cmpd2-Q-1,2,1,1,4848,6209,0,9829,11312,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,FALSE,2,0,0,0,3,6,0,1,1,0,1,0,2,TRUE,2,0,1,0,1,4,0,2,1,0,1,0,
1617velv-txal-cmpd2-Q-2,2,1,2,6272,9875,0,12373,12449,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,3,0,4,5,0,0,1,0,1,0,0,FALSE,1,0,0,0,0,1,0,0,1,0,1,0,
1617velv-txal-cmpd2-Q-3,2,1,3,4811,12395,0,12321,7197,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,3,0,2,2,0,0,1,0,0,0,0,FALSE,1,0,0,0,2,2,1,0,0,0,1,0,
1617velv-txal-cmpd2-Q-4,2,1,4,12486,6710,0,9053,12318,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,3,1,1,3,0,0,0,0,1,0,0,FALSE,2,0,0,1,3,6,0,0,1,0,0,0,
1617velv-txal-cmpd2-Q-5,2,1,5,10862,8886,0,4751,6299,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,FALSE,2,0,0,3,1,3,0,3,0,0,1,0,1,TRUE,2,0,0,1,2,7,0,3,1,0,0,0,
1617velv-txal-cmpd2-Q-6,2,1,6,9923,11156,0,7079,4008,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,3,0,0,0,2,0,0,0,2,TRUE,0,0,1,0,1,8,0,0,0,0,2,0,
1617velv-txal-cmpd2-Q-7,2,1,7,11155,12453,0,4546,11000,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,0,1,0,2,1,0,6,1,0,FALSE,1,0,0,0,2,5,0,0,6,1,1,0,
1617velv-txal-cmpd2-Q-8,2,1,8,12401,8814,0,8815,5681,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,2,3,0,0,0,0,0,0,1,TRUE,2,0,1,0,2,5,0,0,0,0,0,0,
1617velv-txal-cmpd2-Q-9,2,1,9,11158,4549,0,9228,11495,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,4,3,0,0,1,0,0,0,0,TRUE,0,0,1,0,0,0,0,0,0,0,1,0,
1617velv-txal-cmpd2-Q-10,2,1,10,8558,6976,0,4602,6892,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,0,3,0,4,0,0,0,0,0,0,0,FALSE,2,0,0,0,4,2,0,2,0,0,0,0,
