TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-txal-cmpd2,8886,Saber Robotics,1,12,531,170,6,WC,1.00,110.9,98.9,111.3,99.0,66.9,58.7,0.0,0.0,16.7,16.4,26.7,23.0,0.6,0.7,-0.9,-0.8,
1617velv-txal-cmpd2,9829,MAKbots,2,10,600,205,6,SC,0.83,121.3,105.1,110.7,96.2,67.9,58.1,0.0,0.0,16.9,16.0,27.8,23.7,8.7,7.1,1.9,1.8,
1617velv-txal-cmpd2,6299,ViperBots QuadX,3,10,540,170,6,W1,0.83,109.8,97.1,112.4,98.2,52.3,45.2,0.0,0.0,31.2,28.7,28.2,24.3,-2.0,-1.3,-0.6,0.1,
1617velv-txal-cmpd2,6209,ViperBots Venom,4,10,445,170,6,S1,0.83,72.8,70.1,67.9,66.4,14.4,17.2,0.0,0.0,34.0,31.1,20.8,19.2,3.5,2.4,1.3,1.3,
1617velv-txal-cmpd2,7079,Faltech,5,10,395,180,6,FC,0.83,98.8,87.0,93.3,82.1,68.4,57.8,0.0,0.0,19.1,18.6,10.5,9.2,0.8,1.2,4.7,3.6,
1617velv-txal-cmpd2,11155,Clash of Coders,6,10,360,125,6,SC,0.83,68.9,63.1,46.9,45.5,28.4,26.1,0.0,0.0,14.3,15.1,9.5,7.9,16.7,13.9,5.3,3.6,
1617velv-txal-cmpd2,9875,LASA MurPHy,7,10,325,115,6,,0.83,35.5,38.7,37.6,39.6,19.3,18.1,0.0,0.0,14.3,17.3,4.5,4.3,-2.6,-1.1,0.4,0.2,
1617velv-txal-cmpd2,9053,Psionics,8,8,445,145,6,,0.67,66.8,59.8,66.6,59.8,25.3,22.8,0.0,0.0,43.9,39.0,-1.7,-1.4,-0.7,-0.8,0.9,0.8,
1617velv-txal-cmpd2,11158,ECHS Robotics,9,8,380,140,6,,0.67,37.7,40.2,42.6,43.0,29.1,28.5,0.0,0.0,16.0,16.8,-5.9,-4.2,-1.5,-1.0,-3.4,-1.8,
1617velv-txal-cmpd2,4008,Bronc Botz - Atlas,10,8,335,140,6,S2,0.67,59.1,56.9,56.4,53.8,25.9,26.7,0.0,0.0,29.6,26.9,-2.3,-1.8,5.9,4.9,-3.2,-1.9,
1617velv-txal-cmpd2,12453,Patriot Engineering 7,11,8,310,140,6,,0.67,53.5,50.0,34.8,33.0,16.8,17.0,0.0,0.0,19.3,18.1,1.6,1.6,15.8,13.2,2.9,3.7,
