TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-txno-ac-Q-1,Q-1,65-30 R,3899,9386,0,11341,11419,0,65,15,0,50,0,0,30,10,0,10,10,0,false,false,false,false,
1617velv-txno-ac-Q-2,Q-2,30-0 R,11018,11793,0,11676,10437,0,30,0,0,30,0,0,0,0,0,0,0,0,false,false,false,false,
1617velv-txno-ac-Q-3,Q-3,30-60 B,8418,9015,0,11472,8626,0,30,0,0,30,0,0,60,40,0,20,0,0,false,false,false,false,
1617velv-txno-ac-Q-4,Q-4,20-10 R,11339,11425,0,9167,11761,0,20,0,0,20,0,0,10,0,0,10,0,0,false,false,false,false,
1617velv-txno-ac-Q-5,Q-5,0-48 B,8406,11472,0,11366,11419,0,0,0,0,0,0,0,48,10,0,38,0,0,false,false,false,false,
1617velv-txno-ac-Q-6,Q-6,25-40 B,9386,11676,0,8626,11425,0,25,0,0,25,0,0,40,10,0,30,0,0,false,false,false,false,
1617velv-txno-ac-Q-7,Q-7,20-50 B,8418,11018,0,8406,11339,0,20,0,0,20,0,0,50,30,0,20,0,0,false,false,false,false,
1617velv-txno-ac-Q-8,Q-8,40-15 R,11793,3899,0,9015,9167,0,40,5,0,35,0,0,15,0,0,15,0,0,false,false,false,false,
1617velv-txno-ac-Q-9,Q-9,32-25 R,11341,11366,0,11761,10437,0,32,10,0,22,0,0,25,0,0,25,0,0,false,false,false,false,
1617velv-txno-ac-Q-10,Q-10,55-110 B,11676,8406,0,11472,9386,0,55,15,0,20,20,0,110,40,0,70,0,0,true,false,true,false,
1617velv-txno-ac-Q-11,Q-11,60-43 R,11419,11425,0,8418,11793,0,60,20,0,0,0,40,43,10,0,33,0,0,false,false,false,false,
1617velv-txno-ac-Q-12,Q-12,20-41 B,11366,9015,0,11339,11341,0,20,10,0,0,10,0,41,0,0,41,0,0,false,false,false,false,
1617velv-txno-ac-Q-13,Q-13,70-230 B,10437,8626,0,3899,9167,0,70,25,0,45,0,0,230,5,0,15,0,210,false,false,false,false,
1617velv-txno-ac-Q-14,Q-14,42-5 R,11761,11419,0,11018,9015,0,42,0,0,42,0,0,5,5,0,0,0,0,false,false,false,false,
1617velv-txno-ac-Q-15,Q-15,0-51 B,9167,11676,0,11341,8418,0,0,0,0,0,0,0,51,10,0,41,0,0,false,false,false,false,
1617velv-txno-ac-Q-16,Q-16,25-60 B,11339,11472,0,9386,10437,0,25,10,0,15,0,0,60,0,0,60,0,0,false,false,false,false,
1617velv-txno-ac-Q-17,Q-17,65-35 R,11793,8626,0,11761,8406,0,65,20,0,45,0,0,35,15,0,0,20,0,false,false,false,false,
1617velv-txno-ac-Q-18,Q-18,75-76 B,11018,3899,0,11425,11366,0,75,0,0,15,0,60,76,25,0,51,0,0,false,false,false,false,
1617velv-txno-ac-Q-19,Q-19,5-65 B,11339,11419,0,8626,11676,0,5,5,0,0,0,0,65,35,0,30,0,0,false,false,false,false,
1617velv-txno-ac-Q-20,Q-20,10-40 B,11341,9167,0,11018,11472,0,10,10,0,0,0,0,40,0,0,40,0,0,false,false,false,false,
1617velv-txno-ac-Q-21,Q-21,50-15 R,10437,11425,0,8406,9015,0,50,10,0,40,0,0,15,5,0,10,0,0,false,false,false,false,
1617velv-txno-ac-Q-22,Q-22,75-89 B,8418,9386,0,11366,11793,0,75,40,0,25,10,0,89,40,0,49,0,0,false,false,false,false,
1617velv-txno-ac-Q-23,Q-23,20-45 B,11761,11472,0,3899,11676,0,20,0,0,20,0,0,45,0,0,45,0,0,false,false,false,false,
1617velv-txno-ac-SF-1-1,SF-1-1,25-46 B,11425,8626,0,11341,11339,0,25,5,0,20,0,0,46,15,0,31,0,0,false,false,false,false,
1617velv-txno-ac-SF-1-2,SF-1-2,50-28 R,11425,8626,0,11341,11339,0,50,20,0,30,0,0,28,15,0,13,0,0,false,false,false,false,
1617velv-txno-ac-SF-1-3,SF-1-3,65-31 R,11425,8626,0,11341,11339,0,65,40,0,25,0,0,31,10,0,21,0,0,false,false,false,false,
1617velv-txno-ac-SF-2-1,SF-2-1,67-65 R,11793,9386,0,3899,11366,0,67,15,0,52,0,0,65,25,0,40,0,0,false,false,false,false,
1617velv-txno-ac-SF-2-2,SF-2-2,45-60 B,11793,9386,0,3899,11366,0,45,30,0,15,0,0,60,10,0,50,0,0,false,false,false,false,
1617velv-txno-ac-SF-2-3,SF-2-3,50-60 B,11793,9386,0,3899,11366,0,50,40,0,10,0,0,60,10,0,50,0,0,false,false,false,false,
1617velv-txno-ac-F-1,F-1,40-55 B,11425,8626,0,3899,11366,0,40,10,0,30,0,0,55,25,0,30,0,0,false,false,false,false,
1617velv-txno-ac-F-2,F-2,50-50 T,11425,8626,0,3899,11366,0,50,20,0,30,0,0,50,25,0,25,0,0,false,false,false,false,
1617velv-txno-ac-F-3,F-3,35-80 B,11425,8626,0,3899,11366,0,35,10,0,15,0,10,80,10,0,30,0,40,false,false,false,false,
