TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-txno-al-Q-1,1,1,1,8114,11030,0,11185,5598,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,0,0,0,2,0,0,0,0,0,0,0,TRUE,2,0,1,0,1,1,0,0,0,0,0,0,
1617velv-txno-al-Q-2,1,1,2,8204,10992,0,10914,9167,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,3,5,0,0,0,0,0,0,0,FALSE,0,0,1,0,0,0,1,0,0,0,0,0,
1617velv-txno-al-Q-3,1,1,3,4705,11563,0,8242,10890,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,1,0,0,1,0,0,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,
1617velv-txno-al-Q-4,1,1,4,10945,8346,0,12139,11791,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,1,0,0,0,0,1,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,1,
1617velv-txno-al-Q-5,1,1,5,10985,11164,0,8418,12106,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,2,4,0,0,0,0,0,0,0,FALSE,0,0,0,0,2,0,0,1,0,0,0,0,
1617velv-txno-al-Q-6,1,1,6,8291,8565,0,12400,6635,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,TRUE,1,0,0,1,3,0,0,0,0,0,0,0,0,TRUE,2,0,1,0,0,0,0,0,0,0,0,0,
1617velv-txno-al-Q-7,1,1,7,5598,8204,0,10890,10945,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,2,1,0,0,0,0,0,0,0,FALSE,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-txno-al-Q-8,1,1,8,12139,4705,0,9167,10985,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,0,1,3,0,0,2,0,0,0,0,0,TRUE,0,0,1,0,0,5,0,0,0,0,0,0,
1617velv-txno-al-Q-9,1,1,9,12400,11185,0,8418,10992,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,2,0,0,0,0,2,0,0,0,0,0,0,0,FALSE,1,0,0,0,4,2,0,0,0,0,0,0,
1617velv-txno-al-Q-10,1,1,10,8114,6635,0,8242,11791,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,0,2,0,0,0,0,0,0,0,TRUE,0,0,0,0,4,3,0,0,0,0,0,0,
