TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-txse-lc-Q-1,Q-1,54-55 B,10982,11149,0,8366,12456,0,54,10,0,34,10,0,55,10,0,25,20,0,
1617velv-txse-lc-Q-2,Q-2,86-21 R,12209,8668,0,10581,12423,0,86,30,0,56,0,0,21,0,0,21,0,0,
1617velv-txse-lc-Q-3,Q-3,40-40 T,11227,4641,0,12218,5175,0,40,30,0,10,0,0,40,10,0,30,0,0,
1617velv-txse-lc-Q-4,Q-4,5-20 B,10963,10831,0,7216,9191,0,5,5,0,0,0,0,20,0,0,20,0,0,
1617velv-txse-lc-Q-5,Q-5,177-12 R,11524,6455,0,11776,11826,0,177,85,0,52,40,0,12,0,0,12,0,0,
1617velv-txse-lc-Q-6,Q-6,30-0 R,10479,7788,0,9141,10964,0,30,0,0,30,0,0,0,0,0,0,0,0,
1617velv-txse-lc-Q-7,Q-7,45-48 B,6510,11756,0,12364,11640,0,45,25,0,20,0,0,48,25,0,23,0,0,
1617velv-txse-lc-Q-8,Q-8,25-95 B,10753,11291,0,4454,10904,0,25,0,0,15,10,0,95,40,0,45,0,10,
1617velv-txse-lc-Q-9,Q-9,51-65 B,10726,10963,0,10832,10982,0,51,40,0,11,0,0,65,25,0,30,10,0,
1617velv-txse-lc-Q-10,Q-10,120-95 R,6455,12218,0,8668,10479,0,120,40,0,40,40,0,95,60,0,35,0,0,
1617velv-txse-lc-Q-11,Q-11,53-30 R,7216,11149,0,10964,4641,0,53,10,0,43,0,0,30,30,0,0,0,0,
1617velv-txse-lc-Q-12,Q-12,15-70 B,9141,12423,0,12456,6510,0,15,5,0,10,0,0,70,40,0,30,0,0,
1617velv-txse-lc-Q-13,Q-13,40-10 R,10832,10581,0,7788,9191,0,40,20,0,20,0,0,10,0,0,10,0,0,
1617velv-txse-lc-Q-14,Q-14,15-45 B,10753,11776,0,11756,10726,0,15,0,0,5,10,0,45,10,0,35,0,0,
1617velv-txse-lc-Q-15,Q-15,5-124 B,11291,5175,0,11524,12209,0,5,5,0,0,0,0,124,70,0,44,10,0,
1617velv-txse-lc-Q-16,Q-16,55-21 R,12364,4454,0,11227,11826,0,55,5,0,50,0,0,21,0,0,21,0,0,
1617velv-txse-lc-Q-17,Q-17,80-56 R,10904,8366,0,11640,10831,0,80,10,0,30,40,0,56,10,0,36,10,0,
1617velv-txse-lc-Q-18,Q-18,55-5 R,4641,10479,0,6510,10726,0,55,5,0,40,10,0,5,5,0,0,0,0,
1617velv-txse-lc-Q-19,Q-19,60-54 R,12456,10964,0,10581,11524,0,60,40,0,20,0,0,54,30,0,24,0,0,
1617velv-txse-lc-Q-20,Q-20,13-35 B,9191,11149,0,6455,11291,0,13,10,0,3,0,0,35,20,0,5,10,0,
1617velv-txse-lc-Q-21,Q-21,53-10 R,11640,12218,0,7788,10963,0,53,5,0,48,0,0,10,10,0,0,0,0,
1617velv-txse-lc-Q-22,Q-22,16-40 B,9141,11826,0,12209,10753,0,16,5,0,11,0,0,40,5,0,25,10,0,
1617velv-txse-lc-Q-23,Q-23,15-75 B,10831,12423,0,10832,12364,0,15,5,0,10,0,0,75,40,0,35,0,0,
1617velv-txse-lc-Q-24,Q-24,121-65 R,8366,11227,0,8668,11776,0,121,40,0,41,40,0,65,30,0,35,0,0,
1617velv-txse-lc-Q-25,Q-25,25-20 R,4454,10982,0,5175,11756,0,25,5,0,20,0,0,20,0,0,20,0,0,
1617velv-txse-lc-Q-26,Q-26,50-95 B,7216,10726,0,10904,6455,0,50,10,0,40,0,0,95,55,0,20,20,0,
1617velv-txse-lc-Q-27,Q-27,5-51 B,6510,10964,0,10831,12218,0,5,5,0,0,0,0,51,10,0,41,0,0,
1617velv-txse-lc-Q-28,Q-28,97-10 R,11524,9191,0,4641,9141,0,97,60,0,37,0,0,10,0,0,10,0,0,
1617velv-txse-lc-Q-29,Q-29,40-15 R,10581,11826,0,10963,11291,0,40,10,0,30,0,0,15,5,0,10,0,0,
1617velv-txse-lc-Q-30,Q-30,50-40 R,12364,11776,0,7788,10904,0,50,25,0,25,0,0,40,0,0,30,0,10,
1617velv-txse-lc-Q-31,Q-31,65-55 R,12209,10832,0,8366,4454,0,65,30,0,35,0,0,55,40,0,15,0,0,
1617velv-txse-lc-Q-32,Q-32,20-50 B,12456,11756,0,10479,11227,0,20,10,0,10,0,0,50,10,0,40,0,0,
1617velv-txse-lc-Q-33,Q-33,58-10 R,11640,7216,0,10982,12423,0,58,25,0,33,0,0,10,0,0,10,0,0,
1617velv-txse-lc-Q-34,Q-34,50-23 R,8668,10753,0,11149,5175,0,50,10,0,30,10,0,23,0,0,23,0,0,
1617velv-txse-lc-Q-35,Q-35,0-90 B,10904,12218,0,12209,9191,0,0,0,0,0,0,0,90,0,0,40,10,40,
1617velv-txse-lc-Q-36,Q-36,0-150 B,11291,10964,0,11756,8366,0,0,0,0,0,0,0,150,40,0,70,40,0,
1617velv-txse-lc-Q-37,Q-37,60-0 R,10581,10831,0,11776,4641,0,60,10,0,40,10,0,0,0,0,0,0,0,
1617velv-txse-lc-Q-38,Q-38,65-70 B,12364,5175,0,12456,7216,0,65,40,0,25,0,0,70,0,0,30,0,40,
1617velv-txse-lc-Q-39,Q-39,105-10 R,8668,11826,0,10982,6510,0,105,40,0,55,10,0,10,10,0,0,0,0,
1617velv-txse-lc-Q-40,Q-40,5-51 B,12423,11227,0,10726,11149,0,5,5,0,0,0,0,51,15,0,36,0,0,
1617velv-txse-lc-Q-41,Q-41,125-26 R,10479,11524,0,10832,11640,0,125,70,0,45,10,0,26,25,0,1,0,0,
1617velv-txse-lc-Q-42,Q-42,55-90 B,9141,4454,0,6455,10963,0,55,25,0,30,0,0,90,10,0,40,40,0,
1617velv-txse-lc-Q-43,Q-43,35-45 B,7788,4641,0,10753,6510,0,35,5,0,30,0,0,45,25,0,10,10,0,
1617velv-txse-lc-SF-1-1,SF-1-1,90-104 B,6455,8366,4454,7216,10479,11524,90,55,0,35,0,0,104,60,0,44,0,0,
1617velv-txse-lc-SF-1-2,SF-1-2,60-76 B,6455,8366,4454,7216,10479,11524,60,35,0,25,0,0,76,45,0,31,0,0,
1617velv-txse-lc-SF-2-1,SF-2-1,55-65 B,12209,8668,4641,12456,12364,10832,55,45,0,10,0,0,65,25,0,40,0,0,
1617velv-txse-lc-SF-2-2,SF-2-2,75-40 R,12209,8668,4641,12456,12364,10832,75,35,0,40,0,0,40,25,0,15,0,0,
1617velv-txse-lc-SF-2-3,SF-2-3,50-55 B,12209,8668,4641,12456,12364,10832,50,10,0,30,10,0,55,25,0,30,0,0,
1617velv-txse-lc-F-1,F-1,114-40 R,7216,10479,11524,12456,12364,10832,114,30,0,44,0,40,40,35,0,5,0,0,
1617velv-txse-lc-F-2,F-2,89-60 R,7216,10479,11524,12456,12364,10832,89,65,0,24,0,0,60,25,0,35,0,0,
