TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-va-ced1-Q-1,1,1,1,8095,11991,0,10570,7217,0,0,1,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,2,0,1,0,0,0,0,0,
1617velv-va-ced1-Q-2,1,1,2,4924,9069,0,5648,11484,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,4,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-va-ced1-Q-3,1,1,3,8474,12088,0,9337,6295,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,0,0,0,0,1,0,0,false,0,0,0,0,0,0,0,0,1,0,0,0,
1617velv-va-ced1-Q-4,1,1,4,3668,3804,0,7039,8094,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,2,0,0,0,0,0,0,0,0,false,1,0,0,0,0,2,0,0,0,0,0,0,
1617velv-va-ced1-Q-5,1,1,5,9918,10362,0,7862,11368,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,1,0,0,0,0,0,0,0,0,false,0,0,0,0,1,0,0,0,0,0,0,0,
1617velv-va-ced1-Q-6,1,1,6,6124,9631,0,975,6295,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,3,4,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-va-ced1-Q-7,1,1,7,8095,8094,0,9337,7862,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,2,2,0,0,1,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,1,0,
1617velv-va-ced1-Q-8,1,1,8,9631,8474,0,4924,3668,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,3,0,3,0,0,0,0,0,0,0,0,false,0,0,0,0,1,4,0,0,0,0,0,0,
1617velv-va-ced1-Q-9,1,1,9,7039,12088,0,7217,9918,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,2,2,0,0,0,0,0,0,0,true,0,0,0,1,2,0,0,0,0,0,0,0,
1617velv-va-ced1-Q-10,1,1,10,6124,10362,0,11991,5648,0,0,0,0,false,false,false,1,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,1,0,0,0,0,0,0,false,0,0,0,1,2,0,0,0,0,0,0,0,
1617velv-va-ced1-Q-11,1,1,11,10570,11484,0,11368,3804,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,0,0,0,0,0,1,0,0,0,true,0,0,0,1,2,0,0,0,0,0,0,1,
1617velv-va-ced1-Q-12,1,1,12,975,7217,0,9069,3668,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,2,0,0,0,0,0,0,0,0,false,0,0,0,0,0,2,0,0,0,0,0,0,
1617velv-va-ced1-Q-13,1,1,13,7039,11484,0,11991,9631,0,0,0,0,false,false,false,1,0,0,false,false,false,1,0,0,0,0,0,1,0,false,2,0,0,0,0,1,0,0,0,0,0,0,0,false,0,0,0,3,4,0,0,0,0,0,0,0,
1617velv-va-ced1-Q-14,1,1,14,9918,9337,0,5648,975,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-va-ced1-Q-15,1,1,15,6295,9069,0,10570,7862,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,0,0,0,0,0,1,0,true,0,0,0,0,0,0,5,0,0,1,0,0,
1617velv-va-ced1-Q-16,1,1,16,3804,10362,0,8474,8095,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,2,2,0,0,1,0,0,0,0,true,0,0,0,0,0,0,0,0,0,0,1,0,
1617velv-va-ced1-Q-17,1,1,17,11368,8094,0,6124,12088,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,3,0,0,0,0,0,0,0,0,false,0,0,0,0,1,0,0,0,0,0,0,0,
1617velv-va-ced1-Q-18,1,1,18,4924,6295,0,7039,10362,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,false,0,0,0,0,4,2,0,0,0,0,0,0,0,true,0,0,0,0,0,1,0,0,0,0,0,0,
1617velv-va-ced1-Q-19,1,1,19,11368,7217,0,9631,9337,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,0,0,0,0,0,0,0,0,0,false,0,0,0,3,4,0,0,0,0,0,0,0,
1617velv-va-ced1-Q-20,1,1,20,3804,11991,0,9918,9069,0,0,1,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,0,0,4,0,0,0,0,0,0,true,0,0,1,0,3,0,0,0,0,0,0,0,
1617velv-va-ced1-Q-21,1,1,21,8474,7862,0,6124,11484,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,3,0,0,0,0,0,0,0,
1617velv-va-ced1-Q-22,1,1,22,975,8094,0,10570,4924,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,0,0,0,0,0,1,2,false,2,0,0,0,2,1,2,1,0,1,0,0,
1617velv-va-ced1-Q-23,1,1,23,3668,8095,0,5648,12088,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,1,0,0,0,4,4,0,0,0,0,0,0,0,false,0,0,0,3,0,0,0,0,0,0,0,0,
1617velv-va-ced1-Q-24,1,1,24,9337,9069,0,6124,7039,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,0,0,1,0,0,0,0,false,2,0,0,0,4,2,0,1,0,0,1,0,
1617velv-va-ced1-Q-25,1,1,25,11368,6295,0,11991,3668,0,0,0,0,false,false,false,1,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,2,0,0,0,0,0,0,true,0,0,0,0,3,0,0,0,0,0,0,0,
1617velv-va-ced1-Q-26,1,1,26,4924,9631,0,8095,9918,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,1,0,0,0,4,3,0,1,1,0,0,0,0,true,2,0,1,0,0,2,0,0,0,0,1,0,
1617velv-va-ced1-Q-27,1,1,27,7862,975,0,3804,12088,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,0,0,0,1,0,0,0,0,0,true,0,0,1,3,4,0,0,0,0,0,0,0,
1617velv-va-ced1-Q-28,1,1,28,11484,7217,0,8094,10362,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,4,1,0,1,0,0,0,0,
