TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-va-ced2,3749,Bionic Penguins,1,8,147,60,5,FC,0.80,25.8,23.3,27.1,21.3,11.2,8.7,0.0,0.0,14.3,12.2,2.4,1.8,-2.1,0.5,0.8,1.4,
1617velv-va-ced2,8275,Tech Busters,2,8,125,80,5,F1,0.80,31.1,28.7,-14.3,-7.4,-1.8,0.5,0.0,0.0,11.8,11.7,-1.2,-0.8,22.3,17.3,23.1,18.8,
1617velv-va-ced2,6481,TechnoMancers,3,8,97,50,5,SC,0.80,19.1,18.4,9.5,10.8,0.5,0.9,0.0,0.0,17.7,16.4,0.4,0.6,0.4,0.3,9.1,7.2,
1617velv-va-ced2,6158,Spartabots,4,8,83,60,5,S1,0.80,33.9,29.0,27.4,22.6,6.8,5.6,0.0,0.0,25.5,21.8,2.1,1.6,-0.6,-0.1,7.1,6.5,
1617velv-va-ced2,9202,Her Majesty's Engineers,5,8,78,60,5,WC,0.80,32.0,27.7,22.8,20.2,0.1,0.4,0.0,0.0,20.8,18.2,-0.0,-0.1,11.2,8.9,-2.0,-1.5,
1617velv-va-ced2,10567,Voltage,6,8,73,37,5,SC,0.80,3.8,7.3,3.2,6.4,-1.6,-0.5,0.0,0.0,4.5,7.0,-1.1,-0.7,2.0,1.4,-1.4,-0.6,
1617velv-va-ced2,7844,Ratchet Bots,7,6,107,80,5,S1,0.60,27.8,25.6,34.1,27.1,20.7,16.5,0.0,0.0,5.1,5.3,-0.9,-0.7,3.0,4.3,-9.2,-5.9,
1617velv-va-ced2,6027,L.E.D. Empire,8,6,81,35,5,F2,0.60,5.3,7.5,7.7,9.1,-5.2,-2.9,0.0,0.0,4.0,4.8,5.7,4.7,0.8,0.6,-3.2,-2.3,
1617velv-va-ced2,12017,Lucille Murray Brown Middle School,9,6,50,130,5,S2,0.60,26.4,24.0,4.3,5.4,-1.6,-0.5,0.0,0.0,5.1,5.8,-0.3,-0.2,23.2,18.8,-1.1,-0.2,
1617velv-va-ced2,8910,Veritas School,10,5,85,65,5,W1,0.50,21.1,19.4,22.7,19.9,5.4,4.7,0.0,0.0,15.9,14.5,-0.3,-0.3,0.1,0.3,-1.7,-0.8,
1617velv-va-ced2,364,Warrior Geeks,11,5,28,40,5,,0.50,4.3,5.7,11.4,9.5,-0.5,-0.5,0.0,0.0,13.1,11.4,0.7,0.4,-9.1,-5.8,1.9,1.8,
1617velv-va-ced2,7090,First Appalachian Robotics,12,4,95,35,5,S2,0.40,10.5,10.7,21.4,16.4,7.2,4.9,0.0,0.0,6.5,6.4,1.3,1.1,-4.5,-1.9,-6.4,-3.9,
1617velv-va-ced2,12012,Nescio,13,4,83,65,5,,0.40,21.4,19.3,17.1,14.5,6.7,5.7,0.0,0.0,12.4,11.3,0.2,0.1,2.1,2.1,2.1,2.7,
1617velv-va-ced2,12019,Boushall Middle School,14,4,82,50,5,,0.40,13.2,12.4,11.0,10.2,2.8,2.6,0.0,0.0,8.4,8.0,2.0,1.6,-0.0,-0.0,2.2,2.1,
1617velv-va-ced2,11422,Tunstall Titans,15,4,72,40,5,,0.40,10.2,11.8,14.4,13.8,2.1,1.6,0.0,0.0,14.0,13.7,0.1,0.1,-6.0,-3.8,1.8,1.7,
1617velv-va-ced2,5431,Royal Phoenix,16,4,68,60,5,,0.40,0.4,4.9,-8.2,-3.4,1.4,1.7,0.0,0.0,0.2,2.8,-0.8,-0.5,-0.5,0.7,9.1,7.5,
1617velv-va-ced2,4323,iCATZ,17,4,67,130,5,W2,0.40,30.1,27.1,6.9,8.2,3.9,3.8,0.0,0.0,5.8,6.0,-1.0,-0.7,21.5,17.9,1.7,1.0,
1617velv-va-ced2,11209,Code Crushing Griffins,18,4,45,60,5,,0.40,14.3,14.6,19.5,16.8,1.1,0.9,0.0,0.0,15.0,14.1,1.9,1.5,-3.6,-2.0,-1.6,-0.2,
1617velv-va-ced2,9422,Steve & Friends INC.,19,4,31,45,5,,0.40,6.2,7.4,-10.4,-8.0,3.7,3.2,0.0,0.0,5.2,5.1,1.5,1.2,-4.2,-2.4,20.8,17.6,
1617velv-va-ced2,11700,AISeahorse,20,3,36,45,5,,0.30,4.1,5.8,0.2,4.0,-0.4,0.7,0.0,0.0,1.0,3.1,-1.2,-0.7,4.7,2.5,-0.8,-0.9,
1617velv-va-ced2,9882,Spegonauts,21,2,50,20,5,,0.20,3.1,4.7,-5.2,-0.7,-4.0,-1.7,0.0,0.0,3.0,3.8,-0.4,-0.3,4.6,2.8,3.7,2.5,
1617velv-va-ced2,3116,Robo Warriors,22,1,20,10,5,,0.10,-11.5,-6.3,-17.5,-11.5,-4.0,-2.2,0.0,0.0,-9.3,-5.5,-1.1,-0.7,2.8,1.9,3.1,3.2,
1617velv-va-ced2,10306,Seahorses,23,0,53,25,5,,0.00,-2.4,0.4,0.1,0.6,2.3,1.8,0.0,0.0,1.0,1.8,-0.2,-0.2,-5.4,-3.2,2.9,2.9,
