TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-va-ead2-Q-1,Q-1,80-5 R,8094,10306,0,12148,11315,0,80,40,0,40,0,0,5,0,0,5,0,0,false,false,false,false,
1617velv-va-ead2-Q-2,Q-2,35-30 R,5872,9422,0,11868,9935,0,35,0,0,35,0,0,30,20,0,10,0,0,false,false,false,false,
1617velv-va-ead2-Q-3,Q-3,25-65 B,6295,8037,0,11991,4634,0,25,5,0,20,0,0,65,0,0,25,40,0,false,false,false,false,
1617velv-va-ead2-Q-4,Q-4,45-5 R,6010,11368,0,3804,10685,0,45,5,0,40,0,0,5,5,0,0,0,0,false,false,false,false,
1617velv-va-ead2-Q-5,Q-5,30-115 B,10357,7862,0,6700,5527,0,30,0,0,30,0,0,115,40,0,35,40,0,false,false,false,false,
1617velv-va-ead2-Q-6,Q-6,50-0 R,8474,8094,0,9419,11368,0,50,0,0,50,0,0,0,0,0,0,0,0,false,false,false,false,
1617velv-va-ead2-Q-7,Q-7,10-0 R,11991,5527,0,10306,10685,0,10,0,0,10,0,0,0,0,0,0,0,0,false,false,false,false,
1617velv-va-ead2-Q-8,Q-8,55-40 R,10357,12148,0,5872,8037,0,55,40,0,15,0,0,40,0,0,30,10,0,false,false,false,false,
1617velv-va-ead2-Q-9,Q-9,130-100 R,11868,6700,0,9419,4634,0,130,10,0,80,40,0,100,30,0,20,10,40,false,false,false,false,
1617velv-va-ead2-Q-10,Q-10,25-65 B,3804,6295,0,9935,11315,0,25,15,0,10,0,0,65,15,0,10,0,40,false,false,false,false,
1617velv-va-ead2-Q-11,Q-11,30-20 R,8474,7862,0,6010,9422,0,30,0,0,30,0,0,20,10,0,10,0,0,false,false,false,false,
1617velv-va-ead2-Q-12,Q-12,25-30 B,6295,5527,0,11368,12148,0,25,5,0,10,0,10,30,0,0,30,0,0,true,false,true,false,
1617velv-va-ead2-Q-13,Q-13,80-0 R,5872,4634,0,8474,10685,0,80,15,0,55,10,0,0,0,0,0,0,0,false,false,false,false,
1617velv-va-ead2-Q-14,Q-14,35-125 B,8037,11315,0,6700,6010,0,35,15,0,10,10,0,125,5,0,80,40,0,false,false,false,false,
1617velv-va-ead2-Q-15,Q-15,55-30 R,9419,9935,0,10306,7862,0,55,5,0,10,0,40,30,0,0,30,0,0,false,false,false,false,
1617velv-va-ead2-Q-16,Q-16,100-65 R,3804,8094,0,11868,10357,0,100,55,0,45,0,0,65,50,0,15,0,0,false,false,false,false,
1617velv-va-ead2-Q-17,Q-17,40-11 R,11991,12148,0,9422,9419,0,40,0,0,40,0,0,11,0,0,1,0,10,false,false,false,false,
1617velv-va-ead2-Q-18,Q-18,65-30 R,8474,3804,0,5527,8037,0,65,15,0,30,20,0,30,0,0,10,20,0,false,false,false,false,
1617velv-va-ead2-Q-19,Q-19,105-25 R,9935,6700,0,8094,10685,0,105,0,0,55,40,10,25,15,0,10,0,0,false,false,false,false,
1617velv-va-ead2-Q-20,Q-20,45-65 B,10357,11315,0,4634,9422,0,45,0,0,45,0,0,65,15,0,10,40,0,false,false,false,false,
1617velv-va-ead2-Q-21,Q-21,25-55 B,11868,10306,0,6010,6295,0,25,25,0,0,0,0,55,5,0,40,10,0,false,false,false,false,
1617velv-va-ead2-Q-22,Q-22,50-0 R,11368,7862,0,5872,11991,0,50,0,0,40,10,0,0,0,0,0,0,0,false,false,false,false,
1617velv-va-ead2-Q-23,Q-23,1-70 B,10685,9419,0,10357,6295,0,1,0,0,1,0,0,70,30,0,40,0,0,false,false,false,false,
1617velv-va-ead2-Q-24,Q-24,51-10 R,6010,5527,0,5872,8094,0,51,10,0,41,0,0,10,0,0,10,0,0,false,false,false,false,
1617velv-va-ead2-Q-25,Q-25,31-40 B,9935,10306,0,11368,8037,0,31,10,0,21,0,0,40,0,0,20,20,0,false,false,false,false,
1617velv-va-ead2-Q-26,Q-26,50-50 T,11315,11868,0,11991,8474,0,50,25,0,15,0,10,50,10,0,40,0,0,false,false,false,false,
1617velv-va-ead2-Q-27,Q-27,30-40 B,4634,12148,0,7862,3804,0,30,25,0,5,0,0,40,0,0,40,0,0,false,false,false,false,
1617velv-va-ead2-Q-28,Q-28,10-150 B,9422,6295,0,6700,11368,0,10,10,0,0,0,0,150,40,0,70,40,0,false,false,false,false,
1617velv-va-ead2-SF-1-1,SF-1-1,110-25 R,6700,4634,10357,8474,11315,5527,110,5,0,65,0,40,25,15,0,10,0,0,false,false,false,false,
1617velv-va-ead2-SF-2-1,SF-2-1,90-45 R,6010,8094,7862,11368,8037,11991,90,70,0,20,0,0,45,0,0,45,0,0,false,false,false,false,
1617velv-va-ead2-SF-1-2,SF-1-2,130-35 R,6700,4634,10357,8474,11315,5527,130,25,0,65,40,0,35,10,0,25,0,0,false,false,false,false,
1617velv-va-ead2-SF-2-2,SF-2-2,60-85 B,6010,8094,7862,11368,8037,11991,60,40,0,10,0,10,85,30,0,45,10,0,false,false,false,false,
1617velv-va-ead2-SF-2-3,SF-2-3,75-10 R,6010,8094,7862,11368,8037,11991,75,35,0,40,0,0,10,0,0,10,0,0,false,false,false,false,
1617velv-va-ead2-F-1,F-1,60-25 R,6700,4634,10357,6010,8094,7862,60,10,0,50,0,0,25,5,0,10,10,0,false,false,false,false,
1617velv-va-ead2-F-2,F-2,90-25 R,6700,4634,10357,6010,8094,7862,90,40,0,40,10,0,25,5,0,10,10,0,false,false,false,false,
