TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-va-sw-Q-1,Q-1,80-95 B,11362,12088,0,10395,965,0,80,30,0,50,0,0,95,85,0,10,0,0,
1617velv-va-sw-Q-2,Q-2,60-120 B,7090,3749,0,4417,8498,0,60,30,0,30,0,0,120,70,0,50,0,0,
1617velv-va-sw-Q-3,Q-3,90-185 B,2940,8597,0,10358,5414,0,90,40,0,30,20,0,185,115,0,20,40,10,
1617velv-va-sw-Q-4,Q-4,11-42 B,5401,11630,0,5444,11624,0,11,10,0,1,0,0,42,5,0,37,0,0,
1617velv-va-sw-Q-5,Q-5,95-0 R,4924,10551,0,7217,11315,0,95,45,0,50,0,0,0,0,0,0,0,0,
1617velv-va-sw-Q-6,Q-6,10-60 B,8652,11624,0,8619,10358,0,10,0,0,10,0,0,60,15,0,25,20,0,
1617velv-va-sw-Q-7,Q-7,60-45 R,7090,5401,0,11315,8597,0,60,10,0,50,0,0,45,40,0,5,0,0,
1617velv-va-sw-Q-8,Q-8,25-115 B,5444,3749,0,965,8652,0,25,15,0,10,0,0,115,85,0,30,0,0,
1617velv-va-sw-Q-9,Q-9,95-40 R,8498,8619,0,12088,10551,0,95,40,0,45,10,0,40,20,0,20,0,0,
1617velv-va-sw-Q-10,Q-10,135-75 R,5414,7217,0,4417,11362,0,135,85,0,10,40,0,75,25,0,50,0,0,
1617velv-va-sw-Q-11,Q-11,1-95 B,10395,11630,0,2940,4924,0,1,0,0,1,0,0,95,25,0,60,10,0,
1617velv-va-sw-Q-12,Q-12,95-15 R,11362,10358,0,5401,10551,0,95,25,0,70,0,0,15,5,0,10,0,0,
1617velv-va-sw-Q-13,Q-13,105-165 B,11315,965,0,5414,8498,0,105,80,0,25,0,0,165,75,0,50,40,0,
1617velv-va-sw-Q-14,Q-14,115-40 R,2940,8619,0,3749,7217,0,115,30,0,35,40,10,40,30,0,10,0,0,
1617velv-va-sw-Q-15,Q-15,30-56 B,4417,4924,0,8597,5444,0,30,25,0,5,0,0,56,25,0,31,0,0,
1617velv-va-sw-Q-16,Q-16,45-31 R,8652,7090,0,12088,11630,0,45,10,0,35,0,0,31,10,0,11,0,10,
1617velv-va-sw-Q-17,Q-17,100-60 R,11624,8597,0,10395,10551,0,100,60,0,20,10,10,60,35,0,25,0,0,
1617velv-va-sw-Q-18,Q-18,41-275 B,4417,11630,0,10358,965,0,41,10,0,31,0,0,275,95,0,40,40,100,
1617velv-va-sw-Q-19,Q-19,25-90 B,4924,12088,0,3749,5414,0,25,5,0,20,0,0,90,5,0,45,40,0,
1617velv-va-sw-Q-20,Q-20,95-35 R,11362,11624,0,11315,2940,0,95,50,0,45,0,0,35,25,0,10,0,0,
1617velv-va-sw-Q-21,Q-21,40-70 B,10395,5444,0,7090,8619,0,40,10,0,30,0,0,70,10,0,20,40,0,
1617velv-va-sw-Q-22,Q-22,0-105 B,8652,7217,0,8498,5401,0,0,0,0,0,0,0,105,20,0,85,0,0,
1617velv-va-sw-Q-23,Q-23,270-50 R,11315,10358,0,5444,12088,0,270,30,0,10,40,190,50,10,0,40,0,0,
1617velv-va-sw-Q-24,Q-24,105-47 R,11362,8498,0,11630,8597,0,105,25,0,80,0,0,47,30,0,17,0,0,
1617velv-va-sw-Q-25,Q-25,10-60 B,10551,4417,0,2940,8652,0,10,10,0,0,0,0,60,10,0,40,10,0,
1617velv-va-sw-Q-26,Q-26,185-90 R,5414,10395,0,3749,5401,0,185,85,0,60,40,0,90,40,0,10,40,0,
1617velv-va-sw-Q-27,Q-27,115-30 R,7217,965,0,11624,7090,0,115,75,0,40,0,0,30,25,0,5,0,0,
1617velv-va-sw-Q-28,Q-28,50-80 B,8619,5401,0,4924,11362,0,50,10,0,20,20,0,80,20,0,50,10,0,
1617velv-va-sw-SF-1-1,SF-1-1,200-75 R,5414,10358,2940,11362,10395,10551,200,115,0,45,40,0,75,30,0,45,0,0,
1617velv-va-sw-SF-1-2,SF-1-2,185-65 R,5414,10358,2940,11362,10395,10551,185,85,0,60,40,0,65,40,0,25,0,0,
1617velv-va-sw-SF-2-1,SF-2-1,140-75 R,8498,965,3749,8619,4924,7090,140,85,0,55,0,0,75,10,0,45,20,0,
1617velv-va-sw-SF-2-2,SF-2-2,105-50 R,8498,965,3749,8619,4924,7090,105,30,0,75,0,0,50,30,0,0,20,0,
1617velv-va-sw-F-1,F-1,140-70 R,5414,10358,2940,8498,965,3749,140,30,0,60,40,10,70,20,0,50,0,0,
1617velv-va-sw-F-2,F-2,120-145 B,5414,10358,2940,8498,965,3749,120,55,0,25,40,0,145,85,0,40,20,0,
1617velv-va-sw-F-3,F-3,195-130 R,5414,10358,2940,8498,965,3749,195,115,0,40,40,0,130,70,0,60,0,0,
