TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-va-sw,5414,Tri Robotics,1,10,385,185,5,WC,1.00,99.6,91.1,108.8,96.0,54.7,47.7,0.0,0.0,21.7,20.4,35.4,29.5,-12.3,-6.6,3.0,1.6,
1617velv-va-sw,8498,The Evil Purple Sox,2,10,252,165,5,FC,1.00,77.5,70.2,73.8,68.1,27.6,26.3,0.0,0.0,44.8,39.4,-2.2,0.4,7.3,3.9,-3.6,-2.0,
1617velv-va-sw,10358,Squatch Watch,3,10,206,275,5,W1,1.00,121.2,107.6,58.5,57.4,27.1,26.9,0.0,0.0,16.1,15.8,16.3,15.5,61.7,49.1,0.9,0.9,
1617velv-va-sw,965,The League of Incompetent Gentlemen,4,8,281,275,5,F1,0.80,104.2,91.4,100.7,85.3,73.4,61.5,0.0,0.0,23.3,20.1,4.8,4.1,2.8,5.4,0.8,0.4,
1617velv-va-sw,8619,Cerebrum Bellatorum,5,8,180,115,5,SC,0.80,14.8,23.8,28.4,31.1,3.2,6.0,0.0,0.0,4.0,7.8,19.5,16.7,-11.9,-6.9,-1.7,-0.6,
1617velv-va-sw,11362,M Cubed,6,6,287,105,5,SC,0.60,36.1,39.4,56.2,52.5,10.4,11.8,0.0,0.0,41.7,37.3,-2.0,-1.3,-14.0,-8.6,-6.1,-4.6,
1617velv-va-sw,7090,First Appalachian Robotics,7,6,196,70,5,S2,0.60,33.3,30.8,27.9,26.8,10.6,10.0,0.0,0.0,21.3,18.1,0.9,2.0,0.6,0.5,4.9,3.3,
1617velv-va-sw,2940,Wave Riders,8,6,176,115,5,W2,0.60,55.7,48.8,50.1,45.3,17.1,15.2,0.0,0.0,28.0,24.0,10.8,10.0,-0.3,-0.5,5.9,3.8,
1617velv-va-sw,11624,Robocats,9,6,146,100,5,,0.60,30.5,29.8,29.9,29.4,19.2,17.6,0.0,0.0,2.7,6.0,2.4,2.0,6.3,4.0,-5.7,-3.9,
1617velv-va-sw,4924,Tuxedo Pandas,10,6,106,95,5,S1,0.60,33.5,34.3,41.3,39.3,10.9,12.0,0.0,0.0,18.5,18.3,2.1,2.4,2.0,1.3,-9.9,-6.5,
1617velv-va-sw,8652,The Air Conditioned Kilts / Warriors,11,6,66,115,5,,0.60,-0.2,9.0,0.6,8.5,-5.3,0.6,0.0,0.0,7.6,9.6,-1.4,-0.7,-1.1,-0.6,0.2,1.0,
1617velv-va-sw,8597,Gizmo Gurus,12,4,272,100,5,,0.40,44.2,41.2,56.2,48.6,33.1,28.6,0.0,0.0,10.6,11.1,4.6,4.1,-4.2,-2.7,-7.8,-4.9,
1617velv-va-sw,10395,Rockin' R Robotics,13,4,271,185,5,S1,0.40,31.1,33.2,35.9,37.2,17.2,18.6,0.0,0.0,9.2,11.3,2.0,2.7,2.7,0.5,-7.5,-4.6,
1617velv-va-sw,5401,Washable Warriors,14,4,196,105,5,,0.40,28.3,27.9,27.7,27.9,6.6,6.9,0.0,0.0,14.8,15.0,6.6,5.7,0.3,0.2,0.3,-0.3,
1617velv-va-sw,5444,Duck-Tech,15,4,156,56,5,,0.40,11.0,15.6,-23.5,-14.0,-4.7,-0.5,0.0,0.0,22.3,19.2,-3.9,-2.4,-2.7,-0.8,37.2,30.3,
1617velv-va-sw,7217,Hail Hydraulics,16,4,145,135,5,,0.40,7.4,12.9,8.5,14.2,11.3,13.1,0.0,0.0,1.7,3.1,-1.7,0.2,-4.0,-3.7,2.8,2.2,
1617velv-va-sw,3749,Bionic Penguins,17,2,240,90,5,F2,0.20,25.1,27.4,29.1,29.4,8.3,9.8,0.0,0.0,4.6,7.2,8.5,8.2,3.6,2.1,-7.6,-4.2,
1617velv-va-sw,11315,GEM Bots,18,2,235,270,5,,0.20,24.5,31.9,-1.8,7.7,2.6,7.6,0.0,0.0,-6.0,-1.7,1.0,1.7,26.8,24.1,-0.5,-0.1,
1617velv-va-sw,4417,The Venom,19,2,216,120,5,,0.20,23.6,24.8,-0.2,5.9,17.1,15.8,0.0,0.0,3.7,7.1,1.7,1.0,1.2,0.7,22.7,18.0,
1617velv-va-sw,10551,Fuzion,20,2,125,95,5,S2,0.20,15.3,18.7,23.2,22.9,10.5,11.4,0.0,0.0,9.9,9.3,-2.9,-1.5,-2.3,-0.7,-5.6,-3.7,
1617velv-va-sw,12088,NIght Vipers,21,0,216,80,5,,0.00,26.9,25.5,-10.7,-5.4,10.6,9.5,0.0,0.0,9.2,11.3,2.0,1.4,5.2,3.2,32.5,27.6,
1617velv-va-sw,11630,Carroll County High School,22,0,121,47,5,,0.00,-4.6,2.7,-17.6,-10.2,-4.9,-0.6,0.0,0.0,2.7,3.2,-3.4,-1.8,1.0,1.7,12.0,11.0,
