TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-vaced1,9631,CyberKnights,1,10,135,80,5,WC,
1617velv-vaced1,4924,Tuxedo Pandas,2,8,140,127,5,W1,
1617velv-vaced1,9918,RAD,3,7,114,60,5,FC,
1617velv-vaced1,8094,Robotic Rampage,4,7,85,55,5,SC,
1617velv-vaced1,3804,Team Snuffleupagus,5,7,74,70,5,SC,
1617velv-vaced1,7039,Lord of the Bricks,6,6,98,100,5,S1,
1617velv-vaced1,8474,Wolverines,7,6,78,35,5,,
1617velv-vaced1,11991,Futaba B,8,6,52,45,5,,
1617velv-vaced1,10362,RIP: Robots in Powhatan,9,6,36,55,5,S2,
1617velv-vaced1,9069,F.A.R.,10,6,34,40,5,S1,
1617velv-vaced1,6124,Geek Gods,11,6,11,100,5,W2,
1617velv-vaced1,3668,Smokie Jr.,12,5,72,75,5,,
1617velv-vaced1,12088,NIght Vipers,13,5,60,55,5,,
1617velv-vaced1,7217,Hail Hydraulics,14,5,50,30,5,,
1617velv-vaced1,8095,Bulldogs,15,4,90,75,5,F1,
1617velv-vaced1,10570,CAT5 CyberCanes,16,4,88,127,5,S2,
1617velv-vaced1,11368,Robots at the Center of the Universe RATCOTU,17,4,37,70,5,,
1617velv-vaced1,6295,Big Bang Robotics,18,4,22,80,5,,
1617velv-vaced1,9337,Aluminati,19,4,20,45,5,,
1617velv-vaced1,975,Synergy,20,2,65,40,5,,
1617velv-vaced1,11484,JMHS Robotics,21,2,40,35,5,,
1617velv-vaced1,5648,TekTwisters 2.0,22,2,39,33,5,F2,
1617velv-vaced1,7862,Avengineers,23,0,45,15,5,,
