TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-vanod2,7278,LibraryBots,1,8,156,95,5,WC,0.80,34.4,34.4,30.5,28.7,14.3,15.1,0.0,0.0,16.2,15.9,4.7,3.5,-0.8,-0.3,4.7,5.9,
1617velv-vanod2,8535,Game Masters,2,8,135,240,5,FC,0.80,71.7,61.6,23.8,22.8,8.1,8.6,0.0,0.0,28.0,24.4,0.8,0.4,34.9,28.1,13.0,10.5,
1617velv-vanod2,4592,Nuts and Bolts,3,8,105,145,5,SC,0.80,60.1,52.0,33.5,33.2,15.6,14.9,0.0,0.0,23.1,19.9,1.1,1.2,20.3,15.9,6.4,2.8,
1617velv-vanod2,8297,Geared UP!,4,8,100,95,5,W1,0.80,49.7,43.4,3.4,5.5,11.4,10.1,0.0,0.0,36.5,30.8,-3.2,-1.9,4.9,4.3,41.4,33.6,
1617velv-vanod2,965,The League of Incompetent Gentlemen,5,6,170,125,5,SC,0.60,53.0,47.7,51.1,45.1,36.2,30.1,0.0,0.0,17.8,16.6,-1.7,-0.7,0.7,1.7,1.3,0.9,
1617velv-vanod2,10414,Centreville Robotics 2,6,6,158,90,5,,0.60,24.8,28.2,33.8,29.6,7.5,7.4,0.0,0.0,18.7,18.4,0.4,0.2,-1.9,2.1,-7.1,-3.5,
1617velv-vanod2,6700,X BOTS,7,6,146,95,5,F1,0.60,32.5,30.9,48.8,40.4,21.7,18.2,0.0,0.0,18.9,17.3,-2.6,-1.6,-5.5,-3.2,-10.8,-6.4,
1617velv-vanod2,1885,ILITE Robotics,8,6,111,240,5,S1,0.60,47.3,44.0,19.9,19.1,3.5,3.9,0.0,0.0,16.3,16.4,-2.3,-1.6,29.7,25.2,-2.4,-0.5,
1617velv-vanod2,7039,Lord of the Bricks,9,6,95,125,5,,0.60,38.5,36.3,48.3,41.7,13.3,13.1,0.0,0.0,22.9,21.5,1.1,0.5,1.1,1.1,-10.9,-6.6,
1617velv-vanod2,11112,RoboLords,10,6,91,75,5,S2,0.60,17.7,20.0,16.7,14.9,4.0,4.6,0.0,0.0,-0.2,2.9,0.8,0.4,13.2,12.0,-12.1,-6.9,
1617velv-vanod2,10516,Centreville Robotics 3,11,6,88,125,5,,0.60,35.1,33.4,26.5,24.7,0.0,1.4,0.0,0.0,21.8,19.5,7.2,6.5,6.0,5.9,2.5,2.7,
1617velv-vanod2,5872,MAVERICS,12,6,63,45,5,,0.60,8.6,9.5,0.8,4.1,1.2,1.5,0.0,0.0,5.7,5.6,0.1,0.2,1.7,2.1,6.2,3.2,
1617velv-vanod2,7844,Ratchet Bots,13,4,177,65,5,S2,0.40,9.8,14.6,32.2,27.5,8.4,8.0,0.0,0.0,9.4,11.4,0.4,0.2,-8.4,-5.0,-14.0,-8.0,
1617velv-vanod2,369,OHS 623 FTC Team 2,14,4,115,65,5,F2,0.40,5.7,8.8,15.4,13.7,16.2,13.6,0.0,0.0,3.6,4.0,-2.4,-1.4,-11.7,-7.5,2.0,2.6,
1617velv-vanod2,6029,Robowiz,15,4,108,125,5,W2,0.40,46.0,39.1,43.5,34.9,1.2,1.4,0.0,0.0,13.3,11.9,16.9,14.2,14.6,11.6,-12.1,-7.4,
1617velv-vanod2,194,ILITE Robotics,16,4,107,65,5,,0.40,19.3,18.8,13.2,13.9,-4.0,-1.1,0.0,0.0,19.5,17.2,1.4,0.9,2.3,1.8,3.8,3.1,
1617velv-vanod2,354,ILITE Robotics,17,4,103,85,5,,0.40,18.3,17.5,-6.8,-1.8,3.9,3.7,0.0,0.0,3.2,4.1,-1.5,-0.7,12.7,10.3,12.3,8.9,
1617velv-vanod2,6408,Falcons Robotics,18,4,101,55,5,,0.40,7.3,10.3,-6.4,-0.7,-4.2,-1.0,0.0,0.0,2.0,3.4,0.4,0.3,9.0,7.4,4.7,3.5,
1617velv-vanod2,9845,Minions Robotics Agency (MRA) - The RoboMinions,19,4,55,145,5,,0.40,9.6,13.3,-3.7,-1.4,10.3,9.4,0.0,0.0,-7.3,-3.4,5.5,4.6,1.1,2.7,12.1,11.9,
1617velv-vanod2,8702,Grey Jedi,20,4,38,70,5,S1,0.40,-0.8,5.2,10.4,11.9,7.0,6.4,0.0,0.0,8.8,9.3,-5.1,-3.2,-11.6,-7.3,0.4,0.5,
1617velv-vanod2,10377,FCHS FTC#2,21,2,125,45,5,,0.20,-3.8,3.1,-49.5,-35.7,-2.1,0.4,0.0,0.0,-10.8,-5.4,8.8,7.5,0.3,0.5,45.4,38.2,
1617velv-vanod2,10422,baseMentality,22,2,102,60,5,,0.20,5.3,7.9,-0.7,1.1,4.3,5.5,0.0,0.0,-4.7,-1.9,0.7,0.2,5.1,3.9,1.0,2.8,
1617velv-vanod2,7955,Archetype,23,2,96,50,5,,0.20,1.8,6.0,-4.7,1.5,-1.4,0.9,0.0,0.0,0.4,2.1,1.2,1.7,1.6,1.2,4.9,3.1,
1617velv-vanod2,9825,Electrobotz,24,2,91,72,5,,0.20,5.5,9.4,-2.3,1.1,5.5,4.8,0.0,0.0,6.2,6.8,3.3,3.3,-9.4,-5.6,17.2,13.9,
