TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-vt-cmp-Q-1,1,1,1,8526,652,0,11083,3694,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,3,0,4,1,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,
1617velv-vt-cmp-Q-2,1,1,2,5741,6337,0,6966,12484,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,0,0,2,0,0,1,0,0,0,0,0,TRUE,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-vt-cmp-Q-3,1,1,3,8397,3397,0,7418,6567,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,1,0,0,1,2,0,0,0,0,0,0,0,0,TRUE,2,0,0,0,1,2,0,0,0,0,0,0,
1617velv-vt-cmp-Q-4,1,1,4,4946,1,0,10899,40,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,2,0,0,0,1,0,0,0,0,FALSE,1,0,0,0,2,6,0,0,0,0,1,0,
1617velv-vt-cmp-Q-5,1,1,5,10730,8304,0,5017,4531,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,2,0,1,0,0,0,0,0,0,TRUE,0,0,0,0,2,2,0,0,0,0,0,0,
1617velv-vt-cmp-Q-6,1,1,6,9620,8644,0,36,3351,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,FALSE,1,0,3,0,1,17,0,3,0,0,1,0,0,TRUE,0,0,0,1,2,0,2,0,1,0,0,0,
1617velv-vt-cmp-Q-7,1,1,7,8863,8527,0,6955,9622,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,2,4,0,0,0,0,0,0,0,TRUE,0,0,0,1,2,0,1,0,0,0,0,0,
1617velv-vt-cmp-Q-8,1,1,8,207,6731,0,10213,9721,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,FALSE,1,0,0,0,2,7,0,0,0,0,0,0,0,TRUE,1,0,0,0,2,0,0,0,0,0,0,0,
1617velv-vt-cmp-Q-9,1,1,9,6567,40,0,4531,12484,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,1,0,2,6,0,2,0,0,0,0,0,TRUE,0,0,1,0,1,0,0,0,0,0,0,0,
1617velv-vt-cmp-Q-10,1,1,10,10899,8397,0,8644,3694,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,1,0,0,0,2,5,0,0,1,0,0,0,1,TRUE,0,0,1,0,1,9,0,0,0,0,1,0,
