TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-wa-cu-Q-1,1,1,1,11233,12005,0,8099,6128,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,3,0,4,0,0,0,0,0,0,0,
1617velv-wa-cu-Q-2,1,1,2,9576,11984,0,11134,9764,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,1,0,1,0,0,0,0,1,1,0,0,FALSE,0,0,0,0,3,0,0,0,1,0,0,1,
1617velv-wa-cu-Q-3,1,1,3,7935,12064,0,11234,8567,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,0,3,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,1,2,0,3,0,0,0,0,
1617velv-wa-cu-Q-4,1,1,4,11134,12005,0,11984,11233,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,0,1,0,0,1,0,0,0,0,0,FALSE,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-wa-cu-Q-5,1,1,5,11234,12064,0,8099,9576,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,3,1,3,0,0,0,0,0,0,0,TRUE,0,0,1,0,3,0,0,0,0,0,0,0,
1617velv-wa-cu-Q-6,1,1,6,7935,8567,0,6128,9764,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,1,0,1,0,0,0,0,0,0,0,0,FALSE,0,0,0,3,3,0,0,0,0,0,0,0,
1617velv-wa-cu-Q-7,1,1,7,12064,8099,0,11134,11984,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,3,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,4,0,0,0,0,0,0,0,
1617velv-wa-cu-Q-8,1,1,8,12005,6128,0,9576,7935,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,0,2,0,0,0,0,1,0,1,0,TRUE,2,0,0,0,2,3,0,0,0,1,0,1,
1617velv-wa-cu-Q-9,1,1,9,9764,8567,0,11233,11234,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,3,0,0,2,0,0,0,0,0,FALSE,0,0,0,0,1,2,0,0,0,0,0,0,
1617velv-wa-cu-Q-10,1,1,10,11984,12064,0,7935,6128,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,3,0,3,0,0,1,0,1,0,0,0,FALSE,0,1,3,0,1,2,0,0,0,0,0,1,
1617velv-wa-cu-Q-11,1,1,11,11134,11234,0,12005,8567,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,4,5,0,0,0,0,0,0,0,TRUE,0,0,1,0,0,2,0,3,0,0,0,0,
1617velv-wa-cu-Q-12,1,1,12,8099,11233,0,9576,9764,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,0,1,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,3,0,0,0,0,0,0,0,
1617velv-wa-cu-Q-13,1,1,13,11134,6128,0,11234,7935,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,2,0,3,1,0,0,0,0,0,0,0,0,TRUE,2,0,1,0,3,4,0,0,0,0,0,0,
1617velv-wa-cu-Q-14,1,1,14,9576,8567,0,11984,8099,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,0,3,3,0,0,0,0,0,0,0,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,
1617velv-wa-cu-Q-15,1,1,15,11233,9764,0,12005,12064,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,2,0,0,0,0,0,0,0,0,TRUE,0,0,1,0,2,0,0,0,0,0,0,0,
1617velv-wa-cu-SF-1-1,1,3,11,8567,7935,0,9764,6128,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,1,0,0,3,0,0,2,0,0,0,0,FALSE,0,2,3,0,4,0,2,0,0,0,2,0,
1617velv-wa-cu-SF-1-2,1,3,12,8567,7935,0,9764,6128,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,1,0,1,3,0,0,0,0,0,0,0,FALSE,0,2,3,0,3,0,0,0,0,0,0,0,
1617velv-wa-cu-SF-1-3,1,3,13,8567,7935,0,9764,6128,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,1,0,1,2,0,3,0,0,0,0,0,FALSE,0,2,3,0,3,0,2,0,0,0,0,0,
