TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-wi-fv-Q-1,Q-1,75-75 T,9956,11414,0,5650,8823,0,75,35,0,0,40,0,75,20,0,55,0,0,false,false,false,false,
1617velv-wi-fv-Q-2,Q-2,90-80 R,10100,265,0,4605,6977,0,90,55,0,35,0,0,80,45,0,15,20,0,false,false,false,false,
1617velv-wi-fv-Q-3,Q-3,75-0 R,11045,6914,0,9542,7979,0,75,35,0,40,0,0,0,0,0,0,0,0,false,false,false,false,
1617velv-wi-fv-Q-4,Q-4,11-125 B,8384,12311,0,4106,11651,0,11,5,0,6,0,0,125,90,0,25,10,0,false,false,false,false,
1617velv-wi-fv-Q-5,Q-5,75-165 B,7974,11490,0,5972,6426,0,75,25,0,40,10,0,165,60,0,45,20,40,false,false,false,false,
1617velv-wi-fv-Q-6,Q-6,5-120 B,4267,10824,0,10294,11560,0,5,5,0,0,0,0,120,35,0,45,40,0,false,false,false,false,
1617velv-wi-fv-Q-7,Q-7,35-130 B,5650,7979,0,11651,4605,0,35,15,0,20,0,0,130,70,0,20,40,0,false,false,false,false,
1617velv-wi-fv-Q-8,Q-8,6-105 B,9542,8384,0,9956,10100,0,6,5,0,1,0,0,105,30,0,55,20,0,false,false,false,false,
1617velv-wi-fv-Q-9,Q-9,25-75 B,8823,11560,0,6977,6426,0,25,0,0,25,0,0,75,15,0,20,0,40,false,false,false,false,
1617velv-wi-fv-Q-10,Q-10,72-80 B,11045,12311,0,11490,10294,0,72,0,0,32,0,40,80,30,0,50,0,0,false,false,false,false,
1617velv-wi-fv-Q-11,Q-11,130-65 R,11414,265,0,5972,4267,0,130,70,0,40,20,0,65,30,0,15,20,0,false,false,false,false,
1617velv-wi-fv-Q-12,Q-12,165-30 R,4106,6914,0,7974,10824,0,165,100,0,25,40,0,30,20,0,10,0,0,false,false,false,false,
1617velv-wi-fv-Q-13,Q-13,130-50 R,5650,11490,0,6977,8384,0,130,70,0,50,0,10,50,40,0,10,0,0,false,false,false,false,
1617velv-wi-fv-Q-14,Q-14,105-115 B,6426,9956,0,7979,265,0,105,75,0,10,20,0,115,45,0,30,40,0,false,false,false,false,
1617velv-wi-fv-Q-15,Q-15,80-48 R,5972,6914,0,12311,11560,0,80,30,0,50,0,0,48,30,0,18,0,0,false,false,false,false,
1617velv-wi-fv-Q-16,Q-16,175-120 R,4106,10294,0,8823,10100,0,175,90,0,45,40,0,120,60,0,60,0,0,false,false,false,false,
1617velv-wi-fv-Q-17,Q-17,30-70 B,9542,7974,0,4605,4267,0,30,0,0,30,0,0,70,40,0,20,10,0,false,false,false,false,
1617velv-wi-fv-Q-18,Q-18,10-45 B,11651,11414,0,10824,11045,0,10,10,0,0,0,0,45,5,0,40,0,0,false,false,false,false,
1617velv-wi-fv-Q-19,Q-19,79-40 R,5650,12311,0,10100,6426,0,79,30,0,49,0,0,40,0,0,0,0,40,false,false,false,false,
1617velv-wi-fv-Q-20,Q-20,70-115 B,265,6977,0,10294,9542,0,70,50,0,20,0,0,115,40,0,35,40,0,false,false,false,false,
1617velv-wi-fv-Q-21,Q-21,160-105 R,4605,4106,0,11490,11414,0,160,90,0,50,20,0,105,85,0,20,0,0,false,false,false,false,
1617velv-wi-fv-Q-22,Q-22,110-46 R,5972,10824,0,8384,7979,0,110,75,0,15,20,0,46,5,0,41,0,0,false,false,false,false,
1617velv-wi-fv-Q-23,Q-23,50-145 B,7974,11045,0,11560,9956,0,50,10,0,40,0,0,145,95,0,0,10,40,false,false,false,false,
1617velv-wi-fv-Q-24,Q-24,20-55 B,4267,11651,0,6914,8823,0,20,0,0,20,0,0,55,25,0,30,0,0,false,false,false,false,
1617velv-wi-fv-Q-25,Q-25,90-20 R,5972,4106,0,9542,5650,0,90,0,0,70,20,0,20,15,0,5,0,0,false,false,false,false,
1617velv-wi-fv-Q-26,Q-26,30-40 B,7979,11414,0,6977,7974,0,30,0,0,30,0,0,40,20,0,20,0,0,false,false,false,false,
1617velv-wi-fv-Q-27,Q-27,10-150 B,11560,10100,0,11651,11490,0,10,5,0,5,0,0,150,90,0,50,10,0,false,false,false,false,
1617velv-wi-fv-Q-28,Q-28,135-95 R,10294,4605,0,6914,9956,0,135,40,0,55,0,40,95,40,0,15,0,40,false,false,false,false,
1617velv-wi-fv-Q-29,Q-29,75-81 B,8823,10824,0,265,12311,0,75,40,0,35,0,0,81,55,0,16,10,0,false,false,false,false,
1617velv-wi-fv-Q-30,Q-30,5-55 B,8384,6426,0,11045,4267,0,5,5,0,0,0,0,55,15,0,40,0,0,false,false,false,false,
1617velv-wi-fv-SF-1-1,SF-1-1,200-125 R,4106,10294,9956,6914,10100,8823,200,120,0,40,40,0,125,65,0,60,0,0,false,false,false,false,
1617velv-wi-fv-SF-2-1,SF-2-1,70-155 B,265,4605,5650,5972,11490,11045,70,40,0,30,0,0,155,95,0,40,20,0,false,false,false,false,
1617velv-wi-fv-SF-1-2,SF-1-2,205-85 R,4106,10294,9956,6914,10100,8823,205,135,0,50,20,0,85,65,0,20,0,0,false,false,false,false,
1617velv-wi-fv-SF-2-2,SF-2-2,105-95 R,265,4605,5650,5972,11490,11045,105,45,0,40,10,10,95,50,0,25,20,0,false,false,false,false,
1617velv-wi-fv-SF-2-3,SF-2-3,65-100 B,265,4605,5650,5972,11490,11045,65,40,0,5,20,0,100,35,0,45,20,0,false,false,false,false,
1617velv-wi-fv-F-1,F-1,205-125 R,4106,10294,9956,5972,11490,11045,205,120,0,45,40,0,125,75,0,30,20,0,false,false,false,false,
1617velv-wi-fv-F-2,F-2,165-90 R,4106,10294,9956,5972,11490,11045,165,100,0,55,10,0,90,30,0,40,20,0,false,false,false,false,
