TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-wi-fv,4106,Supposable Thumbs,1,10,286,175,5,WC,1.00,86.8,80.3,97.0,86.8,51.3,45.3,0.0,0.0,23.0,22.5,17.2,15.5,-4.8,-3.2,-5.5,-3.4,
1617velv-wi-fv,10294,The Edge,2,10,282,175,5,W1,1.00,72.9,69.1,51.3,51.2,14.9,18.4,0.0,0.0,34.3,29.7,17.2,15.1,6.5,5.7,15.1,12.1,
1617velv-wi-fv,265,Viking Robotics,3,8,395,130,5,SC,0.80,78.1,67.1,80.2,68.5,49.9,41.3,0.0,0.0,17.8,16.5,13.4,11.0,-3.1,-1.9,1.0,0.5,
1617velv-wi-fv,4605,RoboHackerz,4,8,305,160,5,S1,0.80,71.9,65.6,57.3,53.2,37.0,33.0,0.0,0.0,17.4,16.8,10.2,9.4,7.3,6.2,7.3,6.1,
1617velv-wi-fv,5972,Patronum Bots,5,8,254,165,5,FC,0.80,68.0,60.4,61.5,55.1,17.7,18.1,0.0,0.0,33.9,27.7,11.7,10.1,4.6,4.3,1.9,1.0,
1617velv-wi-fv,6914,Charging Chaos,6,8,153,165,5,SC,0.80,29.2,36.8,19.5,27.6,20.1,21.5,0.0,0.0,5.1,9.8,-1.0,0.9,5.0,4.5,4.7,4.6,
1617velv-wi-fv,11490,Muffin Tanks,7,6,272,150,5,F1,0.60,73.9,66.1,62.7,55.3,48.3,40.9,0.0,0.0,25.6,24.1,-1.6,-0.4,1.6,1.4,9.6,9.3,
1617velv-wi-fv,11045,All-Tech-No-Logic,8,6,97,75,5,F2,0.60,43.8,37.9,33.0,27.9,4.7,4.9,0.0,0.0,32.6,27.2,-0.2,-0.3,6.7,5.9,4.1,4.0,
1617velv-wi-fv,11651,Northwestern Robotics Unnamed Team,9,6,86,150,5,,0.60,39.2,39.3,40.2,40.1,23.8,24.1,0.0,0.0,9.2,9.3,5.9,5.5,0.4,0.2,-1.3,-1.2,
1617velv-wi-fv,9956,The Knack,10,5,291,145,5,W2,0.50,80.6,68.7,61.9,52.7,42.5,36.6,0.0,0.0,11.4,9.2,16.5,13.5,10.2,9.2,8.5,6.7,
1617velv-wi-fv,5650,Viking II,11,5,180,130,5,S2,0.50,34.6,35.7,29.6,30.5,16.1,16.3,0.0,0.0,19.8,19.2,-1.2,-0.7,-0.1,0.7,5.1,4.5,
1617velv-wi-fv,6977,eTREC,12,4,255,80,5,,0.40,22.4,26.4,20.9,23.5,13.6,15.3,0.0,0.0,5.3,6.6,-1.4,-0.1,4.9,4.4,-3.4,-1.6,
1617velv-wi-fv,10100,Phoenix Force,13,4,216,120,5,S1,0.40,20.1,26.9,21.4,26.5,2.5,7.4,0.0,0.0,19.1,18.2,-3.6,-1.4,2.1,2.5,-3.4,-2.2,
1617velv-wi-fv,6426,TBD,14,4,210,165,5,,0.40,39.4,40.0,19.7,22.9,14.8,14.9,0.0,0.0,-0.2,3.4,3.7,3.9,21.1,17.7,-1.4,-0.7,
1617velv-wi-fv,10824,Tesla Trojans,15,4,166,110,5,,0.40,20.5,24.0,27.0,28.0,23.4,20.7,0.0,0.0,-3.6,1.7,1.3,2.0,-0.6,-0.5,-5.8,-3.6,
1617velv-wi-fv,12311,Robots Rock!,16,4,166,81,5,,0.40,22.2,26.2,9.1,14.9,5.4,8.8,0.0,0.0,9.5,10.6,-0.8,0.1,8.2,6.5,4.9,4.7,
1617velv-wi-fv,11560,STAA Robotics,17,4,138,145,5,,0.40,21.5,25.9,17.0,20.1,17.3,16.2,0.0,0.0,-2.9,1.7,4.1,4.5,3.0,3.2,1.5,2.4,
1617velv-wi-fv,4267,RoboChix,18,4,125,70,5,,0.40,-5.7,4.3,-0.8,7.3,-3.3,1.1,0.0,0.0,1.1,4.2,0.2,1.2,-3.7,-2.4,-1.2,-0.7,
1617velv-wi-fv,8823,Mariner Mayhem,19,3,315,120,5,S2,0.30,44.8,39.8,39.1,35.1,13.1,13.3,0.0,0.0,33.5,27.9,0.1,-0.2,-1.9,-1.4,7.6,6.0,
1617velv-wi-fv,11414,Fondy Fire,20,3,285,130,5,,0.30,11.9,21.0,17.9,24.6,7.9,12.3,0.0,0.0,2.0,4.9,4.3,5.0,-2.3,-1.4,-3.6,-2.3,
1617velv-wi-fv,7979,Apple Tau,21,2,216,115,5,,0.20,18.7,20.8,15.7,18.8,-4.0,0.1,0.0,0.0,15.9,14.6,4.3,4.3,2.6,1.6,0.4,0.3,
1617velv-wi-fv,7974,Great Scott!,22,2,215,75,5,,0.20,11.6,16.4,-2.6,4.7,-4.3,0.7,0.0,0.0,16.9,15.6,1.6,1.4,-2.6,-1.5,16.7,13.2,
1617velv-wi-fv,9542,Raider Robotics,23,2,126,115,5,,0.20,6.3,10.3,14.2,15.2,6.5,6.0,0.0,0.0,-4.5,-0.2,4.0,4.2,0.2,0.1,-8.2,-5.1,
1617velv-wi-fv,8384,The 'Big Red' Machine,24,0,118,50,5,,0.00,1.8,5.4,5.7,7.6,4.7,5.3,0.0,0.0,6.4,6.0,-2.0,-1.4,-7.4,-4.7,3.5,2.4,
