TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-wsr-cmpd1,4216,Rise of Hephaestus,1,18,1375,320,9,,1.00,146.6,140.6,150.1,142.9,50.2,49.7,0.0,0.0,67.5,64.2,26.6,24.5,2.1,2.2,-5.7,-4.5,
1617velv-wsr-cmpd1,9899,Black Diamond Robotics,2,16,1370,320,9,,0.89,123.9,120.0,120.1,116.4,62.6,60.2,0.0,0.0,51.1,49.4,6.5,6.9,3.7,3.4,0.0,0.1,
1617velv-wsr-cmpd1,3188,Squiggle Splat Bang,3,16,1140,250,9,,0.89,94.2,95.0,93.6,93.6,56.6,54.9,0.0,0.0,25.4,27.1,17.7,17.2,-5.5,-4.3,6.2,5.7,
1617velv-wsr-cmpd1,5667,Robominers,4,16,1100,335,9,,0.89,117.9,115.3,98.9,97.7,38.4,39.2,0.0,0.0,45.9,45.0,21.5,20.0,12.1,11.1,7.0,6.6,
1617velv-wsr-cmpd1,5220,RoboKnights 5220,5,16,1025,295,9,,0.89,127.9,124.6,133.7,128.6,55.8,54.6,0.0,0.0,56.8,54.6,18.1,17.0,-2.7,-1.7,-3.1,-2.3,
1617velv-wsr-cmpd1,7750,M&M's,6,14,1265,245,9,,0.78,102.4,101.1,107.2,104.2,42.8,42.0,0.0,0.0,53.8,51.8,8.7,9.0,-2.8,-1.7,-2.0,-1.5,
1617velv-wsr-cmpd1,10298,Brain Stormz,7,12,1460,290,9,,0.67,114.8,113.4,101.5,101.3,60.7,59.1,0.0,0.0,32.8,33.9,7.7,7.9,13.6,12.4,-0.3,-0.3,
1617velv-wsr-cmpd1,724,RedNek Robotics Wun,8,12,1300,335,9,,0.67,136.7,131.7,140.3,134.1,72.4,68.7,0.0,0.0,72.1,68.1,-6.1,-4.2,-1.7,-0.9,-1.9,-1.6,
1617velv-wsr-cmpd1,7013,Hot Wired,9,12,1230,295,9,,0.67,123.0,118.3,114.7,110.9,62.5,60.0,0.0,0.0,52.8,50.4,9.3,9.3,-1.7,-1.4,9.9,8.7,
1617velv-wsr-cmpd1,10060,Klamath Coyotes,10,12,1065,230,9,,0.67,73.1,74.1,73.4,73.4,30.9,31.7,0.0,0.0,30.7,30.8,7.5,7.8,4.1,3.7,-4.4,-3.0,
1617velv-wsr-cmpd1,10598,Fusionyx,11,12,830,440,9,,0.67,116.2,113.7,86.5,86.4,38.8,39.3,0.0,0.0,34.9,35.0,9.0,9.2,33.4,30.2,-3.7,-3.0,
1617velv-wsr-cmpd1,4855,Batteries In Black,12,10,1300,220,9,,0.56,93.5,91.6,93.2,90.7,42.3,41.7,0.0,0.0,30.4,30.2,17.6,16.5,3.2,3.2,-2.9,-2.3,
1617velv-wsr-cmpd1,11168,The Quantum Mechanics,13,10,1190,235,9,,0.56,91.9,90.8,77.6,78.0,32.6,33.0,0.0,0.0,36.6,36.1,10.4,10.5,12.3,11.1,1.9,1.6,
