TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-wv-cmp,5040,Loveland Nuts & Bolts,1,8,355,175,5,SC,0.80,75.4,71.1,
1617velv-wv-cmp,8393,BrainSTEM,2,8,320,150,5,FC,0.80,71.7,64.9,
1617velv-wv-cmp,8645,Robotic Doges,3,8,310,135,5,SC,0.80,91.9,78.1,
1617velv-wv-cmp,6054,int elligence,4,8,245,135,5,WC,0.80,37.2,42.7,
1617velv-wv-cmp,11362,M Cubed,5,6,320,125,5,W1,0.60,30.6,36.1,
1617velv-wv-cmp,6029,Robowiz,6,6,310,135,5,F2,0.60,25.8,31.5,
1617velv-wv-cmp,6253,Avalanche,7,6,280,135,5,S1,0.60,53.6,49.1,
1617velv-wv-cmp,2821,CART,8,6,265,105,5,,0.60,12.5,21.1,
1617velv-wv-cmp,6700,X BOTS,9,6,260,170,5,W2,0.60,81.6,70.3,
1617velv-wv-cmp,8297,Geared UP!,10,6,260,170,5,S2,0.60,43.8,44.4,
1617velv-wv-cmp,5421,RM'd and Dangerous,11,6,225,120,5,,0.60,44.4,37.6,
1617velv-wv-cmp,4318,Green Machine Reloaded,12,4,405,150,5,F1,0.40,71.3,63.5,
1617velv-wv-cmp,5414,Tri Robotics,13,4,250,175,5,S1,0.40,55.6,50.3,
1617velv-wv-cmp,9872,(In)Formal Logic,14,4,225,110,5,S2,0.40,15.3,22.5,
1617velv-wv-cmp,4106,Supposable Thumbs,15,4,200,130,5,,0.40,32.1,29.1,
1617velv-wv-cmp,11261,Protectors of Rupert,16,4,185,90,5,,0.40,21.5,21.8,
1617velv-wv-cmp,10353,Metal Works,17,4,155,135,5,,0.40,18.8,26.3,
1617velv-wv-cmp,6987,HatTrix,18,2,295,85,5,,0.20,10.4,16.4,
1617velv-wv-cmp,8498,The Evil Purple Sox,19,2,210,110,5,,0.20,15.2,20.7,
1617velv-wv-cmp,118,Steel Hornets,20,2,155,90,5,,0.20,11.1,14.0,
1617velv-wv-cmp,8395,ARC Systems,21,0,255,85,5,,0.00,8.5,16.8,
